product,contract_code,period,market_data_file_id,data_version,quality_status,file_path,start_time,end_time,duplicate_group_size,decision,current_market_data_file_id
bb,bb.MAIN,1w,82665,rqdata_bb_standard_1w_20230103_20260707_v2,warning,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=bb/contract=bb.MAIN/bb_MAIN_1w_20230103_20260707_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-03T00:00:00+00:00,3,mark_superseded,55813
bb,bb.MAIN,1w,79771,rqdata_bb_standard_1w_20131206_20260711_v2,warning,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=bb/contract=bb.MAIN/bb_MAIN_1w_20131206_20260711_v2.parquet,2013-12-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,3,mark_superseded,55813
bu,bu.MAIN,1w,55819,rqdata_bu_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=bu/contract=bu.MAIN/bu_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55819
bu,bu.MAIN,1w,79772,rqdata_bu_standard_1w_20131009_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=bu/contract=bu.MAIN/bu_MAIN_1w_20131009_20260711_v2.parquet,2013-10-11T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55819
c,c.MAIN,1w,55823,rqdata_c_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=c/contract=c.MAIN/c_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55823
c,c.MAIN,1w,79773,rqdata_c_standard_1w_20040922_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=c/contract=c.MAIN/c_MAIN_1w_20040922_20260711_v2.parquet,2004-09-24T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55823
cf,cf.MAIN,1w,55825,rqdata_cf_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=cf/contract=cf.MAIN/cf_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55825
cf,cf.MAIN,1w,79774,rqdata_cf_standard_1w_20040601_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=cf/contract=cf.MAIN/cf_MAIN_1w_20040601_20260711_v2.parquet,2004-06-04T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55825
cj,cj.MAIN,1w,55827,rqdata_cj_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=cj/contract=cj.MAIN/cj_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55827
cj,cj.MAIN,1w,79775,rqdata_cj_standard_1w_20190430_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=cj/contract=cj.MAIN/cj_MAIN_1w_20190430_20260711_v2.parquet,2019-04-30T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55827
