classification,dataset,target_table,product,year,candidate_start_date,candidate_end_date,writes_parquet,writes_market_data_files,writes_quality_status,before_count,status,after_count,rows_fetched,rows_upsert_attempted,error_type,error_message
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,jr,2022,2022-01-01,2022-12-31,False,False,False,0,no_data,0,0,0,NoRowsFetched,continuous_contract_map fetched zero rows for product=jr year=2022
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,l,2022,2022-01-01,2022-12-31,False,False,False,0,no_data,0,0,0,NoRowsFetched,continuous_contract_map fetched zero rows for product=l year=2022
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,lh,2022,2022-01-01,2022-12-31,False,False,False,0,no_data,0,0,0,NoRowsFetched,continuous_contract_map fetched zero rows for product=lh year=2022
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,lu,2022,2022-01-01,2022-12-31,False,False,False,0,no_data,0,0,0,NoRowsFetched,continuous_contract_map fetched zero rows for product=lu year=2022
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,m,2022,2022-01-01,2022-12-31,False,False,False,0,no_data,0,0,0,NoRowsFetched,continuous_contract_map fetched zero rows for product=m year=2022
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,ma,2022,2022-01-01,2022-12-31,False,False,False,0,no_data,0,0,0,NoRowsFetched,continuous_contract_map fetched zero rows for product=ma year=2022
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,ni,2022,2022-01-01,2022-12-31,False,False,False,0,no_data,0,0,0,NoRowsFetched,continuous_contract_map fetched zero rows for product=ni year=2022
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,nr,2022,2022-01-01,2022-12-31,False,False,False,0,no_data,0,0,0,NoRowsFetched,continuous_contract_map fetched zero rows for product=nr year=2022
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,oi,2022,2022-01-01,2022-12-31,False,False,False,0,no_data,0,0,0,NoRowsFetched,continuous_contract_map fetched zero rows for product=oi year=2022
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,p,2022,2022-01-01,2022-12-31,False,False,False,0,no_data,0,0,0,NoRowsFetched,continuous_contract_map fetched zero rows for product=p year=2022
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,pb,2022,2022-01-01,2022-12-31,False,False,False,0,no_data,0,0,0,NoRowsFetched,continuous_contract_map fetched zero rows for product=pb year=2022
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,pf,2022,2022-01-01,2022-12-31,False,False,False,0,no_data,0,0,0,NoRowsFetched,continuous_contract_map fetched zero rows for product=pf year=2022
