profile_id,instrument_symbol,contract_code,period,status,previous_market_data_file_id,next_market_data_file_id,previous_data_version,next_data_version,target_start,target_end,covers_target,selection_reason,block_reason
intraday_research_v1,if,if.MAIN,1m,would_change,56004,82780,rqdata_if_standard_1m_20230103_20260711_v2,rqdata_if_standard_1m_20100416_20260711_v2,2010-04-16,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,ih,ih.MAIN,1m,would_change,56005,82747,rqdata_ih_standard_1m_20230103_20260711_v2,rqdata_ih_standard_1m_20150416_20260711_v2,2015-04-16,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,im,im.MAIN,1m,would_change,56006,71548,rqdata_im_standard_1m_20230103_20260711_v2,rqdata_im_standard_1m_20220722_20260711_v2,2022-07-22,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,j,j.MAIN,1m,would_change,56007,82782,rqdata_j_standard_1m_20230103_20260711_v2,rqdata_j_standard_1m_20110415_20260711_v2,2011-04-15,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,jd,jd.MAIN,1m,would_change,56008,82760,rqdata_jd_standard_1m_20230103_20260711_v2,rqdata_jd_standard_1m_20131108_20260711_v2,2013-11-08,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,jm,jm.MAIN,1m,would_change,56009,82791,rqdata_jm_standard_1m_20230103_20260711_v2,rqdata_jm_standard_1m_20130322_20260711_v2,2013-03-22,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,jr,jr.MAIN,1m,would_change,56010,82759,rqdata_jr_standard_1m_20230103_20260711_v2,rqdata_jr_standard_1m_20131118_20260711_v2,2013-11-18,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,l,l.MAIN,1m,would_change,56011,82774,rqdata_l_standard_1m_20230103_20260711_v2,rqdata_l_standard_1m_20070731_20260711_v2,2010-01-04,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,l_f,l_f.MAIN,1m,would_change,56012,71660,rqdata_l_f_standard_1m_20230103_20260711_v2,rqdata_l_f_standard_1m_20230103_20260712_v2,2025-10-29,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,lc,lc.MAIN,1m,would_change,56013,71663,rqdata_lc_standard_1m_20230103_20260711_v2,rqdata_lc_standard_1m_20230103_20260712_v2,2023-07-21,2026-07-10,True,covers_target_canonical_current,
intraday_research_v1,lg,lg.MAIN,1m,would_change,56014,71666,rqdata_lg_standard_1m_20230103_20260711_v2,rqdata_lg_standard_1m_20230103_20260712_v2,2024-11-18,2026-07-10,True,covers_target_canonical_current,
