instrument_symbol,contract_code,period,primary_count
cf,cf.MAIN,60m,2
cj,CJ2305,1d,2
cj,CJ2609,15m,3
cj,CJ2609,1d,3
cj,CJ2609,1m,3
cj,CJ2609,30m,3
cj,CJ2609,5m,3
cj,CJ2609,60m,3
cj,cj.MAIN,15m,2
cj,cj.MAIN,1d,4
cj,cj.MAIN,1m,3
cj,cj.MAIN,1w,4
cj,cj.MAIN,30m,2
cj,cj.MAIN,5m,2
cj,cj.MAIN,60m,2
cs,CS2303,1d,2
cs,CS2609,15m,3
cs,CS2609,1d,3
cs,CS2609,1m,3
cs,CS2609,30m,3
cs,CS2609,5m,3
cs,CS2609,60m,3
cs,cs.MAIN,15m,2
cs,cs.MAIN,1d,4
cs,cs.MAIN,1m,3
cs,cs.MAIN,1w,4
cs,cs.MAIN,30m,2
cs,cs.MAIN,5m,2
cs,cs.MAIN,60m,2
cu,CU2608,15m,3
cu,CU2608,1d,3
cu,CU2608,1m,3
cu,CU2608,30m,3
cu,CU2608,5m,3
cu,CU2608,60m,3
cu,cu.MAIN,15m,2
cu,cu.MAIN,1d,4
cu,cu.MAIN,1m,3
cu,cu.MAIN,1w,4
cu,cu.MAIN,30m,2
cu,cu.MAIN,5m,2
cu,cu.MAIN,60m,2
cy,CY2305,1d,2
cy,CY2609,15m,3
cy,CY2609,1d,3
cy,CY2609,1m,3
cy,CY2609,30m,3
cy,CY2609,5m,3
cy,CY2609,60m,3
cy,cy.MAIN,15m,2
cy,cy.MAIN,1d,4
cy,cy.MAIN,1m,3
cy,cy.MAIN,1w,4
cy,cy.MAIN,30m,2
cy,cy.MAIN,5m,2
cy,cy.MAIN,60m,2
eb,EB2302,1d,2
eb,EB2608,15m,3
eb,EB2608,1d,3
eb,EB2608,1m,3
eb,EB2608,30m,3
eb,EB2608,5m,3
eb,EB2608,60m,3
eb,eb.MAIN,15m,2
eb,eb.MAIN,1d,4
eb,eb.MAIN,1m,3
eb,eb.MAIN,1w,4
eb,eb.MAIN,30m,2
eb,eb.MAIN,5m,2
eb,eb.MAIN,60m,2
ec,EC2608,15m,3
ec,EC2608,1d,3
ec,EC2608,1m,3
ec,EC2608,30m,3
ec,EC2608,5m,3
ec,EC2608,60m,3
ec,ec.MAIN,15m,2
ec,ec.MAIN,1d,3
ec,ec.MAIN,1m,3
ec,ec.MAIN,1w,4
ec,ec.MAIN,30m,2
ec,ec.MAIN,5m,2
ec,ec.MAIN,60m,2
eg,EG2609,15m,3
eg,EG2609,1d,3
eg,EG2609,1m,3
eg,EG2609,30m,3
eg,EG2609,5m,3
eg,EG2609,60m,3
eg,eg.MAIN,15m,2
eg,eg.MAIN,1d,4
eg,eg.MAIN,1m,3
eg,eg.MAIN,1w,4
eg,eg.MAIN,30m,2
eg,eg.MAIN,5m,2
eg,eg.MAIN,60m,2
fb,FB2303,1d,2
fb,FB2609,15m,3
fb,FB2609,1d,3
fb,FB2609,1m,3
fb,FB2609,30m,3
fb,FB2609,5m,3
fb,FB2609,60m,3
fb,fb.MAIN,15m,2
fb,fb.MAIN,1d,4
fb,fb.MAIN,1m,3
fb,fb.MAIN,1w,5
fb,fb.MAIN,30m,2
fb,fb.MAIN,5m,2
fb,fb.MAIN,60m,2
fg,FG2609,15m,3
fg,FG2609,1d,3
fg,FG2609,1m,3
fg,FG2609,30m,3
fg,FG2609,5m,3
fg,FG2609,60m,3
fg,fg.MAIN,15m,2
fg,fg.MAIN,1d,4
fg,fg.MAIN,1m,3
fg,fg.MAIN,1w,4
fg,fg.MAIN,30m,2
fg,fg.MAIN,5m,2
fg,fg.MAIN,60m,2
fu,FU2609,15m,3
fu,FU2609,1d,3
fu,FU2609,1m,3
fu,FU2609,30m,3
fu,FU2609,5m,3
fu,FU2609,60m,3
fu,fu.MAIN,15m,2
fu,fu.MAIN,1d,4
fu,fu.MAIN,1m,3
fu,fu.MAIN,1w,4
fu,fu.MAIN,30m,2
fu,fu.MAIN,5m,2
fu,fu.MAIN,60m,2
hc,HC2610,15m,3
hc,HC2610,1d,3
hc,HC2610,1m,3
hc,HC2610,30m,3
hc,HC2610,5m,3
hc,HC2610,60m,3
hc,hc.MAIN,15m,2
hc,hc.MAIN,1d,4
hc,hc.MAIN,1m,3
hc,hc.MAIN,1w,4
hc,hc.MAIN,30m,2
hc,hc.MAIN,5m,2
hc,hc.MAIN,60m,2
i,I2609,15m,3
i,I2609,1d,3
i,I2609,1m,3
i,I2609,30m,3
i,I2609,5m,3
i,I2609,60m,3
i,i.MAIN,15m,2
i,i.MAIN,1d,4
i,i.MAIN,1m,3
i,i.MAIN,1w,4
i,i.MAIN,30m,2
i,i.MAIN,5m,2
i,i.MAIN,60m,2
ic,IC2301,1d,2
ic,IC2607,15m,3
ic,IC2607,1d,3
ic,IC2607,1m,3
ic,IC2607,30m,3
ic,IC2607,5m,3
ic,IC2607,60m,3
ic,ic.MAIN,15m,2
ic,ic.MAIN,1d,4
ic,ic.MAIN,1m,3
ic,ic.MAIN,1w,4
ic,ic.MAIN,30m,2
ic,ic.MAIN,5m,2
ic,ic.MAIN,60m,2
if,IF2301,1d,2
if,IF2607,15m,3
if,IF2607,1d,3
if,IF2607,1m,3
if,IF2607,30m,3
if,IF2607,5m,3
if,IF2607,60m,3
if,if.MAIN,15m,2
if,if.MAIN,1d,4
if,if.MAIN,1m,3
if,if.MAIN,1w,4
if,if.MAIN,30m,2
if,if.MAIN,5m,2
if,if.MAIN,60m,2
ih,IH2301,1d,2
ih,IH2607,15m,3
ih,IH2607,1d,3
ih,IH2607,1m,3
ih,IH2607,30m,3
ih,IH2607,5m,3
ih,IH2607,60m,3
ih,ih.MAIN,15m,2
ih,ih.MAIN,1d,4
ih,ih.MAIN,1m,3
ih,ih.MAIN,1w,4
ih,ih.MAIN,30m,2
ih,ih.MAIN,5m,2
ih,ih.MAIN,60m,2
im,IM2301,1d,2
im,IM2607,15m,3
im,IM2607,1d,3
im,IM2607,1m,3
im,IM2607,30m,3
im,IM2607,5m,3
im,IM2607,60m,3
im,im.MAIN,15m,2
im,im.MAIN,1d,4
im,im.MAIN,1m,3
im,im.MAIN,1w,4
im,im.MAIN,30m,2
im,im.MAIN,5m,2
im,im.MAIN,60m,2
j,J2609,15m,3
j,J2609,1d,3
j,J2609,1m,3
j,J2609,30m,3
j,J2609,5m,3
j,J2609,60m,3
j,j.MAIN,15m,2
j,j.MAIN,1d,4
j,j.MAIN,1m,3
j,j.MAIN,1w,4
j,j.MAIN,30m,2
j,j.MAIN,5m,2
j,j.MAIN,60m,2
jd,JD2305,1d,2
jd,JD2609,15m,3
jd,JD2609,1d,3
jd,JD2609,1m,3
jd,JD2609,30m,3
jd,JD2609,5m,3
jd,JD2609,60m,3
jd,jd.MAIN,15m,2
jd,jd.MAIN,1d,4
jd,jd.MAIN,1m,3
jd,jd.MAIN,1w,4
jd,jd.MAIN,30m,2
jd,jd.MAIN,5m,2
jd,jd.MAIN,60m,2
jm,JM2305,1d,2
jm,JM2609,15m,4
jm,JM2609,1d,4
jm,JM2609,1m,4
jm,JM2609,30m,4
jm,JM2609,5m,4
jm,JM2609,60m,4
jm,jm.MAIN,15m,4
jm,jm.MAIN,1d,5
jm,jm.MAIN,1m,5
jm,jm.MAIN,1w,4
jm,jm.MAIN,30m,3
jm,jm.MAIN,5m,4
jm,jm.MAIN,60m,3
jr,JR2607,15m,3
jr,JR2607,1d,3
jr,JR2607,1m,3
jr,JR2607,30m,3
jr,JR2607,5m,3
jr,JR2607,60m,3
jr,jr.MAIN,15m,2
jr,jr.MAIN,1d,4
jr,jr.MAIN,1m,3
jr,jr.MAIN,1w,4
jr,jr.MAIN,30m,2
jr,jr.MAIN,5m,2
jr,jr.MAIN,60m,2
l,L2609,15m,3
l,L2609,1d,3
l,L2609,1m,3
l,L2609,30m,3
l,L2609,5m,3
l,L2609,60m,3
l,l.MAIN,15m,2
l,l.MAIN,1d,4
l,l.MAIN,1m,3
l,l.MAIN,1w,4
l,l.MAIN,30m,2
l,l.MAIN,5m,2
l,l.MAIN,60m,2
lc,LC2609,15m,3
lc,LC2609,1d,3
lc,LC2609,1m,3
lc,LC2609,30m,3
lc,LC2609,5m,3
lc,LC2609,60m,3
lc,lc.MAIN,15m,2
lc,lc.MAIN,1d,3
lc,lc.MAIN,1m,3
lc,lc.MAIN,1w,3
lc,lc.MAIN,30m,2
lc,lc.MAIN,5m,2
lc,lc.MAIN,60m,2
l_f,L2609F,15m,3
l_f,L2609F,1d,3
l_f,L2609F,1m,3
l_f,L2609F,30m,3
l_f,L2609F,5m,3
l_f,L2609F,60m,3
l_f,l_f.MAIN,15m,2
l_f,l_f.MAIN,1d,3
l_f,l_f.MAIN,1m,3
l_f,l_f.MAIN,1w,3
l_f,l_f.MAIN,30m,2
l_f,l_f.MAIN,5m,2
l_f,l_f.MAIN,60m,2
lg,LG2609,15m,3
lg,LG2609,1d,3
lg,LG2609,1m,3
lg,LG2609,30m,3
lg,LG2609,5m,3
lg,LG2609,60m,3
lg,lg.MAIN,15m,2
lg,lg.MAIN,1d,3
lg,lg.MAIN,1m,2
lg,lg.MAIN,1w,3
lg,lg.MAIN,30m,2
lg,lg.MAIN,5m,2
lg,lg.MAIN,60m,2
lh,LH2303,1d,2
lh,LH2609,15m,3
lh,LH2609,1d,3
lh,LH2609,1m,3
lh,LH2609,30m,3
lh,LH2609,5m,3
lh,LH2609,60m,3
lh,lh.MAIN,15m,2
lh,lh.MAIN,1d,4
lh,lh.MAIN,1m,2
lh,lh.MAIN,1w,4
lh,lh.MAIN,30m,2
lh,lh.MAIN,5m,2
lh,lh.MAIN,60m,2
lu,LU2303,1d,2
lu,LU2609,15m,3
lu,LU2609,1d,3
lu,LU2609,1m,3
lu,LU2609,30m,3
lu,LU2609,5m,3
lu,LU2609,60m,3
lu,lu.MAIN,15m,2
lu,lu.MAIN,1d,4
lu,lu.MAIN,1m,2
lu,lu.MAIN,1w,5
lu,lu.MAIN,30m,2
lu,lu.MAIN,5m,2
lu,lu.MAIN,60m,2
m,M2305,1d,2
m,M2609,15m,3
m,M2609,1d,3
m,M2609,1m,3
m,M2609,30m,3
m,M2609,5m,3
m,M2609,60m,3
m,m.MAIN,15m,2
m,m.MAIN,1d,4
m,m.MAIN,1m,2
m,m.MAIN,1w,4
m,m.MAIN,30m,2
m,m.MAIN,5m,2
m,m.MAIN,60m,2
ma,MA2609,15m,3
ma,MA2609,1d,3
ma,MA2609,1m,3
ma,MA2609,30m,3
ma,MA2609,5m,3
ma,MA2609,60m,3
ma,ma.MAIN,15m,2
ma,ma.MAIN,1d,4
ma,ma.MAIN,1m,2
ma,ma.MAIN,1w,4
ma,ma.MAIN,30m,2
ma,ma.MAIN,5m,2
ma,ma.MAIN,60m,2
ni,NI2609,15m,3
ni,NI2609,1d,3
ni,NI2609,1m,3
ni,NI2609,30m,3
ni,NI2609,5m,3
ni,NI2609,60m,3
ni,ni.MAIN,15m,2
ni,ni.MAIN,1d,4
ni,ni.MAIN,1m,2
ni,ni.MAIN,1w,4
ni,ni.MAIN,30m,2
ni,ni.MAIN,5m,2
ni,ni.MAIN,60m,2
nr,NR2303,1d,2
nr,NR2609,15m,3
nr,NR2609,1d,3
nr,NR2609,1m,3
nr,NR2609,30m,3
nr,NR2609,5m,3
nr,NR2609,60m,3
nr,nr.MAIN,15m,2
nr,nr.MAIN,1d,4
nr,nr.MAIN,1m,2
nr,nr.MAIN,1w,5
nr,nr.MAIN,30m,2
nr,nr.MAIN,5m,2
nr,nr.MAIN,60m,2
oi,OI2305,1d,2
oi,OI2609,15m,3
oi,OI2609,1d,3
oi,OI2609,1m,3
oi,OI2609,30m,3
oi,OI2609,5m,3
oi,OI2609,60m,3
oi,oi.MAIN,15m,2
oi,oi.MAIN,1d,4
oi,oi.MAIN,1m,2
oi,oi.MAIN,1w,4
oi,oi.MAIN,30m,2
oi,oi.MAIN,5m,2
oi,oi.MAIN,60m,2
op,OP2609,15m,3
op,OP2609,1d,3
op,OP2609,1m,3
op,OP2609,30m,3
op,OP2609,5m,3
op,OP2609,60m,3
op,op.MAIN,15m,2
op,op.MAIN,1d,3
op,op.MAIN,1m,2
op,op.MAIN,1w,4
op,op.MAIN,30m,2
op,op.MAIN,5m,2
op,op.MAIN,60m,2
p,P2305,1d,2
p,P2609,15m,3
p,P2609,1d,3
p,P2609,1m,3
p,P2609,30m,3
p,P2609,5m,3
p,P2609,60m,3
p,p.MAIN,15m,2
p,p.MAIN,1d,4
p,p.MAIN,1m,2
