product,contract,period,gap_type,final_classification,next_task,actual_status,audit_end,audit_status,binding_status,classification_source,contract_role,data_role,data_version,date_gap_count,db_market_data_file_id,detail,duplicate_active_count,duplicate_trade_dates,end_date,evidence_id,evidence_source,expected,expected_end,expected_start,gap_candidate,issue_class,issue_type,main_misuse_count,mapped_contracts_missing_bars,mapping_rows,max_trade_date,metadata_status,min_trade_date,missing_count,na_reason,physical_status,profile,provider,quality_status,recommended_next_task,row_count,standard_path,start_date,status,status_reason,symbol_or_contract,target_reason,unique_contracts,year,year/window
a,A2105,1d,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,active_valid,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2105_1d_20201215_20210420_v1,,66743.0,,0.0,,2021-04-20,market_data_file:66743,"db_market_data_file,manifest",True,2021-12-31,2021-01-01,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,long_horizon_daily_v1,rqdata,passed,,84.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2105/A2105_1d_20201215_20210420.parquet,2020-12-15,covered_passed,,A2105,actual_contract_discovered,,2021.0,2021.0
a,A2105,1m,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,not_profile_scoped,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2105_1m_20201215_20210420_v1,,96921.0,,0.0,,2021-04-20,market_data_file:96921,db_market_data_file,True,2020-12-31,2020-01-02,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,,rqdata,passed,,28620.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=A2105/A2105_1m_20201215_20210420.parquet,2020-12-14,covered_passed,,A2105,actual_contract_discovered,,2020.0,2020.0
a,A2105,1m,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,not_profile_scoped,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2105_1m_20201215_20210420_v1,,96921.0,,0.0,,2021-04-20,market_data_file:96921,db_market_data_file,True,2021-12-31,2021-01-01,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,,rqdata,passed,,28620.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=A2105/A2105_1m_20201215_20210420.parquet,2020-12-14,covered_passed,,A2105,actual_contract_discovered,,2021.0,2021.0
a,A2105,1w,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,active_valid,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2105_1w_20201215_20210420_v1,,66745.0,,0.0,,2021-04-16,market_data_file:66745,"db_market_data_file,manifest",True,2020-12-31,2020-01-02,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,long_horizon_daily_v1,rqdata,passed,,17.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2105/A2105_1w_20201215_20210420.parquet,2020-12-25,covered_passed,,A2105,actual_contract_discovered,,2020.0,2020.0
a,A2105,1w,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,active_valid,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2105_1w_20201215_20210420_v1,,66745.0,,0.0,,2021-04-16,market_data_file:66745,"db_market_data_file,manifest",True,2021-12-31,2021-01-01,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,long_horizon_daily_v1,rqdata,passed,,17.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2105/A2105_1w_20201215_20210420.parquet,2020-12-25,covered_passed,,A2105,actual_contract_discovered,,2021.0,2021.0
a,A2109,1d,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,active_valid,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2109_1d_20210421_20210728_v1,,66747.0,,0.0,,2021-07-28,market_data_file:66747,"db_market_data_file,manifest",True,2021-12-31,2021-01-01,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,long_horizon_daily_v1,rqdata,passed,,67.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2109/A2109_1d_20210421_20210728.parquet,2021-04-21,covered_passed,,A2109,actual_contract_discovered,,2021.0,2021.0
a,A2109,1m,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,not_profile_scoped,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2109_1m_20210421_20210728_v1,,96923.0,,0.0,,2021-07-28,market_data_file:96923,db_market_data_file,True,2021-12-31,2021-01-01,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,,rqdata,passed,,22875.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=A2109/A2109_1m_20210421_20210728.parquet,2021-04-20,covered_passed,,A2109,actual_contract_discovered,,2021.0,2021.0
a,A2109,1w,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,active_valid,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2109_1w_20210421_20210728_v1,,66749.0,,0.0,,2021-07-23,market_data_file:66749,"db_market_data_file,manifest",True,2021-12-31,2021-01-01,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,long_horizon_daily_v1,rqdata,passed,,13.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2109/A2109_1w_20210421_20210728.parquet,2021-04-30,covered_passed,,A2109,actual_contract_discovered,,2021.0,2021.0
a,A2111,1d,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,active_valid,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2111_1d_20210729_20211014_v1,,66751.0,,0.0,,2021-10-14,market_data_file:66751,"db_market_data_file,manifest",True,2021-12-31,2021-01-01,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,long_horizon_daily_v1,rqdata,passed,,49.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2111/A2111_1d_20210729_20211014.parquet,2021-07-29,covered_passed,,A2111,actual_contract_discovered,,2021.0,2021.0
a,A2111,1m,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,not_profile_scoped,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2111_1m_20210729_20211014_v1,,96925.0,,0.0,,2021-10-14,market_data_file:96925,db_market_data_file,True,2021-12-31,2021-01-01,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,,rqdata,passed,,16665.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=A2111/A2111_1m_20210729_20211014.parquet,2021-07-28,covered_passed,,A2111,actual_contract_discovered,,2021.0,2021.0
