profile_id,instrument_symbol,contract_code,period,group_key,block_reason,market_data_file_id,evidence_source
intraday_research_v1,b,b.MAIN,1d,b|b.MAIN|1d,sealing_unverified,56436,rulebook
intraday_research_v1,b,b.MAIN,1d,b|b.MAIN|1d,quality_policy_violation,82689,rulebook
intraday_research_v1,b,b.MAIN,1m,b|b.MAIN|1m,checksum_not_verified,71302,rulebook
intraday_research_v1,b,b.MAIN,1m,b|b.MAIN|1m,checksum_not_verified,82769,rulebook
intraday_research_v1,b,b.MAIN,30m,b|b.MAIN|30m,checksum_not_verified,71387,rulebook
intraday_research_v1,b,b.MAIN,5m,b|b.MAIN|5m,checksum_not_verified,71385,rulebook
intraday_research_v1,b,b.MAIN,60m,b|b.MAIN|60m,checksum_not_verified,71388,rulebook
intraday_research_v1,bb,bb.MAIN,15m,bb|bb.MAIN|15m,checksum_not_verified,71582,rulebook
intraday_research_v1,bb,bb.MAIN,1d,bb|bb.MAIN|1d,quality_policy_violation,56438,rulebook
intraday_research_v1,bb,bb.MAIN,1d,bb|bb.MAIN|1d,quality_policy_violation,82705,rulebook
intraday_research_v1,bb,bb.MAIN,1m,bb|bb.MAIN|1m,checksum_not_verified,71533,rulebook
intraday_research_v1,bb,bb.MAIN,1m,bb|bb.MAIN|1m,checksum_not_verified,82757,rulebook
intraday_research_v1,bb,bb.MAIN,30m,bb|bb.MAIN|30m,checksum_not_verified,71583,rulebook
intraday_research_v1,bb,bb.MAIN,5m,bb|bb.MAIN|5m,checksum_not_verified,71581,rulebook
intraday_research_v1,bb,bb.MAIN,60m,bb|bb.MAIN|60m,checksum_not_verified,71584,rulebook
intraday_research_v1,bc,bc.MAIN,15m,bc|bc.MAIN|15m,checksum_not_verified,71510,rulebook
intraday_research_v1,bc,bc.MAIN,1d,bc|bc.MAIN|1d,sealing_unverified,56440,rulebook
intraday_research_v1,bc,bc.MAIN,1m,bc|bc.MAIN|1m,checksum_not_verified,71333,rulebook
intraday_research_v1,bc,bc.MAIN,30m,bc|bc.MAIN|30m,checksum_not_verified,71511,rulebook
intraday_research_v1,bc,bc.MAIN,5m,bc|bc.MAIN|5m,checksum_not_verified,71509,rulebook
intraday_research_v1,bc,bc.MAIN,60m,bc|bc.MAIN|60m,checksum_not_verified,71512,rulebook
intraday_research_v1,br,br.MAIN,15m,br|br.MAIN|15m,checksum_not_verified,71711,rulebook
intraday_research_v1,br,br.MAIN,1d,br|br.MAIN|1d,checksum_not_verified,71652,rulebook
intraday_research_v1,br,br.MAIN,1m,br|br.MAIN|1m,checksum_not_verified,71651,rulebook
intraday_research_v1,br,br.MAIN,30m,br|br.MAIN|30m,checksum_not_verified,71712,rulebook
intraday_research_v1,br,br.MAIN,5m,br|br.MAIN|5m,checksum_not_verified,71710,rulebook
intraday_research_v1,br,br.MAIN,60m,br|br.MAIN|60m,checksum_not_verified,71713,rulebook
intraday_research_v1,bu,bu.MAIN,15m,bu|bu.MAIN|15m,checksum_not_verified,71390,rulebook
intraday_research_v1,bu,bu.MAIN,1d,bu|bu.MAIN|1d,sealing_unverified,56442,rulebook
intraday_research_v1,bu,bu.MAIN,1d,bu|bu.MAIN|1d,checksum_not_verified,82701,rulebook
intraday_research_v1,bu,bu.MAIN,1m,bu|bu.MAIN|1m,checksum_not_verified,71303,rulebook
intraday_research_v1,bu,bu.MAIN,1m,bu|bu.MAIN|1m,checksum_not_verified,82793,rulebook
intraday_research_v1,bu,bu.MAIN,30m,bu|bu.MAIN|30m,checksum_not_verified,71391,rulebook
intraday_research_v1,bu,bu.MAIN,5m,bu|bu.MAIN|5m,checksum_not_verified,71389,rulebook
intraday_research_v1,bu,bu.MAIN,60m,bu|bu.MAIN|60m,checksum_not_verified,71392,rulebook
intraday_research_v1,bz,bz.MAIN,15m,bz|bz.MAIN|15m,checksum_not_verified,71715,rulebook
intraday_research_v1,bz,bz.MAIN,1d,bz|bz.MAIN|1d,checksum_not_verified,71655,rulebook
intraday_research_v1,bz,bz.MAIN,1m,bz|bz.MAIN|1m,checksum_not_verified,71654,rulebook
intraday_research_v1,bz,bz.MAIN,30m,bz|bz.MAIN|30m,checksum_not_verified,71716,rulebook
intraday_research_v1,bz,bz.MAIN,5m,bz|bz.MAIN|5m,checksum_not_verified,71714,rulebook
intraday_research_v1,bz,bz.MAIN,60m,bz|bz.MAIN|60m,checksum_not_verified,71717,rulebook
intraday_research_v1,c,c.MAIN,15m,c|c.MAIN|15m,checksum_not_verified,71394,rulebook
intraday_research_v1,c,c.MAIN,1d,c|c.MAIN|1d,sealing_unverified,56444,rulebook
intraday_research_v1,c,c.MAIN,1d,c|c.MAIN|1d,checksum_not_verified,82676,rulebook
intraday_research_v1,c,c.MAIN,1m,c|c.MAIN|1m,checksum_not_verified,71304,rulebook
intraday_research_v1,c,c.MAIN,1m,c|c.MAIN|1m,checksum_not_verified,82768,rulebook
intraday_research_v1,c,c.MAIN,30m,c|c.MAIN|30m,checksum_not_verified,71395,rulebook
intraday_research_v1,c,c.MAIN,5m,c|c.MAIN|5m,checksum_not_verified,71393,rulebook
intraday_research_v1,c,c.MAIN,60m,c|c.MAIN|60m,checksum_not_verified,71396,rulebook
intraday_research_v1,cf,cf.MAIN,15m,cf|cf.MAIN|15m,checksum_not_verified,71398,rulebook
intraday_research_v1,cf,cf.MAIN,1d,cf|cf.MAIN|1d,sealing_unverified,56446,rulebook
intraday_research_v1,cf,cf.MAIN,1d,cf|cf.MAIN|1d,checksum_not_verified,82674,rulebook
intraday_research_v1,cf,cf.MAIN,1m,cf|cf.MAIN|1m,checksum_not_verified,71305,rulebook
intraday_research_v1,cf,cf.MAIN,1m,cf|cf.MAIN|1m,checksum_not_verified,82766,rulebook
intraday_research_v1,cf,cf.MAIN,30m,cf|cf.MAIN|30m,checksum_not_verified,71399,rulebook
intraday_research_v1,cf,cf.MAIN,5m,cf|cf.MAIN|5m,checksum_not_verified,71397,rulebook
intraday_research_v1,cf,cf.MAIN,60m,cf|cf.MAIN|60m,checksum_not_verified,71400,rulebook
intraday_research_v1,cj,cj.MAIN,15m,cj|cj.MAIN|15m,checksum_not_verified,71586,rulebook
intraday_research_v1,cj,cj.MAIN,1d,cj|cj.MAIN|1d,sealing_unverified,56448,rulebook
intraday_research_v1,cj,cj.MAIN,1d,cj|cj.MAIN|1d,checksum_not_verified,82725,rulebook
intraday_research_v1,cj,cj.MAIN,1m,cj|cj.MAIN|1m,checksum_not_verified,71534,rulebook
intraday_research_v1,cj,cj.MAIN,1m,cj|cj.MAIN|1m,checksum_not_verified,82738,rulebook
intraday_research_v1,cj,cj.MAIN,30m,cj|cj.MAIN|30m,checksum_not_verified,71587,rulebook
intraday_research_v1,cj,cj.MAIN,5m,cj|cj.MAIN|5m,checksum_not_verified,71585,rulebook
