product,listed_date,pre_2020_applicable,pre_2020_status,post_2020_passed_years,post_2020_expected_years,direct_1w_present,direct_1w_row_count,duckdb_row_count,min_datetime,max_datetime,incomplete_week_excluded,seam_2020_status,issue_class
lh,2021-01-08,False,not_applicable,6,6,True,282,282,2021-01-08 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,confirmed_passed
lu,2020-06-22,False,not_applicable,7,7,True,310,310,2020-06-24 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,confirmed_passed
m,2000-07-17,True,partial_or_missing_pre2020,7,7,True,1318,1318,2000-07-21 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,coverage_missing
ma,2014-06-17,True,partial_or_missing_pre2020,7,7,True,618,618,2014-06-20 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,coverage_missing
ni,2015-03-27,True,covered,7,7,True,578,578,2015-03-27 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,confirmed_passed
nr,2019-08-12,True,partial_or_missing_pre2020,7,7,True,354,354,2019-08-16 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,coverage_missing
oi,2012-07-16,True,partial_or_missing_pre2020,7,7,True,716,716,2012-07-20 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,coverage_missing
op,2025-09-10,False,not_applicable,0,2,True,43,43,2025-09-12 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
p,2007-10-29,True,partial_or_missing_pre2020,7,7,True,957,957,2007-11-02 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,coverage_missing
pb,2011-03-24,True,partial_or_missing_pre2020,7,7,True,783,783,2011-03-25 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,coverage_missing
pd,2025-11-27,False,not_applicable,0,2,True,32,32,2025-11-28 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
pf,2020-10-12,False,not_applicable,7,7,True,294,294,2020-10-16 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,confirmed_passed
pg,2020-03-30,False,not_applicable,7,7,True,322,322,2020-04-03 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,confirmed_passed
pk,2021-02-01,False,not_applicable,6,6,True,278,278,2021-02-05 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,confirmed_passed
pl,2025-07-22,False,not_applicable,0,2,True,50,50,2025-07-25 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
pm,2012-01-17,True,partial_or_missing_pre2020,7,7,True,741,741,2012-01-20 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,coverage_missing
pp,2014-02-28,True,covered,7,7,True,634,634,2014-02-28 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,confirmed_passed
pp_f,2025-10-29,False,not_applicable,0,2,True,36,36,2025-10-31 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
pr,2024-08-30,False,not_applicable,0,3,True,97,97,2024-08-30 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
ps,2024-12-26,False,not_applicable,0,3,True,80,80,2024-12-27 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
pt,2025-11-27,False,not_applicable,0,2,True,32,32,2025-11-28 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
px,2023-09-15,False,not_applicable,0,4,True,145,145,2023-09-15 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
rb,2009-03-27,True,covered,7,7,True,886,886,2009-03-27 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,confirmed_passed
ri,2012-07-24,True,partial_or_missing_pre2020,7,7,True,715,715,2012-07-27 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,coverage_missing
rm,2012-12-28,True,covered,7,7,True,694,694,2012-12-28 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,confirmed_passed
rr,2019-08-16,True,covered,7,7,True,354,354,2019-08-16 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,confirmed_passed
rs,2012-12-28,True,covered,7,7,True,694,694,2012-12-28 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,confirmed_passed
ru,1999-01-04,True,partial_or_missing_pre2020,7,7,True,1343,1343,2000-01-07 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,coverage_missing
sa,2019-12-06,True,covered,7,7,True,338,338,2019-12-06 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,confirmed_passed
sc,2018-03-26,True,partial_or_missing_pre2020,7,7,True,424,424,2018-03-30 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,coverage_missing
sf,2014-08-08,True,covered,7,7,True,611,611,2014-08-08 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,confirmed_passed
sh,2023-09-15,False,not_applicable,0,4,True,145,145,2023-09-15 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
si,2022-12-22,False,not_applicable,5,5,True,182,182,2022-12-23 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,confirmed_passed
sm,2014-08-08,True,covered,7,7,True,611,611,2014-08-08 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,confirmed_passed
sn,2015-03-27,True,covered,7,7,True,578,578,2015-03-27 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,confirmed_passed
sp,2018-11-27,True,partial_or_missing_pre2020,7,7,True,390,390,2018-11-30 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,coverage_missing
sr,2006-01-06,True,covered,7,7,True,1047,1047,2006-01-06 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,confirmed_passed
ss,2019-09-25,True,partial_or_missing_pre2020,7,7,True,348,348,2019-09-27 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,coverage_missing
t,2015-03-20,True,covered,7,7,True,579,579,2015-03-20 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,confirmed_passed
ta,2006-12-18,True,partial_or_missing_pre2020,7,7,True,1000,1000,2006-12-22 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,coverage_missing
tf,2013-09-06,True,covered,7,7,True,659,659,2013-09-06 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,confirmed_passed
tl,2023-04-21,False,not_applicable,0,4,True,166,166,2023-04-21 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
ts,2018-08-17,True,covered,7,7,True,404,404,2018-08-17 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,confirmed_passed
ur,2019-08-09,True,covered,7,7,True,355,355,2019-08-09 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,confirmed_passed
v,2009-05-25,True,partial_or_missing_pre2020,7,7,True,877,877,2009-05-27 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,coverage_missing
v_f,2025-10-29,False,not_applicable,0,2,True,36,36,2025-10-31 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
wh,2012-07-24,True,partial_or_missing_pre2020,7,7,True,715,715,2012-07-27 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,coverage_missing
wr,2009-03-27,True,covered,7,7,True,881,881,2009-03-27 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,confirmed_passed
y,2006-01-09,True,partial_or_missing_pre2020,7,7,True,1046,1046,2006-01-13 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,coverage_missing
zc,2015-05-18,True,partial_or_missing_pre2020,7,7,True,570,570,2015-05-22 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,coverage_missing
zn,2007-03-26,True,partial_or_missing_pre2020,7,7,True,987,987,2007-03-30 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,coverage_missing
