issue_type,product,contract_role,symbol_or_contract,period,year,status,evidence_source,recommended_next_task,issue_class,upgrade_to_passed_allowed
data_role_superseded,au,dominant_main,au.MAIN,15m,2024,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,au,dominant_main,au.MAIN,15m,2025,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,au,dominant_main,au.MAIN,15m,2026,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,au,dominant_main,au.MAIN,30m,2023,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,au,dominant_main,au.MAIN,30m,2024,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,au,dominant_main,au.MAIN,30m,2025,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,au,dominant_main,au.MAIN,30m,2026,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,au,dominant_main,au.MAIN,60m,2023,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,au,dominant_main,au.MAIN,60m,2024,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,au,dominant_main,au.MAIN,60m,2025,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,au,dominant_main,au.MAIN,60m,2026,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,b,dominant_main,b.MAIN,1m,2023,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,b,dominant_main,b.MAIN,1m,2024,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,b,dominant_main,b.MAIN,1m,2025,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,b,dominant_main,b.MAIN,1m,2026,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,b,dominant_main,b.MAIN,5m,2023,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,b,dominant_main,b.MAIN,5m,2024,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,b,dominant_main,b.MAIN,5m,2025,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,b,dominant_main,b.MAIN,5m,2026,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,b,dominant_main,b.MAIN,15m,2023,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,b,dominant_main,b.MAIN,15m,2024,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,b,dominant_main,b.MAIN,15m,2025,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,b,dominant_main,b.MAIN,15m,2026,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,b,dominant_main,b.MAIN,30m,2023,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,b,dominant_main,b.MAIN,30m,2024,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,b,dominant_main,b.MAIN,30m,2025,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,b,dominant_main,b.MAIN,30m,2026,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,b,dominant_main,b.MAIN,60m,2023,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,b,dominant_main,b.MAIN,60m,2024,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,b,dominant_main,b.MAIN,60m,2025,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,b,dominant_main,b.MAIN,60m,2026,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
quality_warning,bb,dominant_main,bb.MAIN,1d,2020,covered_warning,"db_market_data_file,manifest",readonly_quality_root_cause_audit,quality_warning,false
quality_warning,bb,dominant_main,bb.MAIN,1d,2021,covered_warning,"db_market_data_file,manifest",readonly_quality_root_cause_audit,quality_warning,false
quality_warning,bb,dominant_main,bb.MAIN,1d,2022,covered_warning,"db_market_data_file,manifest",readonly_quality_root_cause_audit,quality_warning,false
quality_warning,bb,dominant_main,bb.MAIN,1d,2023,covered_warning,"db_market_data_file,manifest",readonly_quality_root_cause_audit,quality_warning,false
quality_warning,bb,dominant_main,bb.MAIN,1d,2024,covered_warning,"db_market_data_file,manifest",readonly_quality_root_cause_audit,quality_warning,false
quality_warning,bb,dominant_main,bb.MAIN,1d,2025,covered_warning,"db_market_data_file,manifest",readonly_quality_root_cause_audit,quality_warning,false
quality_warning,bb,dominant_main,bb.MAIN,1d,2026,covered_warning,"db_market_data_file,manifest",readonly_quality_root_cause_audit,quality_warning,false
quality_warning,bb,dominant_main,bb.MAIN,1w,2020,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit,quality_warning,false
quality_warning,bb,dominant_main,bb.MAIN,1w,2021,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit,quality_warning,false
quality_warning,bb,dominant_main,bb.MAIN,1w,2022,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit,quality_warning,false
quality_warning,bb,dominant_main,bb.MAIN,1w,2023,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit,quality_warning,false
quality_warning,bb,dominant_main,bb.MAIN,1w,2024,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit,quality_warning,false
quality_warning,bb,dominant_main,bb.MAIN,1w,2025,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit,quality_warning,false
quality_warning,bb,dominant_main,bb.MAIN,1w,2026,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit,quality_warning,false
data_role_superseded,bb,dominant_main,bb.MAIN,1m,2023,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,bb,dominant_main,bb.MAIN,1m,2024,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,bb,dominant_main,bb.MAIN,1m,2025,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,bb,dominant_main,bb.MAIN,1m,2026,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,bb,dominant_main,bb.MAIN,5m,2023,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,bb,dominant_main,bb.MAIN,5m,2024,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,bb,dominant_main,bb.MAIN,5m,2025,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,bb,dominant_main,bb.MAIN,5m,2026,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
data_role_superseded,bb,dominant_main,bb.MAIN,15m,2023,metadata_gap,"db_market_data_file,manifest",target_coverage_gap_triage,data_role_superseded,
