product,contract_role,period,source_role,listing_start,provider_authoritative_start,provider_metadata_support,physical_min,target_start,target_end,boundary_status,boundary_reason
ao,dominant_main,1w,direct,2023-06-19,,absent,2023-06-21,2023-06-21,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
ao,dominant_main,30m,derived_from_1m,2023-06-19,,absent,2023-06-19,2023-06-19,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ao,dominant_main,5m,derived_from_1m,2023-06-19,,absent,2023-06-19,2023-06-19,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ao,dominant_main,60m,derived_from_1m,2023-06-19,,absent,2023-06-19,2023-06-19,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ap,dominant_main,15m,derived_from_1m,2017-12-22,,absent,2020-01-02,2017-12-22,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ap,dominant_main,1d,derived_from_1m,2017-12-22,,absent,2017-12-22,2017-12-22,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ap,dominant_main,1d,direct,2017-12-22,,absent,2017-12-22,2017-12-22,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
ap,dominant_main,1m,direct,2017-12-22,,absent,2017-12-22,2017-12-22,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
ap,dominant_main,1w,direct,2017-12-22,,absent,2017-12-22,2017-12-22,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
ap,dominant_main,30m,derived_from_1m,2017-12-22,,absent,2020-01-02,2017-12-22,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ap,dominant_main,5m,derived_from_1m,2017-12-22,,absent,2020-01-02,2017-12-22,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ap,dominant_main,60m,derived_from_1m,2017-12-22,,absent,2020-01-02,2017-12-22,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
au,dominant_main,15m,derived_from_1m,2008-01-09,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
au,dominant_main,1d,derived_from_1m,2008-01-09,,absent,2008-01-09,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
au,dominant_main,1d,direct,2008-01-09,,absent,2008-01-09,2008-01-09,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
au,dominant_main,1m,direct,2008-01-09,,absent,2010-01-04,2010-01-04,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
au,dominant_main,1w,direct,2008-01-09,,absent,2008-01-11,2008-01-11,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
au,dominant_main,30m,derived_from_1m,2008-01-09,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
au,dominant_main,5m,derived_from_1m,2008-01-09,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
au,dominant_main,60m,derived_from_1m,2008-01-09,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
b,dominant_main,15m,derived_from_1m,2004-12-22,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
b,dominant_main,1d,derived_from_1m,2004-12-22,,absent,2004-12-22,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
b,dominant_main,1d,direct,2004-12-22,,absent,2004-12-22,2004-12-22,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
b,dominant_main,1m,direct,2004-12-22,,absent,2010-01-04,2010-01-04,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
b,dominant_main,1w,direct,2004-12-22,,absent,2004-12-24,2004-12-24,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
b,dominant_main,30m,derived_from_1m,2004-12-22,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
b,dominant_main,5m,derived_from_1m,2004-12-22,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
b,dominant_main,60m,derived_from_1m,2004-12-22,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
bb,dominant_main,15m,derived_from_1m,2013-12-06,,absent,2020-01-02,2013-12-06,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
bb,dominant_main,1d,derived_from_1m,2013-12-06,,absent,2013-12-06,2013-12-06,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
bb,dominant_main,1d,direct,2013-12-06,,absent,2013-12-06,2013-12-06,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
bb,dominant_main,1m,direct,2013-12-06,,absent,2013-12-06,2013-12-06,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
bb,dominant_main,1w,direct,2013-12-06,,absent,2013-12-06,2013-12-06,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
bb,dominant_main,30m,derived_from_1m,2013-12-06,,absent,2020-01-02,2013-12-06,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
bb,dominant_main,5m,derived_from_1m,2013-12-06,,absent,2020-01-02,2013-12-06,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
bb,dominant_main,60m,derived_from_1m,2013-12-06,,absent,2020-01-02,2013-12-06,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
bc,dominant_main,15m,derived_from_1m,2020-11-19,,absent,2020-11-19,2020-11-19,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
bc,dominant_main,1d,derived_from_1m,2020-11-19,,absent,2020-11-19,2020-11-19,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
bc,dominant_main,1d,direct,2020-11-19,,absent,2020-11-19,2020-11-19,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
bc,dominant_main,1m,direct,2020-11-19,,absent,2020-11-19,2020-11-19,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
bc,dominant_main,1w,direct,2020-11-19,,absent,2020-11-20,2020-11-20,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
bc,dominant_main,30m,derived_from_1m,2020-11-19,,absent,2020-11-19,2020-11-19,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
bc,dominant_main,5m,derived_from_1m,2020-11-19,,absent,2020-11-19,2020-11-19,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
bc,dominant_main,60m,derived_from_1m,2020-11-19,,absent,2020-11-19,2020-11-19,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
br,dominant_main,15m,derived_from_1m,2023-07-28,,absent,2023-07-28,2023-07-28,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
br,dominant_main,1d,derived_from_1m,2023-07-28,,absent,2023-07-28,2023-07-28,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
br,dominant_main,1d,direct,2023-07-28,,absent,2023-07-28,2023-07-28,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
br,dominant_main,1m,direct,2023-07-28,,absent,2023-07-28,2023-07-28,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
br,dominant_main,1w,direct,2023-07-28,,absent,2023-07-28,2023-07-28,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
br,dominant_main,30m,derived_from_1m,2023-07-28,,absent,2023-07-28,2023-07-28,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
br,dominant_main,5m,derived_from_1m,2023-07-28,,absent,2023-07-28,2023-07-28,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
br,dominant_main,60m,derived_from_1m,2023-07-28,,absent,2023-07-28,2023-07-28,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
bu,dominant_main,15m,derived_from_1m,2013-10-09,,absent,2020-01-02,2013-10-09,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
bu,dominant_main,1d,derived_from_1m,2013-10-09,,absent,2013-10-09,2013-10-09,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
bu,dominant_main,1d,direct,2013-10-09,,absent,2013-10-09,2013-10-09,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
bu,dominant_main,1m,direct,2013-10-09,,absent,2013-10-09,2013-10-09,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
bu,dominant_main,1w,direct,2013-10-09,,absent,2013-10-11,2013-10-11,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
bu,dominant_main,30m,derived_from_1m,2013-10-09,,absent,2020-01-02,2013-10-09,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
bu,dominant_main,5m,derived_from_1m,2013-10-09,,absent,2020-01-02,2013-10-09,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
bu,dominant_main,60m,derived_from_1m,2013-10-09,,absent,2020-01-02,2013-10-09,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
bz,dominant_main,15m,derived_from_1m,2025-07-08,,absent,2025-07-08,2025-07-08,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
bz,dominant_main,1d,derived_from_1m,2025-07-08,,absent,2025-07-08,2025-07-08,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
bz,dominant_main,1d,direct,2025-07-08,,absent,2025-07-08,2025-07-08,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
bz,dominant_main,1m,direct,2025-07-08,,absent,2025-07-08,2025-07-08,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
bz,dominant_main,1w,direct,2025-07-08,,absent,2025-07-11,2025-07-11,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
bz,dominant_main,30m,derived_from_1m,2025-07-08,,absent,2025-07-08,2025-07-08,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
bz,dominant_main,5m,derived_from_1m,2025-07-08,,absent,2025-07-08,2025-07-08,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
bz,dominant_main,60m,derived_from_1m,2025-07-08,,absent,2025-07-08,2025-07-08,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
c,dominant_main,15m,derived_from_1m,2004-09-22,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
c,dominant_main,1d,derived_from_1m,2004-09-22,,absent,2004-09-22,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
c,dominant_main,1d,direct,2004-09-22,,absent,2004-09-22,2004-09-22,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
c,dominant_main,1m,direct,2004-09-22,,absent,2010-01-04,2010-01-04,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
c,dominant_main,1w,direct,2004-09-22,,absent,2004-09-24,2004-09-24,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
c,dominant_main,30m,derived_from_1m,2004-09-22,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
c,dominant_main,5m,derived_from_1m,2004-09-22,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
c,dominant_main,60m,derived_from_1m,2004-09-22,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
cf,dominant_main,15m,derived_from_1m,2004-06-01,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
cf,dominant_main,1d,derived_from_1m,2004-06-01,,absent,2004-06-01,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
cf,dominant_main,1d,direct,2004-06-01,,absent,2004-06-01,2004-06-01,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
cf,dominant_main,1m,direct,2004-06-01,,absent,2010-01-04,2010-01-04,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
cf,dominant_main,1w,direct,2004-06-01,,absent,2004-06-04,2004-06-04,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
cf,dominant_main,30m,derived_from_1m,2004-06-01,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
cf,dominant_main,5m,derived_from_1m,2004-06-01,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
cf,dominant_main,60m,derived_from_1m,2004-06-01,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
cj,dominant_main,15m,derived_from_1m,2019-04-30,,absent,2020-01-02,2019-04-30,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
cj,dominant_main,1d,derived_from_1m,2019-04-30,,absent,2019-04-30,2019-04-30,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
cj,dominant_main,1d,direct,2019-04-30,,absent,2019-04-30,2019-04-30,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
cj,dominant_main,1m,direct,2019-04-30,,absent,2019-04-30,2019-04-30,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
cj,dominant_main,1w,direct,2019-04-30,,absent,2019-04-30,2019-04-30,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
cj,dominant_main,30m,derived_from_1m,2019-04-30,,absent,2020-01-02,2019-04-30,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
cj,dominant_main,5m,derived_from_1m,2019-04-30,,absent,2020-01-02,2019-04-30,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
cj,dominant_main,60m,derived_from_1m,2019-04-30,,absent,2020-01-02,2019-04-30,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
cs,dominant_main,15m,derived_from_1m,2014-12-19,,absent,2020-01-02,2014-12-19,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
cs,dominant_main,1d,derived_from_1m,2014-12-19,,absent,2014-12-19,2014-12-19,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
cs,dominant_main,1d,direct,2014-12-19,,absent,2014-12-19,2014-12-19,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
cs,dominant_main,1m,direct,2014-12-19,,absent,2014-12-19,2014-12-19,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
cs,dominant_main,1w,direct,2014-12-19,,absent,2014-12-19,2014-12-19,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
cs,dominant_main,30m,derived_from_1m,2014-12-19,,absent,2020-01-02,2014-12-19,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
cs,dominant_main,5m,derived_from_1m,2014-12-19,,absent,2020-01-02,2014-12-19,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
cs,dominant_main,60m,derived_from_1m,2014-12-19,,absent,2020-01-02,2014-12-19,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
cu,dominant_main,15m,derived_from_1m,1999-01-04,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
cu,dominant_main,1d,derived_from_1m,1999-01-04,,absent,2000-01-05,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
cu,dominant_main,1d,direct,1999-01-04,,absent,2000-01-05,2000-01-05,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
cu,dominant_main,1m,direct,1999-01-04,,absent,2010-01-04,2010-01-04,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
cu,dominant_main,1w,direct,1999-01-04,,absent,2000-01-07,2000-01-07,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
cu,dominant_main,30m,derived_from_1m,1999-01-04,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
cu,dominant_main,5m,derived_from_1m,1999-01-04,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
cu,dominant_main,60m,derived_from_1m,1999-01-04,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
cy,dominant_main,15m,derived_from_1m,2017-08-18,,absent,2020-01-02,2017-08-18,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
cy,dominant_main,1d,derived_from_1m,2017-08-18,,absent,2017-08-18,2017-08-18,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
cy,dominant_main,1d,direct,2017-08-18,,absent,2017-08-18,2017-08-18,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
cy,dominant_main,1m,direct,2017-08-18,,absent,2017-08-18,2017-08-18,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
cy,dominant_main,1w,direct,2017-08-18,,absent,2017-08-18,2017-08-18,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
cy,dominant_main,30m,derived_from_1m,2017-08-18,,absent,2020-01-02,2017-08-18,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
cy,dominant_main,5m,derived_from_1m,2017-08-18,,absent,2020-01-02,2017-08-18,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
cy,dominant_main,60m,derived_from_1m,2017-08-18,,absent,2020-01-02,2017-08-18,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
eb,dominant_main,15m,derived_from_1m,2019-09-26,,absent,2020-01-02,2019-09-26,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
eb,dominant_main,1d,derived_from_1m,2019-09-26,,absent,2019-09-26,2019-09-26,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
eb,dominant_main,1d,direct,2019-09-26,,absent,2019-09-26,2019-09-26,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
eb,dominant_main,1m,direct,2019-09-26,,absent,2019-09-26,2019-09-26,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
eb,dominant_main,1w,direct,2019-09-26,,absent,2019-09-27,2019-09-27,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
eb,dominant_main,30m,derived_from_1m,2019-09-26,,absent,2020-01-02,2019-09-26,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
eb,dominant_main,5m,derived_from_1m,2019-09-26,,absent,2020-01-02,2019-09-26,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
eb,dominant_main,60m,derived_from_1m,2019-09-26,,absent,2020-01-02,2019-09-26,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ec,dominant_main,15m,derived_from_1m,2023-08-18,,absent,2023-08-18,2023-08-18,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ec,dominant_main,1d,derived_from_1m,2023-08-18,,absent,2023-08-18,2023-08-18,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ec,dominant_main,1d,direct,2023-08-18,,absent,2023-08-18,2023-08-18,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
ec,dominant_main,1m,direct,2023-08-18,,absent,2023-08-18,2023-08-18,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
ec,dominant_main,1w,direct,2023-08-18,,absent,2023-08-18,2023-08-18,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
ec,dominant_main,30m,derived_from_1m,2023-08-18,,absent,2023-08-18,2023-08-18,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ec,dominant_main,5m,derived_from_1m,2023-08-18,,absent,2023-08-18,2023-08-18,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ec,dominant_main,60m,derived_from_1m,2023-08-18,,absent,2023-08-18,2023-08-18,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
eg,dominant_main,15m,derived_from_1m,2018-12-10,,absent,2020-01-02,2018-12-10,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
eg,dominant_main,1d,derived_from_1m,2018-12-10,,absent,2018-12-10,2018-12-10,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
eg,dominant_main,1d,direct,2018-12-10,,absent,2018-12-10,2018-12-10,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
eg,dominant_main,1m,direct,2018-12-10,,absent,2018-12-10,2018-12-10,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
eg,dominant_main,1w,direct,2018-12-10,,absent,2018-12-14,2018-12-14,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
eg,dominant_main,30m,derived_from_1m,2018-12-10,,absent,2020-01-02,2018-12-10,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
eg,dominant_main,5m,derived_from_1m,2018-12-10,,absent,2020-01-02,2018-12-10,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
eg,dominant_main,60m,derived_from_1m,2018-12-10,,absent,2020-01-02,2018-12-10,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
fb,dominant_main,15m,derived_from_1m,2013-12-06,,absent,2020-01-02,2013-12-06,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
fb,dominant_main,1d,derived_from_1m,2013-12-06,,absent,2013-12-06,2013-12-06,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
fb,dominant_main,1d,direct,2013-12-06,,absent,2013-12-06,2013-12-06,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
fb,dominant_main,1m,direct,2013-12-06,,absent,2013-12-06,2013-12-06,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
fb,dominant_main,1w,direct,2013-12-06,,absent,2013-12-06,2013-12-06,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
fb,dominant_main,30m,derived_from_1m,2013-12-06,,absent,2020-01-02,2013-12-06,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
fb,dominant_main,5m,derived_from_1m,2013-12-06,,absent,2020-01-02,2013-12-06,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
fb,dominant_main,60m,derived_from_1m,2013-12-06,,absent,2020-01-02,2013-12-06,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
fg,dominant_main,15m,derived_from_1m,2012-12-03,,absent,2020-01-02,2012-12-03,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
fg,dominant_main,1d,derived_from_1m,2012-12-03,,absent,2012-12-03,2012-12-03,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
fg,dominant_main,1d,direct,2012-12-03,,absent,2012-12-03,2012-12-03,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
fg,dominant_main,1m,direct,2012-12-03,,absent,2012-12-03,2012-12-03,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
fg,dominant_main,1w,direct,2012-12-03,,absent,2012-12-07,2012-12-07,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
fg,dominant_main,30m,derived_from_1m,2012-12-03,,absent,2020-01-02,2012-12-03,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
fg,dominant_main,5m,derived_from_1m,2012-12-03,,absent,2020-01-02,2012-12-03,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
fg,dominant_main,60m,derived_from_1m,2012-12-03,,absent,2020-01-02,2012-12-03,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
fu,dominant_main,15m,derived_from_1m,2004-08-25,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
fu,dominant_main,1d,derived_from_1m,2004-08-25,,absent,2004-08-25,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
fu,dominant_main,1d,direct,2004-08-25,,absent,2004-08-25,2004-08-25,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
fu,dominant_main,1m,direct,2004-08-25,,absent,2010-01-04,2010-01-04,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
fu,dominant_main,1w,direct,2004-08-25,,absent,2004-08-27,2004-08-27,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
fu,dominant_main,30m,derived_from_1m,2004-08-25,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
fu,dominant_main,5m,derived_from_1m,2004-08-25,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
fu,dominant_main,60m,derived_from_1m,2004-08-25,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
hc,dominant_main,15m,derived_from_1m,2014-03-21,,absent,2020-01-02,2014-03-21,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
hc,dominant_main,1d,derived_from_1m,2014-03-21,,absent,2014-03-21,2014-03-21,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
hc,dominant_main,1d,direct,2014-03-21,,absent,2014-03-21,2014-03-21,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
hc,dominant_main,1m,direct,2014-03-21,,absent,2014-03-21,2014-03-21,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
hc,dominant_main,1w,direct,2014-03-21,,absent,2014-03-21,2014-03-21,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
hc,dominant_main,30m,derived_from_1m,2014-03-21,,absent,2020-01-02,2014-03-21,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
hc,dominant_main,5m,derived_from_1m,2014-03-21,,absent,2020-01-02,2014-03-21,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
hc,dominant_main,60m,derived_from_1m,2014-03-21,,absent,2020-01-02,2014-03-21,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
i,dominant_main,15m,derived_from_1m,2013-10-18,,absent,2020-01-02,2013-10-18,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
i,dominant_main,1d,derived_from_1m,2013-10-18,,absent,2013-10-18,2013-10-18,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
i,dominant_main,1d,direct,2013-10-18,,absent,2013-10-18,2013-10-18,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
i,dominant_main,1m,direct,2013-10-18,,absent,2013-10-18,2013-10-18,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
i,dominant_main,1w,direct,2013-10-18,,absent,2013-10-18,2013-10-18,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
i,dominant_main,30m,derived_from_1m,2013-10-18,,absent,2020-01-02,2013-10-18,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
i,dominant_main,5m,derived_from_1m,2013-10-18,,absent,2020-01-02,2013-10-18,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
i,dominant_main,60m,derived_from_1m,2013-10-18,,absent,2020-01-02,2013-10-18,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ic,dominant_main,15m,derived_from_1m,2015-04-16,,absent,2020-01-02,2015-04-16,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ic,dominant_main,1d,derived_from_1m,2015-04-16,,absent,2015-04-16,2015-04-16,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ic,dominant_main,1d,direct,2015-04-16,,absent,2015-04-16,2015-04-16,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
ic,dominant_main,1m,direct,2015-04-16,,absent,2015-04-16,2015-04-16,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
ic,dominant_main,1w,direct,2015-04-16,,absent,2015-04-17,2015-04-17,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
ic,dominant_main,30m,derived_from_1m,2015-04-16,,absent,2020-01-02,2015-04-16,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ic,dominant_main,5m,derived_from_1m,2015-04-16,,absent,2020-01-02,2015-04-16,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
