profile_id,product,period,quality_policy,active_binding_count,profile_eligibility,reason
intraday_research_v1,a,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,a,5m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,a,15m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,a,30m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,a,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,a,1d,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,ad,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,ad,5m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,ad,15m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,ad,30m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,ad,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,ad,1d,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,ag,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,ag,5m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,ag,15m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,ag,30m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,ag,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,ag,1d,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,al,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,al,5m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,al,15m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,al,30m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,al,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
