product,metadata_type,applicability,status,reason,evidence_start,evidence_end
bu,contract_universe,applicable,unverified,blocked_by_trading_calendar,2013-10-09,2026-07-10
bu,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2013-10-09,2026-07-07
bu,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
bu,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2013-10-09,2026-07-10
bu,trading_session,applicable,unverified,historical_scope_unverified,,
bz,asset_registration,applicable,passed,registered_contract_listing,2025-07-08,2026-07-10
bz,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2025-07-08,2026-07-07
bz,contract_universe,applicable,unverified,blocked_by_trading_calendar,2025-07-08,2026-07-10
bz,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2025-07-08,2026-07-07
bz,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
bz,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2025-07-08,2026-07-10
bz,trading_session,applicable,unverified,historical_scope_unverified,,
c,asset_registration,applicable,passed,registered_contract_listing,2004-09-22,2026-07-10
c,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
c,contract_universe,applicable,unverified,blocked_by_trading_calendar,2010-01-04,2026-07-10
c,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2005-01-04,2026-07-07
c,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
c,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2008-01-16,2026-07-10
c,trading_session,applicable,unverified,historical_scope_unverified,,
cf,asset_registration,applicable,passed,registered_contract_listing,2004-06-01,2026-07-10
cf,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
cf,contract_universe,applicable,unverified,blocked_by_trading_calendar,2010-01-04,2026-07-10
cf,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2005-01-04,2026-06-24
cf,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
cf,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2009-09-15,2026-07-10
cf,trading_session,applicable,unverified,historical_scope_unverified,,
cj,asset_registration,applicable,passed,registered_contract_listing,2019-04-30,2026-07-10
cj,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
cj,contract_universe,applicable,unverified,blocked_by_trading_calendar,2019-04-30,2026-07-10
cj,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2019-04-30,2026-06-24
cj,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
cj,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2019-04-30,2026-07-10
cj,trading_session,applicable,unverified,historical_scope_unverified,,
cs,asset_registration,applicable,passed,registered_contract_listing,2014-12-19,2026-07-10
cs,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
cs,contract_universe,applicable,unverified,blocked_by_trading_calendar,2014-12-19,2026-07-10
cs,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2014-12-19,2026-07-07
cs,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
cs,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2014-12-19,2026-07-10
cs,trading_session,applicable,unverified,historical_scope_unverified,,
cu,asset_registration,applicable,passed,registered_contract_listing,1999-01-04,2026-07-10
cu,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
cu,contract_universe,applicable,unverified,blocked_by_trading_calendar,2010-01-04,2026-07-10
cu,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2005-01-04,2026-07-07
cu,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
cu,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2012-10-16,2026-07-10
cu,trading_session,applicable,unverified,historical_scope_unverified,,
cy,asset_registration,applicable,passed,registered_contract_listing,2017-08-18,2026-07-10
cy,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
cy,contract_universe,applicable,unverified,blocked_by_trading_calendar,2017-08-18,2026-07-10
cy,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2017-08-18,2026-07-07
cy,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
cy,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2017-08-18,2026-07-10
cy,trading_session,applicable,unverified,historical_scope_unverified,,
eb,asset_registration,applicable,passed,registered_contract_listing,2019-09-26,2026-07-10
eb,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
eb,contract_universe,applicable,unverified,blocked_by_trading_calendar,2019-09-26,2026-07-10
eb,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2019-09-26,2026-07-07
eb,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
eb,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2019-09-26,2026-07-10
eb,trading_session,applicable,unverified,historical_scope_unverified,,
