product,contract_role,period,source_role,year,expected_start,expected_end,boundary_status
ag,dominant_main,1m,direct,2022,2022-01-01,2022-12-31,start_boundary_supported
ag,dominant_main,1m,direct,2023,2023-01-01,2023-12-31,start_boundary_supported
ag,dominant_main,1m,direct,2024,2024-01-01,2024-12-31,start_boundary_supported
ag,dominant_main,1m,direct,2025,2025-01-01,2025-12-31,start_boundary_supported
ag,dominant_main,1m,direct,2026,2026-01-01,2026-07-10,start_boundary_supported
ag,dominant_main,1w,direct,2012,2012-05-11,2012-12-31,start_boundary_supported
ag,dominant_main,1w,direct,2013,2013-01-01,2013-12-31,start_boundary_supported
ag,dominant_main,1w,direct,2014,2014-01-01,2014-12-31,start_boundary_supported
ag,dominant_main,1w,direct,2015,2015-01-01,2015-12-31,start_boundary_supported
ag,dominant_main,1w,direct,2016,2016-01-01,2016-12-31,start_boundary_supported
ag,dominant_main,1w,direct,2017,2017-01-01,2017-12-31,start_boundary_supported
ag,dominant_main,1w,direct,2018,2018-01-01,2018-12-31,start_boundary_supported
ag,dominant_main,1w,direct,2019,2019-01-01,2019-12-31,start_boundary_supported
ag,dominant_main,1w,direct,2020,2020-01-01,2020-12-31,start_boundary_supported
ag,dominant_main,1w,direct,2021,2021-01-01,2021-12-31,start_boundary_supported
ag,dominant_main,1w,direct,2022,2022-01-01,2022-12-31,start_boundary_supported
ag,dominant_main,1w,direct,2023,2023-01-01,2023-12-31,start_boundary_supported
ag,dominant_main,1w,direct,2024,2024-01-01,2024-12-31,start_boundary_supported
ag,dominant_main,1w,direct,2025,2025-01-01,2025-12-31,start_boundary_supported
ag,dominant_main,1w,direct,2026,2026-01-01,2026-07-10,start_boundary_supported
ag,dominant_main,30m,derived_from_1m,2012,2012-05-10,2012-12-31,start_boundary_supported
ag,dominant_main,30m,derived_from_1m,2013,2013-01-01,2013-12-31,start_boundary_supported
ag,dominant_main,30m,derived_from_1m,2014,2014-01-01,2014-12-31,start_boundary_supported
ag,dominant_main,30m,derived_from_1m,2015,2015-01-01,2015-12-31,start_boundary_supported
