product,contract,plan_status,reason,through,dataset,year,month,expected_start,expected_end,expected_bar_count,missing_start,missing_end,missing_bar_count
PF,PF2306,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-05-10,"[""contract"", ""pf"", ""PF2306"", ""1d""]",2022,11,2022-11-01T07:00:00+00:00,2022-11-30T07:00:00+00:00,22,2022-11-01T07:00:00+00:00,2022-11-30T07:00:00+00:00,22
PF,PF2306,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-05-10,"[""contract"", ""pf"", ""PF2306"", ""1d""]",2022,12,2022-12-01T07:00:00+00:00,2022-12-30T07:00:00+00:00,22,2022-12-01T07:00:00+00:00,2022-12-30T07:00:00+00:00,22
PF,PF2306,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-05-10,"[""contract"", ""pf"", ""PF2306"", ""1d""]",2023,1,2023-01-03T07:00:00+00:00,2023-01-31T07:00:00+00:00,16,2023-01-03T07:00:00+00:00,2023-01-31T07:00:00+00:00,16
PF,PF2306,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-05-10,"[""contract"", ""pf"", ""PF2306"", ""1d""]",2023,2,2023-02-01T07:00:00+00:00,2023-02-28T07:00:00+00:00,20,2023-02-01T07:00:00+00:00,2023-02-28T07:00:00+00:00,20
PF,PF2306,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-05-10,"[""contract"", ""pf"", ""PF2306"", ""1d""]",2023,3,2023-03-01T07:00:00+00:00,2023-03-31T07:00:00+00:00,23,2023-03-01T07:00:00+00:00,2023-03-31T07:00:00+00:00,23
PF,PF2306,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-05-10,"[""contract"", ""pf"", ""PF2306"", ""1w""]",2022,6,2022-06-17T07:00:00+00:00,2022-06-24T07:00:00+00:00,2,2022-06-17T07:00:00+00:00,2022-06-24T07:00:00+00:00,2
PF,PF2306,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-05-10,"[""contract"", ""pf"", ""PF2306"", ""1w""]",2022,7,2022-07-01T07:00:00+00:00,2022-07-29T07:00:00+00:00,5,2022-07-01T07:00:00+00:00,2022-07-29T07:00:00+00:00,5
PF,PF2306,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-05-10,"[""contract"", ""pf"", ""PF2306"", ""1w""]",2022,8,2022-08-05T07:00:00+00:00,2022-08-26T07:00:00+00:00,4,2022-08-05T07:00:00+00:00,2022-08-26T07:00:00+00:00,4
PF,PF2306,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-05-10,"[""contract"", ""pf"", ""PF2306"", ""1w""]",2022,9,2022-09-02T07:00:00+00:00,2022-09-30T07:00:00+00:00,5,2022-09-02T07:00:00+00:00,2022-09-30T07:00:00+00:00,5
PF,PF2306,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-05-10,"[""contract"", ""pf"", ""PF2306"", ""1w""]",2022,10,2022-10-14T07:00:00+00:00,2022-10-28T07:00:00+00:00,3,2022-10-14T07:00:00+00:00,2022-10-28T07:00:00+00:00,3
PF,PF2306,REVIEW_REQUIRED,REPAIR_SCOPE_SOURCE_OR_INTEGRITY,2023-05-10,"[""contract"", ""pf"", ""PF2306"", ""1w""]",2022,11,2022-11-04T07:00:00+00:00,2022-11-25T07:00:00+00:00,4,2022-11-04T07:00:00+00:00,2022-11-25T07:00:00+00:00,4
