product,contract_role,symbol_or_contract,period,year,status,issue_type,expected_start,expected_end,target_reason,evidence_source,provider,data_role,quality_status,start_date,end_date,row_count,db_market_data_file_id,standard_path,recommended_next_task
ad,dominant_main,ad.MAIN,1w,2024,not_applicable,not_applicable,,,dominant_2020_plus,"db_market_data_file,manifest",rqdata,primary,passed,2025-06-13,2026-07-03,55,55569,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1w_20230103_20260707_v2.parquet,
ad,dominant_main,ad.MAIN,1w,2025,covered_passed,,2025-06-10,2025-12-31,dominant_2020_plus,"db_market_data_file,manifest",rqdata,primary,passed,2025-06-13,2026-07-03,55,55569,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1w_20230103_20260707_v2.parquet,
ad,dominant_main,ad.MAIN,1w,2026,covered_passed,,2026-01-01,2026-07-10,dominant_2020_plus,"db_market_data_file,manifest",rqdata,primary,passed,2025-06-13,2026-07-03,55,55569,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1w_20230103_20260707_v2.parquet,
ad,dominant_main,ad.MAIN,1m,2023,not_applicable,not_applicable,,,dominant_2023_plus_1m,"db_market_data_file,manifest",rqdata,primary,passed,2025-06-10,2026-07-07,120150,40888,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1m_20230103_20260707_v2.parquet,
ad,dominant_main,ad.MAIN,1m,2024,not_applicable,not_applicable,,,dominant_2023_plus_1m,"db_market_data_file,manifest",rqdata,primary,passed,2025-06-10,2026-07-07,120150,40888,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1m_20230103_20260707_v2.parquet,
ad,dominant_main,ad.MAIN,1m,2025,covered_passed,,2025-06-10,2025-12-31,dominant_2023_plus_1m,"db_market_data_file,manifest",rqdata,primary,passed,2025-06-10,2026-07-07,120150,40888,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1m_20230103_20260707_v2.parquet,
ad,dominant_main,ad.MAIN,1m,2026,covered_passed,,2026-01-01,2026-07-10,dominant_2023_plus_1m,"db_market_data_file,manifest",rqdata,primary,passed,2025-06-10,2026-07-07,120150,40888,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1m_20230103_20260707_v2.parquet,
ad,dominant_main,ad.MAIN,5m,2023,not_applicable,not_applicable,,,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2025-06-10,2026-07-07,24030,40889,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_5m_20230103_20260707_v2.parquet,
ad,dominant_main,ad.MAIN,5m,2024,not_applicable,not_applicable,,,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2025-06-10,2026-07-07,24030,40889,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_5m_20230103_20260707_v2.parquet,
ad,dominant_main,ad.MAIN,5m,2025,covered_passed,,2025-06-10,2025-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2025-06-10,2026-07-07,24030,40889,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_5m_20230103_20260707_v2.parquet,
ad,dominant_main,ad.MAIN,5m,2026,covered_passed,,2026-01-01,2026-07-10,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2025-06-10,2026-07-07,24030,40889,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_5m_20230103_20260707_v2.parquet,
ad,dominant_main,ad.MAIN,15m,2023,not_applicable,not_applicable,,,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2025-06-10,2026-07-07,8010,40890,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_15m_20230103_20260707_v2.parquet,
ad,dominant_main,ad.MAIN,15m,2024,not_applicable,not_applicable,,,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2025-06-10,2026-07-07,8010,40890,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_15m_20230103_20260707_v2.parquet,
ad,dominant_main,ad.MAIN,15m,2025,covered_passed,,2025-06-10,2025-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2025-06-10,2026-07-07,8010,40890,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_15m_20230103_20260707_v2.parquet,
ad,dominant_main,ad.MAIN,15m,2026,covered_passed,,2026-01-01,2026-07-10,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2025-06-10,2026-07-07,8010,40890,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_15m_20230103_20260707_v2.parquet,
