profile_id,instrument_symbol,contract_code,period,previous_binding_id,previous_market_data_file_id,previous_data_version,next_market_data_file_id,next_data_version
long_horizon_daily_v1,fu,fu.MAIN,1w,1880,56465,rqdata_fu_standard_1w_20200102_20260711_v2,79783,rqdata_fu_standard_1w_20040825_20260711_v2
long_horizon_daily_v1,hc,hc.MAIN,1d,1902,56466,rqdata_hc_standard_1d_20200102_20260711_v2,82708,rqdata_hc_standard_1d_20140321_20260711_v2
long_horizon_daily_v1,hc,hc.MAIN,1w,1903,56467,rqdata_hc_standard_1w_20200102_20260711_v2,79784,rqdata_hc_standard_1w_20140321_20260711_v2
long_horizon_daily_v1,i,i.MAIN,1d,1925,56468,rqdata_i_standard_1d_20200102_20260711_v2,82702,rqdata_i_standard_1d_20131018_20260711_v2
long_horizon_daily_v1,i,i.MAIN,1w,1926,56469,rqdata_i_standard_1w_20200102_20260711_v2,79785,rqdata_i_standard_1w_20131018_20260711_v2
long_horizon_daily_v1,ic,ic.MAIN,1d,2043,56470,rqdata_ic_standard_1d_20200102_20260711_v2,82716,rqdata_ic_standard_1d_20150416_20260711_v2
long_horizon_daily_v1,ic,ic.MAIN,1w,2044,56471,rqdata_ic_standard_1w_20200102_20260711_v2,79786,rqdata_ic_standard_1w_20150416_20260711_v2
long_horizon_daily_v1,if,if.MAIN,1d,2161,56472,rqdata_if_standard_1d_20200102_20260711_v2,82687,rqdata_if_standard_1d_20100416_20260711_v2
long_horizon_daily_v1,if,if.MAIN,1w,2162,56473,rqdata_if_standard_1w_20200102_20260711_v2,79787,rqdata_if_standard_1w_20100416_20260711_v2
long_horizon_daily_v1,ih,ih.MAIN,1d,2279,56474,rqdata_ih_standard_1d_20200102_20260711_v2,82717,rqdata_ih_standard_1d_20150416_20260711_v2
long_horizon_daily_v1,ih,ih.MAIN,1w,2280,56475,rqdata_ih_standard_1w_20200102_20260711_v2,79788,rqdata_ih_standard_1w_20150416_20260711_v2
long_horizon_daily_v1,j,j.MAIN,1d,2358,56478,rqdata_j_standard_1d_20200102_20260711_v2,82690,rqdata_j_standard_1d_20110415_20260711_v2
long_horizon_daily_v1,j,j.MAIN,1w,2359,56479,rqdata_j_standard_1w_20200102_20260711_v2,79789,rqdata_j_standard_1w_20110415_20260711_v2
long_horizon_daily_v1,jd,jd.MAIN,1d,2416,56480,rqdata_jd_standard_1d_20200102_20260711_v2,82703,rqdata_jd_standard_1d_20131108_20260711_v2
long_horizon_daily_v1,jd,jd.MAIN,1w,2417,56481,rqdata_jd_standard_1w_20200102_20260711_v2,79790,rqdata_jd_standard_1w_20131108_20260711_v2
long_horizon_daily_v1,l,l.MAIN,1d,2508,56486,rqdata_l_standard_1d_20200102_20260711_v2,82681,rqdata_l_standard_1d_20070731_20260711_v2
long_horizon_daily_v1,l,l.MAIN,1w,2509,56487,rqdata_l_standard_1w_20200102_20260711_v2,79793,rqdata_l_standard_1w_20070731_20260711_v2
long_horizon_daily_v1,l_f,l_f.MAIN,1d,2518,41096,rqdata_l_f_standard_1d_20230103_20260707_v2,71661,rqdata_l_f_standard_1d_20230103_20260712_v2
long_horizon_daily_v1,l_f,l_f.MAIN,1w,2519,55700,rqdata_l_f_standard_1w_20230103_20260710_v2,71662,rqdata_l_f_standard_1w_20230103_20260712_v2
long_horizon_daily_v1,lc,lc.MAIN,1d,2531,41102,rqdata_lc_standard_1d_20230103_20260707_v2,71664,rqdata_lc_standard_1d_20230103_20260712_v2
long_horizon_daily_v1,lc,lc.MAIN,1w,2532,55701,rqdata_lc_standard_1w_20230103_20260710_v2,71665,rqdata_lc_standard_1w_20230103_20260712_v2
long_horizon_daily_v1,lg,lg.MAIN,1d,2541,41108,rqdata_lg_standard_1d_20230103_20260707_v2,71667,rqdata_lg_standard_1d_20230103_20260712_v2
