candidate_id,product,contract_role,symbol_or_contract,period,year,status,issue_type,expected_start,expected_end,quality_status,row_count,db_market_data_file_id,standard_path,root_cause_bucket,candidate_apply_eligible,candidate_blocked_reason
source_interval_0004,im,dominant_main,im.MAIN,15m,2026,covered_warning,source_interval_unverified,2026-01-01,2026-07-10,passed,13568,41063,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=im/contract=im.MAIN/im_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0005,ap,dominant_main,ap.MAIN,15m,2023,covered_warning,source_interval_unverified,2023-01-03,2023-12-31,passed,12720,40914,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=ap/contract=ap.MAIN/ap_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0005,ap,dominant_main,ap.MAIN,15m,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,passed,12720,40914,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=ap/contract=ap.MAIN/ap_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0005,ap,dominant_main,ap.MAIN,15m,2025,covered_warning,source_interval_unverified,2025-01-01,2025-12-31,passed,12720,40914,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=ap/contract=ap.MAIN/ap_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0005,ap,dominant_main,ap.MAIN,15m,2026,covered_warning,source_interval_unverified,2026-01-01,2026-07-10,passed,12720,40914,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=ap/contract=ap.MAIN/ap_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0006,cf,dominant_main,cf.MAIN,15m,2023,covered_warning,source_interval_unverified,2023-01-03,2023-12-31,passed,19312,40967,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=cf/contract=cf.MAIN/cf_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0006,cf,dominant_main,cf.MAIN,15m,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,passed,19312,40967,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=cf/contract=cf.MAIN/cf_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0006,cf,dominant_main,cf.MAIN,15m,2025,covered_warning,source_interval_unverified,2025-01-01,2025-12-31,passed,19312,40967,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=cf/contract=cf.MAIN/cf_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0006,cf,dominant_main,cf.MAIN,15m,2026,covered_warning,source_interval_unverified,2026-01-01,2026-07-10,passed,19312,40967,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=cf/contract=cf.MAIN/cf_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
source_interval_0007,cj,dominant_main,cj.MAIN,15m,2023,covered_warning,source_interval_unverified,2023-01-03,2023-12-31,passed,12720,40973,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=cj/contract=cj.MAIN/cj_MAIN_15m_20230103_20260707_v2.parquet,derived_asset_metadata_column_missing,False,already_source_interval_1m
