product,listed_date,pre_2020_applicable,decision,mode,reason,gap_start,gap_end,output_start,output_end
rs,2012-12-28,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2012-12-28,2019-12-31,2012-12-28,2026-07-11
ru,1999-01-04,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2000-01-04,2019-12-31,2000-01-04,2026-07-11
sa,2019-12-06,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2019-12-06,2019-12-31,2019-12-06,2026-07-11
sc,2018-03-26,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2018-03-26,2019-12-31,2018-03-26,2026-07-11
sf,2014-08-08,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2014-08-08,2019-12-31,2014-08-08,2026-07-11
sm,2014-08-08,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2014-08-08,2019-12-31,2014-08-08,2026-07-11
sn,2015-03-27,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2015-03-27,2019-12-31,2015-03-27,2026-07-11
sp,2018-11-27,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2018-11-27,2019-12-31,2018-11-27,2026-07-11
sr,2006-01-06,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2006-01-06,2019-12-31,2006-01-06,2026-07-11
ss,2019-09-25,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2019-09-25,2019-12-31,2019-09-25,2026-07-11
t,2015-03-20,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2015-03-20,2019-12-31,2015-03-20,2026-07-11
ta,2006-12-18,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2006-12-18,2019-12-31,2006-12-18,2026-07-11
tf,2013-09-06,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2013-09-06,2019-12-31,2013-09-06,2026-07-11
ts,2018-08-17,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2018-08-17,2019-12-31,2018-08-17,2026-07-11
ur,2019-08-09,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2019-08-09,2019-12-31,2019-08-09,2026-07-11
v,2009-05-25,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2009-05-25,2019-12-31,2009-05-25,2026-07-11
wh,2012-07-24,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2012-07-24,2019-12-31,2012-07-24,2026-07-11
wr,2009-03-27,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2009-03-27,2019-12-31,2009-03-27,2026-07-11
y,2006-01-09,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2006-01-09,2019-12-31,2006-01-09,2026-07-11
zc,2015-05-18,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2015-05-18,2019-12-31,2015-05-18,2026-07-11
zn,2007-03-26,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2007-03-26,2019-12-31,2007-03-26,2026-07-11
