period,provider,source,product,continuous_contract,actual_contract,dominant_mapping_date,data_role,quality_status,row_count,min_datetime,max_datetime,checksum,standard_path,raw_path,market_data_file_id,data_quality_report_id,data_version,status
15m,rqdata,rqdata,eb,eb.MAIN,EB2512,2025-11-18,primary,passed,460,2025-10-21T21:15:00,2025-11-18T15:00:00,af895271c24bd4f6f7c39eb3e3266930d1dd49472fe72b7faf082c8109f790b2,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=eb/contract=EB2512/EB2512_15m_20251022_20251118.parquet,,46238,46357,rq_acb_eb_EB2512_15m_20251022_20251118_v1,success
1m,rqdata,rqdata,eb,eb.MAIN,EB2512,2025-11-18,primary,passed,6900,2025-10-21T21:01:00,2025-11-18T15:00:00,58bb375c7a6fbbc411133d23df7e41df01c5c651edc5f87e92ba0144c2ddf9a7,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=eb/contract=EB2512/EB2512_1m_20251022_20251118.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/actual_contract_bars/product=eb/contract=EB2512/frequency=1m/EB2512_1m_raw_20251022_20251118.parquet,46236,46355,rq_acb_eb_EB2512_1m_20251022_20251118_v1,success
30m,rqdata,rqdata,eb,eb.MAIN,EB2512,2025-11-18,primary,passed,240,2025-10-21T21:30:00,2025-11-18T15:00:00,0aaf8ca6bf52aa0c677f4212972b4ddab7f43043d6ddbdfdaef244f2940de271,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=eb/contract=EB2512/EB2512_30m_20251022_20251118.parquet,,46239,46358,rq_acb_eb_EB2512_30m_20251022_20251118_v1,success
5m,rqdata,rqdata,eb,eb.MAIN,EB2512,2025-11-18,primary,passed,1380,2025-10-21T21:05:00,2025-11-18T15:00:00,dd0c2cbc611f1181327a3a05fed965fd15a3343a7d89ab93335440d928f652df,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=eb/contract=EB2512/EB2512_5m_20251022_20251118.parquet,,46237,46356,rq_acb_eb_EB2512_5m_20251022_20251118_v1,success
60m,rqdata,rqdata,eb,eb.MAIN,EB2512,2025-11-18,primary,passed,140,2025-10-21T22:00:00,2025-11-18T15:00:00,1e980cb6960cb8654c5b08ec7a4832a61267cc8286c49a17dcbfd015e6b44493,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=eb/contract=EB2512/EB2512_60m_20251022_20251118.parquet,,46240,46359,rq_acb_eb_EB2512_60m_20251022_20251118_v1,success
