period,provider,source,product,continuous_contract,actual_contract,dominant_mapping_date,data_role,quality_status,row_count,min_datetime,max_datetime,checksum,standard_path,raw_path,market_data_file_id,data_quality_report_id,data_version,status
15m,rqdata,rqdata,c,c.MAIN,C2501,2024-12-11,primary,passed,1096,2024-09-27T21:15:00,2024-12-11T15:00:00,2fbd719c548be03eb58c20de8e5403395a1f18769745eaf6495ee4c5e8a21496,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=c/contract=C2501/C2501_15m_20240930_20241211.parquet,,49388,48982,rq_acb_c_C2501_15m_20240930_20241211_v1,success
1m,rqdata,rqdata,c,c.MAIN,C2501,2024-12-11,primary,passed,16440,2024-09-27T21:01:00,2024-12-11T15:00:00,e33025f336b039dffd314a9ccb8651d3d10c599c1540ce4bc22bbeb1468d2e13,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=c/contract=C2501/C2501_1m_20240930_20241211.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/actual_contract_bars/product=c/contract=C2501/frequency=1m/C2501_1m_raw_20240930_20241211.parquet,49386,48980,rq_acb_c_C2501_1m_20240930_20241211_v1,success
30m,rqdata,rqdata,c,c.MAIN,C2501,2024-12-11,primary,passed,572,2024-09-27T21:30:00,2024-12-11T15:00:00,cab202b6034ac4cf831857d0c9bf2f90b32ddd6cbf08d63eca54d781fbf8030d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=c/contract=C2501/C2501_30m_20240930_20241211.parquet,,49389,48983,rq_acb_c_C2501_30m_20240930_20241211_v1,success
5m,rqdata,rqdata,c,c.MAIN,C2501,2024-12-11,primary,passed,3288,2024-09-27T21:05:00,2024-12-11T15:00:00,2c031037cfdc21afae4fcc578133b395e6ba865b3d635020acb566e06a5a9b1c,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=c/contract=C2501/C2501_5m_20240930_20241211.parquet,,49387,48981,rq_acb_c_C2501_5m_20240930_20241211_v1,success
60m,rqdata,rqdata,c,c.MAIN,C2501,2024-12-11,primary,passed,334,2024-09-27T22:00:00,2024-12-11T15:00:00,394fc775efd13ae13178f006b05d495e1443d9c981ceaf1e4328ff2d7f7fc835,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=c/contract=C2501/C2501_60m_20240930_20241211.parquet,,49390,48984,rq_acb_c_C2501_60m_20240930_20241211_v1,success
