period,provider,source,product,continuous_contract,actual_contract,dominant_mapping_date,data_role,quality_status,row_count,min_datetime,max_datetime,checksum,standard_path,raw_path,market_data_file_id,data_quality_report_id,data_version,status
15m,rqdata,rqdata,ih,ih.MAIN,IH2401,2024-01-18,primary,passed,384,2023-12-15T09:45:00,2024-01-18T15:00:00,b02fc8f6a9716b154c9d94a3a36a6240bfb19c204ed063b376d939eaaf7a6e4b,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ih/contract=IH2401/IH2401_15m_20231215_20240118.parquet,,44486,44897,rq_acb_ih_IH2401_15m_20231215_20240118_v1,success
1m,rqdata,rqdata,ih,ih.MAIN,IH2401,2024-01-18,primary,passed,5760,2023-12-15T09:31:00,2024-01-18T15:00:00,53ef17b9449b4bd46b76995e088b71708c648d93956ab543686aba2b1b2d1032,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CFFEX/symbol=ih/contract=IH2401/IH2401_1m_20231215_20240118.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/actual_contract_bars/product=ih/contract=IH2401/frequency=1m/IH2401_1m_raw_20231215_20240118.parquet,44484,44895,rq_acb_ih_IH2401_1m_20231215_20240118_v1,success
30m,rqdata,rqdata,ih,ih.MAIN,IH2401,2024-01-18,primary,passed,192,2023-12-15T10:00:00,2024-01-18T15:00:00,c6f54dd4cfa6342178aa42a80df9ae32179c4103c22082dcee60bcda741ffa85,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=CFFEX/symbol=ih/contract=IH2401/IH2401_30m_20231215_20240118.parquet,,44487,44898,rq_acb_ih_IH2401_30m_20231215_20240118_v1,success
5m,rqdata,rqdata,ih,ih.MAIN,IH2401,2024-01-18,primary,passed,1152,2023-12-15T09:35:00,2024-01-18T15:00:00,0c15465025d65343aca4560f34d3b74655349ff6162160de151e78ee7c4e935d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=CFFEX/symbol=ih/contract=IH2401/IH2401_5m_20231215_20240118.parquet,,44485,44896,rq_acb_ih_IH2401_5m_20231215_20240118_v1,success
60m,rqdata,rqdata,ih,ih.MAIN,IH2401,2024-01-18,primary,passed,96,2023-12-15T10:30:00,2024-01-18T15:00:00,32c7c246000694ca87500329be54ebb956961591f93c04d2ff2feb7983f9d422,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=CFFEX/symbol=ih/contract=IH2401/IH2401_60m_20231215_20240118.parquet,,44488,44899,rq_acb_ih_IH2401_60m_20231215_20240118_v1,success
