period,data_version,provider,source,data_role,quality_status,original_quality_status,row_count,min_datetime,max_datetime,checksum,standard_path,raw_path,market_data_file_id,data_quality_report_id,status
15m,fh_rebuild004b_pm_15m_20120117_20260710,rqdata,rqdata,candidate,passed,passed,52725,2012-01-17T09:15:00,2026-07-10T15:00:00,e53ef3d784844189d35f53c73c604dceb0a5deb7fcf8b04b1fcc93d5b6b5beac,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=pm/contract=pm.MAIN/pm_MAIN_15m_20120117_20260710_full_history_rebuild_004b.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=pm/contract=pm.MAIN/pm_MAIN_1m_20120117_20260711_v2.parquet,102884,115396,success
30m,fh_rebuild004b_pm_30m_20120117_20260710,rqdata,rqdata,candidate,passed,passed,28120,2012-01-17T09:30:00,2026-07-10T15:00:00,e2b0d89b959b6e60ebf50f139d445ac5a43f38108c8635bcbab4f131b7fb4669,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=CZCE/symbol=pm/contract=pm.MAIN/pm_MAIN_30m_20120117_20260710_full_history_rebuild_004b.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=pm/contract=pm.MAIN/pm_MAIN_1m_20120117_20260711_v2.parquet,102885,115397,success
5m,fh_rebuild004b_pm_5m_20120117_20260710,rqdata,rqdata,candidate,passed,passed,158175,2012-01-17T09:05:00,2026-07-10T15:00:00,90ae62bb28c4dc93a2c19a793de79e7f6f93a80c0b4c1419118ced98dd6dc7d8,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=CZCE/symbol=pm/contract=pm.MAIN/pm_MAIN_5m_20120117_20260710_full_history_rebuild_004b.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=pm/contract=pm.MAIN/pm_MAIN_1m_20120117_20260711_v2.parquet,102886,115398,success
60m,fh_rebuild004b_pm_60m_20120117_20260710,rqdata,rqdata,candidate,passed,passed,17575,2012-01-17T10:00:00,2026-07-10T15:00:00,c7247a1f4cbdb980373da7244802326459e8262312624d0d2f9d77a4d3449404,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=CZCE/symbol=pm/contract=pm.MAIN/pm_MAIN_60m_20120117_20260710_full_history_rebuild_004b.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=pm/contract=pm.MAIN/pm_MAIN_1m_20120117_20260711_v2.parquet,102887,115399,success
