period,provider,source,product,continuous_contract,actual_contract,dominant_mapping_date,data_role,quality_status,row_count,min_datetime,max_datetime,checksum,standard_path,raw_path,market_data_file_id,data_quality_report_id,data_version,status
15m,rqdata,rqdata,jr,jr.MAIN,JR2311,2023-11-14,primary,passed,555,2023-09-15T09:15:00,2023-11-14T15:00:00,71d1110581648b5bf8bc203edbe8b917bef0f1b9e03e2f9cc15b4868b077f89d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=jr/contract=JR2311/JR2311_15m_20230915_20231114.parquet,,47228,47182,rq_acb_jr_JR2311_15m_20230915_20231114_v1,success
1m,rqdata,rqdata,jr,jr.MAIN,JR2311,2023-11-14,primary,passed,8325,2023-09-15T09:01:00,2023-11-14T15:00:00,cc8a2652310d13a13b386acc189d34cf7534ea9ae189fb41af9adea6adafe4ad,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=jr/contract=JR2311/JR2311_1m_20230915_20231114.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/actual_contract_bars/product=jr/contract=JR2311/frequency=1m/JR2311_1m_raw_20230915_20231114.parquet,47226,47180,rq_acb_jr_JR2311_1m_20230915_20231114_v1,success
30m,rqdata,rqdata,jr,jr.MAIN,JR2311,2023-11-14,primary,passed,296,2023-09-15T09:30:00,2023-11-14T15:00:00,172af05ab6ddc9c698de4ab7ba92b86d7ddb8681cd06e7b87dd47fdfd28489ed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=CZCE/symbol=jr/contract=JR2311/JR2311_30m_20230915_20231114.parquet,,47229,47183,rq_acb_jr_JR2311_30m_20230915_20231114_v1,success
5m,rqdata,rqdata,jr,jr.MAIN,JR2311,2023-11-14,primary,passed,1665,2023-09-15T09:05:00,2023-11-14T15:00:00,a4c11bd3da9fcc0194ed190409bf47c650ab2ae5139063e1fac17fbae5673f69,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=CZCE/symbol=jr/contract=JR2311/JR2311_5m_20230915_20231114.parquet,,47227,47181,rq_acb_jr_JR2311_5m_20230915_20231114_v1,success
60m,rqdata,rqdata,jr,jr.MAIN,JR2311,2023-11-14,primary,passed,185,2023-09-15T10:00:00,2023-11-14T15:00:00,9b6f854b8bf57ca307791f5416f72c23539706c1e470675faff22c10f4ccce59,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=CZCE/symbol=jr/contract=JR2311/JR2311_60m_20230915_20231114.parquet,,47230,47184,rq_acb_jr_JR2311_60m_20230915_20231114_v1,success
