period,provider,source,product,continuous_contract,actual_contract,dominant_mapping_date,data_role,quality_status,row_count,min_datetime,max_datetime,checksum,standard_path,raw_path,market_data_file_id,data_quality_report_id,data_version,status
15m,rqdata,rqdata,ri,ri.MAIN,RI2601,2026-01-16,primary,passed,645,2025-11-17T09:15:00,2026-01-16T15:00:00,6f515802b7b2111cd8b57fd73e96badfcbc4a53eecd3299d276da6b768c1ed2b,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=ri/contract=RI2601/RI2601_15m_20251117_20260116.parquet,,51572,50802,rq_acb_ri_RI2601_15m_20251117_20260116_v1,success
1m,rqdata,rqdata,ri,ri.MAIN,RI2601,2026-01-16,primary,passed,9675,2025-11-17T09:01:00,2026-01-16T15:00:00,f2f8e20534be20cc456ad041a4c41602b8810c3e6a95ba9028a4989380698a3f,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=ri/contract=RI2601/RI2601_1m_20251117_20260116.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/actual_contract_bars/product=ri/contract=RI2601/frequency=1m/RI2601_1m_raw_20251117_20260116.parquet,51570,50800,rq_acb_ri_RI2601_1m_20251117_20260116_v1,success
30m,rqdata,rqdata,ri,ri.MAIN,RI2601,2026-01-16,primary,passed,344,2025-11-17T09:30:00,2026-01-16T15:00:00,724ae784cda0217492f5a77732a9e1195c7d5b54e39d8641a496635b2269660e,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=CZCE/symbol=ri/contract=RI2601/RI2601_30m_20251117_20260116.parquet,,51573,50803,rq_acb_ri_RI2601_30m_20251117_20260116_v1,success
5m,rqdata,rqdata,ri,ri.MAIN,RI2601,2026-01-16,primary,passed,1935,2025-11-17T09:05:00,2026-01-16T15:00:00,56849bf33699d344ff92aa1bf767a5562836b91d97c65ee58faa6f1614f8bb9a,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=CZCE/symbol=ri/contract=RI2601/RI2601_5m_20251117_20260116.parquet,,51571,50801,rq_acb_ri_RI2601_5m_20251117_20260116_v1,success
60m,rqdata,rqdata,ri,ri.MAIN,RI2601,2026-01-16,primary,passed,215,2025-11-17T10:00:00,2026-01-16T15:00:00,20086e603337ae4488528b503de00003fd4f4f5a4ad36455dcef84792d917285,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=CZCE/symbol=ri/contract=RI2601/RI2601_60m_20251117_20260116.parquet,,51574,50804,rq_acb_ri_RI2601_60m_20251117_20260116_v1,success
