period,provider,source,product,continuous_contract,actual_contract,dominant_mapping_date,data_role,quality_status,row_count,min_datetime,max_datetime,checksum,standard_path,raw_path,market_data_file_id,data_quality_report_id,data_version,status
15m,rqdata,rqdata,ru,ru.MAIN,RU2409,2024-08-05,primary,passed,2000,2024-03-26T21:15:00,2024-08-05T15:00:00,165c11a6dfb4b0286fff57c1c3de47fa85da6738551d5996340d4fd7de221fd7,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=ru/contract=RU2409/RU2409_15m_20240327_20240805.parquet,,50078,49557,rq_acb_ru_RU2409_15m_20240327_20240805_v1,success
1m,rqdata,rqdata,ru,ru.MAIN,RU2409,2024-08-05,primary,passed,30000,2024-03-26T21:01:00,2024-08-05T15:00:00,7a5c0820de88d2797d5178e206b573bbbb3017e22eb0a8e8bc182a7e989a3cc0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ru/contract=RU2409/RU2409_1m_20240327_20240805.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/actual_contract_bars/product=ru/contract=RU2409/frequency=1m/RU2409_1m_raw_20240327_20240805.parquet,50076,49555,rq_acb_ru_RU2409_1m_20240327_20240805_v1,success
30m,rqdata,rqdata,ru,ru.MAIN,RU2409,2024-08-05,primary,passed,1044,2024-03-26T21:30:00,2024-08-05T15:00:00,dca53d67d0b3a1ae4af82f2a418d4520c262bd2daa466eacb671fd97d71cf507,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=SHFE/symbol=ru/contract=RU2409/RU2409_30m_20240327_20240805.parquet,,50079,49558,rq_acb_ru_RU2409_30m_20240327_20240805_v1,success
5m,rqdata,rqdata,ru,ru.MAIN,RU2409,2024-08-05,primary,passed,6000,2024-03-26T21:05:00,2024-08-05T15:00:00,0d9791fb297d63dc43fbd5a14dfc7dbb29e31e5c336748badf5e6e9405fe0cbc,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=SHFE/symbol=ru/contract=RU2409/RU2409_5m_20240327_20240805.parquet,,50077,49556,rq_acb_ru_RU2409_5m_20240327_20240805_v1,success
60m,rqdata,rqdata,ru,ru.MAIN,RU2409,2024-08-05,primary,passed,610,2024-03-26T22:00:00,2024-08-05T15:00:00,5c34147c2880372e00efcedba548ad105ca1cf7e2ce8d4dd1e2c527cee7da71a,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=SHFE/symbol=ru/contract=RU2409/RU2409_60m_20240327_20240805.parquet,,50080,49559,rq_acb_ru_RU2409_60m_20240327_20240805_v1,success
