period,provider,source,product,continuous_contract,actual_contract,dominant_mapping_date,data_role,quality_status,row_count,min_datetime,max_datetime,checksum,standard_path,raw_path,market_data_file_id,data_quality_report_id,data_version,status
15m,rqdata,rqdata,sn,sn.MAIN,SN2503,2025-02-20,primary,passed,573,2025-01-16T21:15:00,2025-02-20T15:00:00,83455245c55bb279cf5d005b243e638d467ee1815e839d4403d17876cd8e8697,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=sn/contract=SN2503/SN2503_15m_20250117_20250220.parquet,,55096,53821,rq_acb_sn_SN2503_15m_20250117_20250220_v1,success
1m,rqdata,rqdata,sn,sn.MAIN,SN2503,2025-02-20,primary,passed,8595,2025-01-16T21:01:00,2025-02-20T15:00:00,fe22daee6d416c3457760550d8ef125fec04663f1ac57f1c541735227f6c965c,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=sn/contract=SN2503/SN2503_1m_20250117_20250220.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/actual_contract_bars/product=sn/contract=SN2503/frequency=1m/SN2503_1m_raw_20250117_20250220.parquet,55094,53819,rq_acb_sn_SN2503_1m_20250117_20250220_v1,success
30m,rqdata,rqdata,sn,sn.MAIN,SN2503,2025-02-20,primary,passed,296,2025-01-16T21:30:00,2025-02-20T15:00:00,1cd061b309b09e0300aec9338e54a38fc6f2369b7ce9401ea7207ce4e12a0412,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=SHFE/symbol=sn/contract=SN2503/SN2503_30m_20250117_20250220.parquet,,55097,53822,rq_acb_sn_SN2503_30m_20250117_20250220_v1,success
5m,rqdata,rqdata,sn,sn.MAIN,SN2503,2025-02-20,primary,passed,1719,2025-01-16T21:05:00,2025-02-20T15:00:00,4b5b888a18fb9594f4d844dd573d90bbe1c0183bf1a46b75bfdf0825a1fc8baa,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=SHFE/symbol=sn/contract=SN2503/SN2503_5m_20250117_20250220.parquet,,55095,53820,rq_acb_sn_SN2503_5m_20250117_20250220_v1,success
60m,rqdata,rqdata,sn,sn.MAIN,SN2503,2025-02-20,primary,passed,167,2025-01-16T22:00:00,2025-02-20T15:00:00,23023d0eedc2b4f0d01e478e2b8291e63f057a0dee406e5da3063001b79f162d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=SHFE/symbol=sn/contract=SN2503/SN2503_60m_20250117_20250220.parquet,,55098,53823,rq_acb_sn_SN2503_60m_20250117_20250220_v1,success
