period,provider,source,product,continuous_contract,actual_contract,dominant_mapping_date,data_role,quality_status,row_count,min_datetime,max_datetime,checksum,standard_path,raw_path,market_data_file_id,data_quality_report_id,data_version,status
15m,rqdata,rqdata,pr,pr.MAIN,PR2601,2025-12-02,primary,passed,851,2025-10-10T21:15:00,2025-12-02T15:00:00,2218e27ca88e46d632e98e1aaf7d56394396d99dec8de3f0c0d4424d66a4b51e,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=pr/contract=PR2601/PR2601_15m_20251013_20251202.parquet,,51854,51037,rq_acb_pr_PR2601_15m_20251013_20251202_v1,success
1m,rqdata,rqdata,pr,pr.MAIN,PR2601,2025-12-02,primary,passed,12765,2025-10-10T21:01:00,2025-12-02T15:00:00,9e4a55930e8d51c4617ae30f625a4dba098c1dbdcca1b1c9f4bf821c00ca893d,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=pr/contract=PR2601/PR2601_1m_20251013_20251202.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/actual_contract_bars/product=pr/contract=PR2601/frequency=1m/PR2601_1m_raw_20251013_20251202.parquet,51852,51035,rq_acb_pr_PR2601_1m_20251013_20251202_v1,success
30m,rqdata,rqdata,pr,pr.MAIN,PR2601,2025-12-02,primary,passed,444,2025-10-10T21:30:00,2025-12-02T15:00:00,ddebfa3912cb6dbcf29a0bd4674836ac8479ed6673cc45def80c6815c0e32a84,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=CZCE/symbol=pr/contract=PR2601/PR2601_30m_20251013_20251202.parquet,,51855,51038,rq_acb_pr_PR2601_30m_20251013_20251202_v1,success
5m,rqdata,rqdata,pr,pr.MAIN,PR2601,2025-12-02,primary,passed,2553,2025-10-10T21:05:00,2025-12-02T15:00:00,1014256889eac260898d7307fe8b5108af2b8681bf7ce522677e1af8d77f9bed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=CZCE/symbol=pr/contract=PR2601/PR2601_5m_20251013_20251202.parquet,,51853,51036,rq_acb_pr_PR2601_5m_20251013_20251202_v1,success
60m,rqdata,rqdata,pr,pr.MAIN,PR2601,2025-12-02,primary,passed,259,2025-10-10T22:00:00,2025-12-02T15:00:00,ddbdba31b476a2bf97cc0daea8da1c5c83e6f9d4fbcc809fbf6b08b9f881e688,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=CZCE/symbol=pr/contract=PR2601/PR2601_60m_20251013_20251202.parquet,,51856,51039,rq_acb_pr_PR2601_60m_20251013_20251202_v1,success
