period,provider,source,product,continuous_contract,actual_contract,dominant_mapping_date,data_role,quality_status,row_count,min_datetime,max_datetime,checksum,standard_path,raw_path,market_data_file_id,data_quality_report_id,data_version,status
15m,rqdata,rqdata,ic,ic.MAIN,IC2404,2024-04-18,primary,passed,368,2024-03-15T09:45:00,2024-04-18T15:00:00,98c7e51eb8654538d927497797456e674c423cfb6720e5d195413ddbe427ea39,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ic/contract=IC2404/IC2404_15m_20240315_20240418.parquet,,48206,47997,rq_acb_ic_IC2404_15m_20240315_20240418_v1,success
1m,rqdata,rqdata,ic,ic.MAIN,IC2404,2024-04-18,primary,passed,5520,2024-03-15T09:31:00,2024-04-18T15:00:00,026f5c66d937b6dfe02af2cdd52486030f568004e2a4a957b72359109bbbcb4a,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CFFEX/symbol=ic/contract=IC2404/IC2404_1m_20240315_20240418.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/actual_contract_bars/product=ic/contract=IC2404/frequency=1m/IC2404_1m_raw_20240315_20240418.parquet,48204,47995,rq_acb_ic_IC2404_1m_20240315_20240418_v1,success
30m,rqdata,rqdata,ic,ic.MAIN,IC2404,2024-04-18,primary,passed,184,2024-03-15T10:00:00,2024-04-18T15:00:00,dc5cc0d034b9c187e3faf679013ca80803dc694fad0abe81e76a071bf9f15e6f,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=CFFEX/symbol=ic/contract=IC2404/IC2404_30m_20240315_20240418.parquet,,48207,47998,rq_acb_ic_IC2404_30m_20240315_20240418_v1,success
5m,rqdata,rqdata,ic,ic.MAIN,IC2404,2024-04-18,primary,passed,1104,2024-03-15T09:35:00,2024-04-18T15:00:00,3c9a794c971ff729d312cd22bd592cb4db560fb1aa755d1b853f2f07d939cc6b,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=CFFEX/symbol=ic/contract=IC2404/IC2404_5m_20240315_20240418.parquet,,48205,47996,rq_acb_ic_IC2404_5m_20240315_20240418_v1,success
60m,rqdata,rqdata,ic,ic.MAIN,IC2404,2024-04-18,primary,passed,92,2024-03-15T10:30:00,2024-04-18T15:00:00,91245fb58f6e47d2ef1d4868f94161fadf6ae0377e09b13715fb791fd1d5ab76,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=CFFEX/symbol=ic/contract=IC2404/IC2404_60m_20240315_20240418.parquet,,48208,47999,rq_acb_ic_IC2404_60m_20240315_20240418_v1,success
