period,provider,source,product,continuous_contract,actual_contract,dominant_mapping_date,data_role,quality_status,row_count,min_datetime,max_datetime,checksum,standard_path,raw_path,market_data_file_id,data_quality_report_id,data_version,status
15m,rqdata,rqdata,pb,pb.MAIN,PB2410,2024-09-23,primary,passed,542,2024-08-26T21:15:00,2024-09-23T15:00:00,598bb3817df15a7da7cd4c53cec89e53f8740a878ab7665c63af5698a8fbc568,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=pb/contract=PB2410/PB2410_15m_20240827_20240923.parquet,,54154,53036,rq_acb_pb_PB2410_15m_20240827_20240923_v1,success
1m,rqdata,rqdata,pb,pb.MAIN,PB2410,2024-09-23,primary,passed,8130,2024-08-26T21:01:00,2024-09-23T15:00:00,8450d7c01475d4e6afba435e7cc61f1c0701c07fd31beec6e0e40a02b7d75526,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=pb/contract=PB2410/PB2410_1m_20240827_20240923.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/actual_contract_bars/product=pb/contract=PB2410/frequency=1m/PB2410_1m_raw_20240827_20240923.parquet,54152,53034,rq_acb_pb_PB2410_1m_20240827_20240923_v1,success
30m,rqdata,rqdata,pb,pb.MAIN,PB2410,2024-09-23,primary,passed,280,2024-08-26T21:30:00,2024-09-23T15:00:00,76b8c8f77fb8c9f46b273dcceadfcc2df20e0240770858209d18165d6ab126b5,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=SHFE/symbol=pb/contract=PB2410/PB2410_30m_20240827_20240923.parquet,,54155,53037,rq_acb_pb_PB2410_30m_20240827_20240923_v1,success
5m,rqdata,rqdata,pb,pb.MAIN,PB2410,2024-09-23,primary,passed,1626,2024-08-26T21:05:00,2024-09-23T15:00:00,e792cd12ebb1411edc272cb7212b11f5aeeafe57cead3ca088d62cc3aa6e95a0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=SHFE/symbol=pb/contract=PB2410/PB2410_5m_20240827_20240923.parquet,,54153,53035,rq_acb_pb_PB2410_5m_20240827_20240923_v1,success
60m,rqdata,rqdata,pb,pb.MAIN,PB2410,2024-09-23,primary,passed,158,2024-08-26T22:00:00,2024-09-23T15:00:00,c7f51ec29fc2936363da0efbe97729e04fee78637b312a7190dbd3e7e1006fc7,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=SHFE/symbol=pb/contract=PB2410/PB2410_60m_20240827_20240923.parquet,,54156,53038,rq_acb_pb_PB2410_60m_20240827_20240923_v1,success
