period,data_version,provider,source,data_role,quality_status,row_count,min_datetime,max_datetime,checksum,standard_path,raw_path,market_data_file_id,data_quality_report_id,status
15m,rqdata_zn_standard_15m_20230103_20260707_v2,rqdata,rqdata,primary,passed,25904,2023-01-03T09:15:00,2026-07-07T15:00:00,e4883fc43b39527db1d5c949c45f51e32bca40996a0e40b5ccbb42396746a829,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=zn/contract=zn.MAIN/zn_MAIN_15m_20230103_20260707_v2.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/dominant_contract_bars/product=zn/frequency=1m/version=v2/zn_1m_dominant_raw_20230103_20260707_v2.parquet,44392,44817,success
1d,rqdata_zn_standard_1d_20230103_20260707_v2,rqdata,rqdata,primary,passed,848,2023-01-03T00:00:00,2026-07-07T00:00:00,9123a77d69a221f6fd8daffbdfd1d710767a10282040996710962cc6291d8931,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=zn/contract=zn.MAIN/zn_MAIN_1d_20230103_20260707_v2.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/dominant_contract_bars/product=zn/frequency=1d/version=v2/zn_1d_dominant_raw_20230103_20260707_v2.parquet,41257,44617,success
1m,rqdata_zn_standard_1m_20230103_20260707_v2,rqdata,rqdata,primary,passed,388560,2023-01-03T09:01:00,2026-07-07T15:00:00,836612e9e549ac6def93965269b55213056da2cfb5296d04945f2cc86a53e775,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=zn/contract=zn.MAIN/zn_MAIN_1m_20230103_20260707_v2.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/dominant_contract_bars/product=zn/frequency=1m/version=v2/zn_1m_dominant_raw_20230103_20260707_v2.parquet,44390,44815,success
1w,rqdata_zn_standard_1w_20230103_20260707_v2,rqdata,rqdata,primary,passed,149,2023-01-06T00:00:00,2026-07-03T00:00:00,506f18430d6e468a22bc584b1b1f98ca93ca3acaa6deaa7389aa3b4c3e3f4afd,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=zn/contract=zn.MAIN/zn_MAIN_1w_20230103_20260707_v2.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/dominant_contract_bars/product=zn/frequency=1w/version=v2/zn_1w_dominant_raw_20230103_20260707_v2.parquet,44199,44624,success
30m,rqdata_zn_standard_30m_20230103_20260707_v2,rqdata,rqdata,primary,passed,13376,2023-01-03T09:30:00,2026-07-07T15:00:00,79915278aebda85d114ae72deae0d7f369c54b110ea9dadb8518701cf4c1b02b,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=SHFE/symbol=zn/contract=zn.MAIN/zn_MAIN_30m_20230103_20260707_v2.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/dominant_contract_bars/product=zn/frequency=1m/version=v2/zn_1m_dominant_raw_20230103_20260707_v2.parquet,44393,44818,success
5m,rqdata_zn_standard_5m_20230103_20260707_v2,rqdata,rqdata,primary,passed,77712,2023-01-03T09:05:00,2026-07-07T15:00:00,dc0b92f9b5416f94e3bf8ff63024fe7293b6806da33b6690799d44998d920f64,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=SHFE/symbol=zn/contract=zn.MAIN/zn_MAIN_5m_20230103_20260707_v2.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/dominant_contract_bars/product=zn/frequency=1m/version=v2/zn_1m_dominant_raw_20230103_20260707_v2.parquet,44391,44816,success
60m,rqdata_zn_standard_60m_20230103_20260707_v2,rqdata,rqdata,primary,passed,7536,2023-01-03T10:00:00,2026-07-07T15:00:00,f16e6c5381912057011a9c73574e6ade533476a8c31bc824d126c1feccd4dcea,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=SHFE/symbol=zn/contract=zn.MAIN/zn_MAIN_60m_20230103_20260707_v2.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/dominant_contract_bars/product=zn/frequency=1m/version=v2/zn_1m_dominant_raw_20230103_20260707_v2.parquet,44394,44819,success
