period,provider,product,actual_contract,data_role,quality_status,status,min_datetime,max_datetime,checksum,standard_path,market_data_file_id,quality_report_ids,data_version
1d,rqdata,jm,JM2609,primary,passed,success,2026-07-08T00:00:00,2026-07-10T00:00:00,fce7d9dfafc125af806316e383bce7882829aa522e446ae88c5514fbe4c0704f,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2609/JM2609_1d_20260708_20260710_actual_roll_006_v1.parquet,103922,[115986],actual_dominant_roll_006_JM2609_1d_20260708_20260710_v1
1m,rqdata,jm,JM2609,primary,passed,success,2026-07-07T21:01:00,2026-07-10T15:00:00,8332601b0ef786f3519686e219f231c563832c74a48257e30af2727845cb1cde,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=jm/contract=JM2609/JM2609_1m_20260708_20260710_actual_roll_006_v1.parquet,103923,[115987],actual_dominant_roll_006_JM2609_1m_20260708_20260710_v1
