period,data_version,provider,source,data_role,quality_status,original_quality_status,row_count,min_datetime,max_datetime,checksum,standard_path,raw_path,market_data_file_id,data_quality_report_id,status
1d,rqdata_cs_standard_1d_20200102_20260711_v2,rqdata,rqdata,primary,passed,passed,1579,2020-01-02T00:00:00,2026-07-10T00:00:00,f51130b906c04191fcbe8567b81c23db3a3a7d530e96c53e1cbbae0b1f7ab7c0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=cs/contract=cs.MAIN/cs_MAIN_1d_20200102_20260711_v2.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/dominant_contract_bars/product=cs/frequency=1d/version=v2/cs_1d_dominant_raw_20200102_20260711_v2.parquet,56450,55247,success
1w,rqdata_cs_standard_1w_20200102_20260711_v2,rqdata,rqdata,primary,passed,passed,334,2020-01-03T00:00:00,2026-07-10T00:00:00,2d62348c629da4cd8db84cf3e00ae2c0c01ac176ebef5eb25bca7e04a22f8d1c,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=cs/contract=cs.MAIN/cs_MAIN_1w_20200102_20260711_v2.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/dominant_contract_bars/product=cs/frequency=1w/version=v2/cs_1w_dominant_raw_20200102_20260711_v2.parquet,56451,55248,success
