period,data_version,provider,source,data_role,quality_status,row_count,min_datetime,max_datetime,checksum,standard_path,raw_path,market_data_file_id,data_quality_report_id,status
15m,rqdata_lh_standard_15m_20230103_20260707_v2,rqdata,rqdata,primary,passed,12720,2023-01-03T09:15:00,2026-07-07T15:00:00,c48e6987a97f9ad8731e49f0bcc88affb5eb3b33deb42dde93c16216c2ebb14f,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=lh/contract=lh.MAIN/lh_MAIN_15m_20230103_20260707_v2.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/dominant_contract_bars/product=lh/frequency=15m/version=v2/lh_15m_dominant_raw_20230103_20260707_v2.parquet,41111,42842,success
1d,rqdata_lh_standard_1d_20230103_20260707_v2,rqdata,rqdata,primary,passed,848,2023-01-03T00:00:00,2026-07-07T00:00:00,71f0c936395b6621828a3854b7923675c5bb1f59b29e673203e370ba92c3dcf1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=lh/contract=lh.MAIN/lh_MAIN_1d_20230103_20260707_v2.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/dominant_contract_bars/product=lh/frequency=1d/version=v2/lh_1d_dominant_raw_20230103_20260707_v2.parquet,41114,42845,success
1m,rqdata_lh_standard_1m_20230103_20260707_v2,rqdata,rqdata,primary,passed,190800,2023-01-03T09:01:00,2026-07-07T15:00:00,c2df63cac70e88a273b52d7da73b9093bbd03a1f102b133e67c9ecfa202db5a2,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=lh/contract=lh.MAIN/lh_MAIN_1m_20230103_20260707_v2.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/dominant_contract_bars/product=lh/frequency=1m/version=v2/lh_1m_dominant_raw_20230103_20260707_v2.parquet,41109,42840,success
1w,rqdata_lh_standard_1w_20230103_20260707_v2,rqdata,rqdata,primary,passed,171,2023-01-06T00:00:00,2026-07-03T00:00:00,8f3fdea9278ff72db2c049012ea1a6d49dddedec33c0c4488bf34c4010f05e81,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=lh/contract=lh.MAIN/lh_MAIN_1w_20230103_20260707_v2.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/dominant_contract_bars/product=lh/frequency=1w/version=v2/lh_1w_dominant_raw_20230103_20260707_v2.parquet,44152,44572,success
30m,rqdata_lh_standard_30m_20230103_20260707_v2,rqdata,rqdata,primary,passed,6784,2023-01-03T09:30:00,2026-07-07T15:00:00,1fadd2b2e8a8b81c7980f30fd0c6bba91ad91d6f8b3684e222e1cf464a92624a,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=lh/contract=lh.MAIN/lh_MAIN_30m_20230103_20260707_v2.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/dominant_contract_bars/product=lh/frequency=30m/version=v2/lh_30m_dominant_raw_20230103_20260707_v2.parquet,41112,42843,success
5m,rqdata_lh_standard_5m_20230103_20260707_v2,rqdata,rqdata,primary,passed,38160,2023-01-03T09:05:00,2026-07-07T15:00:00,2c84fb567a0339625ea112182f154acadddf620bf135ad3cf16b1644f7f1df81,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=lh/contract=lh.MAIN/lh_MAIN_5m_20230103_20260707_v2.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/dominant_contract_bars/product=lh/frequency=5m/version=v2/lh_5m_dominant_raw_20230103_20260707_v2.parquet,41110,42841,success
60m,rqdata_lh_standard_60m_20230103_20260707_v2,rqdata,rqdata,primary,passed,4240,2023-01-03T10:00:00,2026-07-07T15:00:00,2f6611e4818bf3bd711733b59363967b436a7d475d6c8c5d53e7f1ec143b5bc7,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=lh/contract=lh.MAIN/lh_MAIN_60m_20230103_20260707_v2.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/dominant_contract_bars/product=lh/frequency=60m/version=v2/lh_60m_dominant_raw_20230103_20260707_v2.parquet,41113,42844,success
