period,provider,source,product,continuous_contract,actual_contract,dominant_mapping_date,data_role,quality_status,row_count,min_datetime,max_datetime,checksum,standard_path,raw_path,market_data_file_id,data_quality_report_id,data_version,status
15m,rqdata,rqdata,lh,lh.MAIN,LH2307,2023-05-31,primary,passed,465,2023-04-14T09:15:00,2023-05-31T15:00:00,812211da50d7c05351807e8506fb5fa9699b4ca5ca1e58a7e6baab50062e7d2b,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=lh/contract=LH2307/LH2307_15m_20230414_20230531.parquet,,49460,49042,rq_acb_lh_LH2307_15m_20230414_20230531_v1,success
1m,rqdata,rqdata,lh,lh.MAIN,LH2307,2023-05-31,primary,passed,6975,2023-04-14T09:01:00,2023-05-31T15:00:00,8309d08844e50c079e19b4ffab37c527a79371becb6ca6742f87784bbf6fc397,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=lh/contract=LH2307/LH2307_1m_20230414_20230531.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/actual_contract_bars/product=lh/contract=LH2307/frequency=1m/LH2307_1m_raw_20230414_20230531.parquet,49458,49040,rq_acb_lh_LH2307_1m_20230414_20230531_v1,success
30m,rqdata,rqdata,lh,lh.MAIN,LH2307,2023-05-31,primary,passed,248,2023-04-14T09:30:00,2023-05-31T15:00:00,b53e93d531b630b5ecb2174e259f1920d79faf899eca6f22fbe3cf7397a4a802,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=lh/contract=LH2307/LH2307_30m_20230414_20230531.parquet,,49461,49043,rq_acb_lh_LH2307_30m_20230414_20230531_v1,success
5m,rqdata,rqdata,lh,lh.MAIN,LH2307,2023-05-31,primary,passed,1395,2023-04-14T09:05:00,2023-05-31T15:00:00,49e4fc7ed06c250c629317a71a471e8a10ff689b4aae2a230f20cad1398c232f,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=lh/contract=LH2307/LH2307_5m_20230414_20230531.parquet,,49459,49041,rq_acb_lh_LH2307_5m_20230414_20230531_v1,success
60m,rqdata,rqdata,lh,lh.MAIN,LH2307,2023-05-31,primary,passed,155,2023-04-14T10:00:00,2023-05-31T15:00:00,6dd65547744c60c34e338b98bf7c0908dd459b4e88af4db1797bbe0cd40ed971,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=lh/contract=LH2307/LH2307_60m_20230414_20230531.parquet,,49462,49044,rq_acb_lh_LH2307_60m_20230414_20230531_v1,success
