period,provider,source,product,continuous_contract,actual_contract,dominant_mapping_date,data_role,quality_status,row_count,min_datetime,max_datetime,checksum,standard_path,raw_path,market_data_file_id,data_quality_report_id,data_version,status
15m,rqdata,rqdata,sh,sh.MAIN,SH2410,2024-08-26,primary,passed,138,2024-08-16T21:15:00,2024-08-26T15:00:00,dfc784469b5d520465be154e9f7623e2fb0ee35ba6ece7a92d8e10c2f1fd109f,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=sh/contract=SH2410/SH2410_15m_20240819_20240826.parquet,,49850,49367,rq_acb_sh_SH2410_15m_20240819_20240826_v1,success
1m,rqdata,rqdata,sh,sh.MAIN,SH2410,2024-08-26,primary,passed,2070,2024-08-16T21:01:00,2024-08-26T15:00:00,c061e5627cc9333e097b96acf27c94063aa10006c08413799b544c228dccb12f,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=sh/contract=SH2410/SH2410_1m_20240819_20240826.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/actual_contract_bars/product=sh/contract=SH2410/frequency=1m/SH2410_1m_raw_20240819_20240826.parquet,49848,49365,rq_acb_sh_SH2410_1m_20240819_20240826_v1,success
30m,rqdata,rqdata,sh,sh.MAIN,SH2410,2024-08-26,primary,passed,72,2024-08-16T21:30:00,2024-08-26T15:00:00,a6e58cc9ca3e258a07980a41d3099fbbc4cac7679ca6747cc44c6414e25be2c2,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=CZCE/symbol=sh/contract=SH2410/SH2410_30m_20240819_20240826.parquet,,49851,49368,rq_acb_sh_SH2410_30m_20240819_20240826_v1,success
5m,rqdata,rqdata,sh,sh.MAIN,SH2410,2024-08-26,primary,passed,414,2024-08-16T21:05:00,2024-08-26T15:00:00,fdebd0c819a027b0ccda3f2676633b694bc10c77331f4f7db90040551ca2fa39,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=CZCE/symbol=sh/contract=SH2410/SH2410_5m_20240819_20240826.parquet,,49849,49366,rq_acb_sh_SH2410_5m_20240819_20240826_v1,success
60m,rqdata,rqdata,sh,sh.MAIN,SH2410,2024-08-26,primary,passed,42,2024-08-16T22:00:00,2024-08-26T15:00:00,d2afac1a77e10a2fbc495586c50d47d5a929158f6f44370cc6258ff0af66d417,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=CZCE/symbol=sh/contract=SH2410/SH2410_60m_20240819_20240826.parquet,,49852,49369,rq_acb_sh_SH2410_60m_20240819_20240826_v1,success
