contract_code,exchange,product,first_trading_day_in_mapping,last_trading_day_in_mapping,download_start,download_end,rank,source_mapping_rule,source_symbol,status
SHFE.rb2405,SHFE,rb,2023-12-01,2024-03-29,2023-11-21,2024-04-08,1,volume_open_interest,SHFE.rb2405,pending
SHFE.rb2410,SHFE,rb,2024-04-01,2024-08-30,2024-03-22,2024-09-09,1,volume_open_interest,SHFE.rb2410,pending
SHFE.rb2501,SHFE,rb,2024-09-02,2024-12-04,2024-08-23,2024-12-14,1,volume_open_interest,SHFE.rb2501,pending
SHFE.rb2505,SHFE,rb,2024-12-05,2025-04-03,2024-11-25,2025-04-13,1,volume_open_interest,SHFE.rb2505,pending
SHFE.rb2510,SHFE,rb,2025-04-07,2025-08-29,2025-03-28,2025-09-08,1,volume_open_interest,SHFE.rb2510,pending
SHFE.rb2601,SHFE,rb,2025-09-01,2025-12-01,2025-08-22,2025-12-11,1,volume_open_interest,SHFE.rb2601,pending
SHFE.rb2605,SHFE,rb,2025-12-02,2026-04-02,2025-11-22,2026-04-12,1,volume_open_interest,SHFE.rb2605,pending
SHFE.rb2610,SHFE,rb,2026-04-03,2026-06-24,2026-03-24,2026-07-04,1,volume_open_interest,SHFE.rb2610,pending
INE.sc2102,INE,sc,2021-01-04,2021-01-06,2020-12-25,2021-01-16,1,volume_open_interest,INE.sc2102,pending
INE.sc2103,INE,sc,2021-01-07,2021-02-04,2020-12-28,2021-02-14,1,volume_open_interest,INE.sc2103,pending
INE.sc2104,INE,sc,2021-02-05,2021-03-03,2021-01-26,2021-03-13,1,volume_open_interest,INE.sc2104,pending
INE.sc2105,INE,sc,2021-03-04,2021-04-13,2021-02-22,2021-04-23,1,volume_open_interest,INE.sc2105,pending
INE.sc2106,INE,sc,2021-04-14,2021-05-11,2021-04-04,2021-05-21,1,volume_open_interest,INE.sc2106,pending
INE.sc2107,INE,sc,2021-05-12,2021-06-15,2021-05-02,2021-06-25,1,volume_open_interest,INE.sc2107,pending
INE.sc2108,INE,sc,2021-06-16,2021-07-14,2021-06-06,2021-07-24,1,volume_open_interest,INE.sc2108,pending
INE.sc2109,INE,sc,2021-07-15,2021-08-11,2021-07-05,2021-08-21,1,volume_open_interest,INE.sc2109,pending
INE.sc2110,INE,sc,2021-08-12,2021-09-07,2021-08-02,2021-09-17,1,volume_open_interest,INE.sc2110,pending
INE.sc2111,INE,sc,2021-09-08,2021-10-12,2021-08-29,2021-10-22,1,volume_open_interest,INE.sc2111,pending
INE.sc2112,INE,sc,2021-10-13,2021-11-15,2021-10-03,2021-11-25,1,volume_open_interest,INE.sc2112,pending
INE.sc2201,INE,sc,2021-11-16,2021-12-08,2021-11-06,2021-12-18,1,volume_open_interest,INE.sc2201,pending
INE.sc2202,INE,sc,2021-12-09,2022-01-07,2021-11-29,2022-01-17,1,volume_open_interest,INE.sc2202,pending
INE.sc2203,INE,sc,2022-01-10,2022-02-08,2021-12-31,2022-02-18,1,volume_open_interest,INE.sc2203,pending
INE.sc2204,INE,sc,2022-02-09,2022-03-18,2022-01-30,2022-03-28,1,volume_open_interest,INE.sc2204,pending
INE.sc2205,INE,sc,2022-03-21,2022-04-15,2022-03-11,2022-04-25,1,volume_open_interest,INE.sc2205,pending
INE.sc2206,INE,sc,2022-04-18,2022-05-12,2022-04-08,2022-05-22,1,volume_open_interest,INE.sc2206,pending
INE.sc2207,INE,sc,2022-05-13,2022-06-16,2022-05-03,2022-06-26,1,volume_open_interest,INE.sc2207,pending
INE.sc2208,INE,sc,2022-06-17,2022-07-12,2022-06-07,2022-07-22,1,volume_open_interest,INE.sc2208,pending
INE.sc2209,INE,sc,2022-07-13,2022-08-10,2022-07-03,2022-08-20,1,volume_open_interest,INE.sc2209,pending
INE.sc2210,INE,sc,2022-08-11,2022-09-08,2022-08-01,2022-09-18,1,volume_open_interest,INE.sc2210,pending
INE.sc2211,INE,sc,2022-09-09,2022-10-11,2022-08-30,2022-10-21,1,volume_open_interest,INE.sc2211,pending
INE.sc2212,INE,sc,2022-10-12,2022-11-14,2022-10-02,2022-11-24,1,volume_open_interest,INE.sc2212,pending
INE.sc2301,INE,sc,2022-11-15,2022-12-09,2022-11-05,2022-12-19,1,volume_open_interest,INE.sc2301,pending
INE.sc2302,INE,sc,2022-12-12,2023-01-03,2022-12-02,2023-01-13,1,volume_open_interest,INE.sc2302,pending
INE.sc2303,INE,sc,2023-01-04,2023-02-06,2022-12-25,2023-02-16,1,volume_open_interest,INE.sc2303,pending
INE.sc2304,INE,sc,2023-02-07,2023-03-14,2023-01-28,2023-03-24,1,volume_open_interest,INE.sc2304,pending
INE.sc2305,INE,sc,2023-03-15,2023-04-13,2023-03-05,2023-04-23,1,volume_open_interest,INE.sc2305,pending
INE.sc2306,INE,sc,2023-04-14,2023-05-15,2023-04-04,2023-05-25,1,volume_open_interest,INE.sc2306,pending
INE.sc2307,INE,sc,2023-05-16,2023-06-15,2023-05-06,2023-06-25,1,volume_open_interest,INE.sc2307,pending
INE.sc2308,INE,sc,2023-06-16,2023-07-12,2023-06-06,2023-07-22,1,volume_open_interest,INE.sc2308,pending
INE.sc2309,INE,sc,2023-07-13,2023-08-15,2023-07-03,2023-08-25,1,volume_open_interest,INE.sc2309,pending
INE.sc2310,INE,sc,2023-08-16,2023-09-14,2023-08-06,2023-09-24,1,volume_open_interest,INE.sc2310,pending
INE.sc2311,INE,sc,2023-09-15,2023-10-16,2023-09-05,2023-10-26,1,volume_open_interest,INE.sc2311,pending
INE.sc2312,INE,sc,2023-10-17,2023-11-14,2023-10-07,2023-11-24,1,volume_open_interest,INE.sc2312,pending
INE.sc2401,INE,sc,2023-11-15,2023-12-13,2023-11-05,2023-12-23,1,volume_open_interest,INE.sc2401,pending
INE.sc2402,INE,sc,2023-12-14,2024-01-15,2023-12-04,2024-01-25,1,volume_open_interest,INE.sc2402,pending
INE.sc2403,INE,sc,2024-01-16,2024-02-08,2024-01-06,2024-02-18,1,volume_open_interest,INE.sc2403,pending
INE.sc2404,INE,sc,2024-02-19,2024-03-15,2024-02-09,2024-03-25,1,volume_open_interest,INE.sc2404,pending
INE.sc2405,INE,sc,2024-03-18,2024-04-12,2024-03-08,2024-04-22,1,volume_open_interest,INE.sc2405,pending
INE.sc2406,INE,sc,2024-04-15,2024-05-13,2024-04-05,2024-05-23,1,volume_open_interest,INE.sc2406,pending
INE.sc2407,INE,sc,2024-05-14,2024-06-17,2024-05-04,2024-06-27,1,volume_open_interest,INE.sc2407,pending
INE.sc2408,INE,sc,2024-06-18,2024-07-17,2024-06-08,2024-07-27,1,volume_open_interest,INE.sc2408,pending
INE.sc2409,INE,sc,2024-07-18,2024-08-15,2024-07-08,2024-08-25,1,volume_open_interest,INE.sc2409,pending
INE.sc2410,INE,sc,2024-08-16,2024-09-09,2024-08-06,2024-09-19,1,volume_open_interest,INE.sc2410,pending
INE.sc2411,INE,sc,2024-09-10,2024-10-14,2024-08-31,2024-10-24,1,volume_open_interest,INE.sc2411,pending
INE.sc2412,INE,sc,2024-10-15,2024-11-14,2024-10-05,2024-11-24,1,volume_open_interest,INE.sc2412,pending
INE.sc2501,INE,sc,2024-11-15,2024-12-12,2024-11-05,2024-12-22,1,volume_open_interest,INE.sc2501,pending
INE.sc2502,INE,sc,2024-12-13,2025-01-13,2024-12-03,2025-01-23,1,volume_open_interest,INE.sc2502,pending
INE.sc2503,INE,sc,2025-01-14,2025-02-13,2025-01-04,2025-02-23,1,volume_open_interest,INE.sc2503,pending
INE.sc2504,INE,sc,2025-02-14,2025-03-13,2025-02-04,2025-03-23,1,volume_open_interest,INE.sc2504,pending
INE.sc2505,INE,sc,2025-03-14,2025-04-11,2025-03-04,2025-04-21,1,volume_open_interest,INE.sc2505,pending
INE.sc2506,INE,sc,2025-04-14,2025-05-08,2025-04-04,2025-05-18,1,volume_open_interest,INE.sc2506,pending
INE.sc2507,INE,sc,2025-05-09,2025-06-13,2025-04-29,2025-06-23,1,volume_open_interest,INE.sc2507,pending
INE.sc2508,INE,sc,2025-06-16,2025-07-11,2025-06-06,2025-07-21,1,volume_open_interest,INE.sc2508,pending
INE.sc2509,INE,sc,2025-07-14,2025-08-13,2025-07-04,2025-08-23,1,volume_open_interest,INE.sc2509,pending
INE.sc2510,INE,sc,2025-08-14,2025-09-12,2025-08-04,2025-09-22,1,volume_open_interest,INE.sc2510,pending
INE.sc2511,INE,sc,2025-09-15,2025-10-13,2025-09-05,2025-10-23,1,volume_open_interest,INE.sc2511,pending
INE.sc2512,INE,sc,2025-10-14,2025-11-11,2025-10-04,2025-11-21,1,volume_open_interest,INE.sc2512,pending
INE.sc2601,INE,sc,2025-11-12,2025-12-15,2025-11-02,2025-12-25,1,volume_open_interest,INE.sc2601,pending
INE.sc2602,INE,sc,2025-12-16,2026-01-12,2025-12-06,2026-01-22,1,volume_open_interest,INE.sc2602,pending
INE.sc2603,INE,sc,2026-01-13,2026-02-04,2026-01-03,2026-02-14,1,volume_open_interest,INE.sc2603,pending
INE.sc2604,INE,sc,2026-02-05,2026-03-13,2026-01-26,2026-03-23,1,volume_open_interest,INE.sc2604,pending
INE.sc2605,INE,sc,2026-03-16,2026-04-15,2026-03-06,2026-04-25,1,volume_open_interest,INE.sc2605,pending
INE.sc2606,INE,sc,2026-04-16,2026-05-14,2026-04-06,2026-05-24,1,volume_open_interest,INE.sc2606,pending
INE.sc2607,INE,sc,2026-05-15,2026-06-12,2026-05-05,2026-06-22,1,volume_open_interest,INE.sc2607,pending
INE.sc2608,INE,sc,2026-06-15,2026-06-24,2026-06-05,2026-07-04,1,volume_open_interest,INE.sc2608,pending
DCE.v2105,DCE,v,2021-01-04,2021-04-12,2020-12-25,2021-04-22,1,volume_open_interest,DCE.v2105,pending
DCE.v2109,DCE,v,2021-04-13,2021-08-17,2021-04-03,2021-08-27,1,volume_open_interest,DCE.v2109,pending
DCE.v2201,DCE,v,2021-08-18,2021-12-09,2021-08-08,2021-12-19,1,volume_open_interest,DCE.v2201,pending
DCE.v2205,DCE,v,2021-12-10,2022-04-19,2021-11-30,2022-04-29,1,volume_open_interest,DCE.v2205,pending
DCE.v2209,DCE,v,2022-04-20,2022-08-17,2022-04-10,2022-08-27,1,volume_open_interest,DCE.v2209,pending
DCE.v2301,DCE,v,2022-08-18,2022-12-07,2022-08-08,2022-12-17,1,volume_open_interest,DCE.v2301,pending
DCE.v2305,DCE,v,2022-12-08,2023-04-12,2022-11-28,2023-04-22,1,volume_open_interest,DCE.v2305,pending
DCE.v2309,DCE,v,2023-04-13,2023-08-15,2023-04-03,2023-08-25,1,volume_open_interest,DCE.v2309,pending
DCE.v2401,DCE,v,2023-08-16,2023-12-14,2023-08-06,2023-12-24,1,volume_open_interest,DCE.v2401,pending
DCE.v2405,DCE,v,2023-12-15,2024-04-12,2023-12-05,2024-04-22,1,volume_open_interest,DCE.v2405,pending
DCE.v2409,DCE,v,2024-04-15,2024-08-19,2024-04-05,2024-08-29,1,volume_open_interest,DCE.v2409,pending
DCE.v2501,DCE,v,2024-08-20,2024-12-18,2024-08-10,2024-12-28,1,volume_open_interest,DCE.v2501,pending
DCE.v2505,DCE,v,2024-12-19,2025-04-15,2024-12-09,2025-04-25,1,volume_open_interest,DCE.v2505,pending
DCE.v2509,DCE,v,2025-04-16,2025-08-12,2025-04-06,2025-08-22,1,volume_open_interest,DCE.v2509,pending
DCE.v2601,DCE,v,2025-08-13,2025-12-15,2025-08-03,2025-12-25,1,volume_open_interest,DCE.v2601,pending
DCE.v2605,DCE,v,2025-12-16,2026-04-13,2025-12-06,2026-04-23,1,volume_open_interest,DCE.v2605,pending
DCE.v2609,DCE,v,2026-04-14,2026-06-24,2026-04-04,2026-07-04,1,volume_open_interest,DCE.v2609,pending
