period,provider,source,product,continuous_contract,actual_contract,dominant_mapping_date,data_role,quality_status,row_count,min_datetime,max_datetime,checksum,standard_path,raw_path,market_data_file_id,data_quality_report_id,data_version,status
15m,rqdata,rqdata,ih,ih.MAIN,IH2306,2023-06-15,primary,passed,496,2023-05-04T09:45:00,2023-06-15T15:00:00,105ef233817a9df6c4db02a4f1636eb13ede39159d4770f52f3ebc57a32aaacb,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ih/contract=IH2306/IH2306_15m_20230504_20230615.parquet,,44444,44862,rq_acb_ih_IH2306_15m_20230504_20230615_v1,success
1m,rqdata,rqdata,ih,ih.MAIN,IH2306,2023-06-15,primary,passed,7440,2023-05-04T09:31:00,2023-06-15T15:00:00,1514d15cf5bb9ca6614815daa2be4cbd152785aa9bb917e3f38cc5975793761a,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CFFEX/symbol=ih/contract=IH2306/IH2306_1m_20230504_20230615.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/actual_contract_bars/product=ih/contract=IH2306/frequency=1m/IH2306_1m_raw_20230504_20230615.parquet,44442,44860,rq_acb_ih_IH2306_1m_20230504_20230615_v1,success
30m,rqdata,rqdata,ih,ih.MAIN,IH2306,2023-06-15,primary,passed,248,2023-05-04T10:00:00,2023-06-15T15:00:00,e95f97bba88b61c95b8186ccea09d74f061a2d698ce5c81ac41c22c0ca0c5aca,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=CFFEX/symbol=ih/contract=IH2306/IH2306_30m_20230504_20230615.parquet,,44445,44863,rq_acb_ih_IH2306_30m_20230504_20230615_v1,success
5m,rqdata,rqdata,ih,ih.MAIN,IH2306,2023-06-15,primary,passed,1488,2023-05-04T09:35:00,2023-06-15T15:00:00,ac8d02a59990d5c71927038b3a2ffaa630dc83a90c41886fbdf99f61b520b3e0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=CFFEX/symbol=ih/contract=IH2306/IH2306_5m_20230504_20230615.parquet,,44443,44861,rq_acb_ih_IH2306_5m_20230504_20230615_v1,success
60m,rqdata,rqdata,ih,ih.MAIN,IH2306,2023-06-15,primary,passed,124,2023-05-04T10:30:00,2023-06-15T15:00:00,0a94eb55649d7c1e4d8bfdef270cb0e14608f3f24b6417937953836207805d57,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=CFFEX/symbol=ih/contract=IH2306/IH2306_60m_20230504_20230615.parquet,,44446,44864,rq_acb_ih_IH2306_60m_20230504_20230615_v1,success
