period,provider,source,product,continuous_contract,actual_contract,dominant_mapping_date,data_role,quality_status,row_count,min_datetime,max_datetime,checksum,standard_path,raw_path,market_data_file_id,data_quality_report_id,data_version,status
15m,rqdata,rqdata,lu,lu.MAIN,LU2507,2025-05-23,primary,passed,498,2025-04-18T21:15:00,2025-05-23T15:00:00,3ca3a2f740aa56ddc9109aebc1fc918c5ae3aa266af003607c13979f590bec46,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=INE/symbol=lu/contract=LU2507/LU2507_15m_20250421_20250523.parquet,,48542,48277,rq_acb_lu_LU2507_15m_20250421_20250523_v1,success
1m,rqdata,rqdata,lu,lu.MAIN,LU2507,2025-05-23,primary,passed,7470,2025-04-18T21:01:00,2025-05-23T15:00:00,7451a7d5667397d0cf601e3df252e83423ca91cde65ec200db153a876ca4bcf1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=lu/contract=LU2507/LU2507_1m_20250421_20250523.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/actual_contract_bars/product=lu/contract=LU2507/frequency=1m/LU2507_1m_raw_20250421_20250523.parquet,48540,48275,rq_acb_lu_LU2507_1m_20250421_20250523_v1,success
30m,rqdata,rqdata,lu,lu.MAIN,LU2507,2025-05-23,primary,passed,260,2025-04-18T21:30:00,2025-05-23T15:00:00,06917e3f4d9164d14a7e5930cd1e36351c2439af00621b62317932f70d032f45,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=INE/symbol=lu/contract=LU2507/LU2507_30m_20250421_20250523.parquet,,48543,48278,rq_acb_lu_LU2507_30m_20250421_20250523_v1,success
5m,rqdata,rqdata,lu,lu.MAIN,LU2507,2025-05-23,primary,passed,1494,2025-04-18T21:05:00,2025-05-23T15:00:00,803bcdabe55b8ae279e7fc1ad50edfa514e8588f1448be079f2e2820d50f42e2,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=INE/symbol=lu/contract=LU2507/LU2507_5m_20250421_20250523.parquet,,48541,48276,rq_acb_lu_LU2507_5m_20250421_20250523_v1,success
60m,rqdata,rqdata,lu,lu.MAIN,LU2507,2025-05-23,primary,passed,152,2025-04-18T22:00:00,2025-05-23T15:00:00,bf6438ba71724cb1faac0d3944c013a957091e489f1ac285b7675f48610046fe,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=INE/symbol=lu/contract=LU2507/LU2507_60m_20250421_20250523.parquet,,48544,48279,rq_acb_lu_LU2507_60m_20250421_20250523_v1,success
