period,provider,source,product,continuous_contract,actual_contract,dominant_mapping_date,data_role,quality_status,row_count,min_datetime,max_datetime,checksum,standard_path,raw_path,market_data_file_id,data_quality_report_id,data_version,status
1d,rqdata,rqdata,pm,pm.MAIN,PM2511,2025-11-14,primary,passed,39,2025-09-15T00:00:00,2025-11-14T00:00:00,abecfc85a287f552ab1b34f140b586c2241cec42e8e12a0fbe1dd1d7a8c685a1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=pm/contract=PM2511/PM2511_1d_20250915_20251114.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/actual_contract_bars/product=pm/contract=PM2511/frequency=1d/PM2511_1d_raw_20250915_20251114.parquet,43045,85092,rq_acb_pm_PM2511_1d_20250915_20251114_v1,success
1w,rqdata,rqdata,pm,pm.MAIN,PM2511,2025-11-14,primary,passed,9,2025-09-19T00:00:00,2025-11-14T00:00:00,b34208139c13556733f9e57b211cb342f3dc1b8cc347c37f95ee2c9591660bdc,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=pm/contract=PM2511/PM2511_1w_20250915_20251114.parquet,,88180,85093,rq_acb_pm_PM2511_1w_20250915_20251114_v1,success
