profile_id,instrument_symbol,contract_code,period,contract_role,target_start,target_end,target_ranges,lineage_required,evidence_source
intraday_research_v1,au,au.MAIN,30m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,au,au.MAIN,5m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,au,au.MAIN,60m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,b,b.MAIN,15m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,b,b.MAIN,1d,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,b,b.MAIN,1m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",False,audit_v2_expected_windows
intraday_research_v1,b,b.MAIN,30m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,b,b.MAIN,5m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,b,b.MAIN,60m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,bb,bb.MAIN,15m,dominant_main,2013-12-06,2026-07-10,"[[""2013-12-06"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,bb,bb.MAIN,1d,dominant_main,2013-12-06,2026-07-10,"[[""2013-12-06"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,bb,bb.MAIN,1m,dominant_main,2013-12-06,2026-07-10,"[[""2013-12-06"",""2026-07-10""]]",False,audit_v2_expected_windows
intraday_research_v1,bb,bb.MAIN,30m,dominant_main,2013-12-06,2026-07-10,"[[""2013-12-06"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,bb,bb.MAIN,5m,dominant_main,2013-12-06,2026-07-10,"[[""2013-12-06"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,bb,bb.MAIN,60m,dominant_main,2013-12-06,2026-07-10,"[[""2013-12-06"",""2026-07-10""]]",True,audit_v2_expected_windows
