dataset,classification,row_count,products,human_gate,example_command
continuous_contract_map,partial_year_rows,546,"a,ad,ag,al,ao,ap,au,b,bb,bc,br,bu,bz,c,cf,cj,cs,cu,cy,eb,ec,eg,fb,fg,fu,hc,i,ic,if,ih,im,j,jd,jm,jr,l,l_f,lc,lg,lh,lu,m,ma,ni,nr,oi,op,p,pb,pd,pf,pg,pk,pl,pm,pp,pp_f,pr,ps,pt,px,rb,ri,rm,rr,rs,ru,sa,sc,sf,sh,si,sm,sn,sp,sr,ss,t,ta,tf,tl,ts,ur,v,v_f,wh,wr,y,zc,zn",required_before_rqdata_or_db_write,uv run --env-file /Volumes/扩展盘/guiyi-quant-workstation/.env --project services/quant-api python scripts/rqdata_continuous_contracts_sync.py run --product a --start-date 2020-01-01 --end-date 2020-12-31
contract_universe,partial_year_rows,285,"a,ag,al,ao,ap,au,b,bb,bc,br,bu,c,cf,cj,cs,cu,cy,eb,ec,eg,fb,fg,fu,hc,i,ic,if,ih,im,j,jd,jm,jr,l,lc,lh,lu,m,ma,ni,nr,oi,p,pb,pf,pg,pk,pm,pp,px,rb,ri,rm,rr,rs,ru,sa,sc,sf,sh,si,sm,sn,sp,sr,ss,t,ta,tf,tl,ts,ur,v,wh,wr,y,zc,zn",required_before_rqdata_or_db_write,uv run --env-file /Volumes/扩展盘/guiyi-quant-workstation/.env --project services/quant-api python scripts/rqdata_contract_universe_sync.py run --product a --start-date 2020-01-01 --end-date 2020-12-31
