classification,product,year,dataset,issue_type,db_row_count_for_year,db_min_trade_date,db_max_trade_date,candidate_start_date,candidate_end_date,suggested_command,recommended_action
partial_year_rows,a,2026,continuous_contract_map,missing_continuous_contract_map,242,2026-01-05,2026-07-07,2026-01-01,2026-07-10,uv run --env-file /Volumes/扩展盘/guiyi-quant-workstation/.env --project services/quant-api python scripts/rqdata_continuous_contracts_sync.py run --product a --start-date 2026-01-01 --end-date 2026-07-10,metadata_only_sync_requires_human_gate
partial_year_rows,ad,2025,continuous_contract_map,missing_continuous_contract_map,282,2025-06-10,2025-12-31,2025-01-01,2025-12-31,uv run --env-file /Volumes/扩展盘/guiyi-quant-workstation/.env --project services/quant-api python scripts/rqdata_continuous_contracts_sync.py run --product ad --start-date 2025-01-01 --end-date 2025-12-31,metadata_only_sync_requires_human_gate
partial_year_rows,ad,2026,continuous_contract_map,missing_continuous_contract_map,242,2026-01-05,2026-07-07,2026-01-01,2026-07-10,uv run --env-file /Volumes/扩展盘/guiyi-quant-workstation/.env --project services/quant-api python scripts/rqdata_continuous_contracts_sync.py run --product ad --start-date 2026-01-01 --end-date 2026-07-10,metadata_only_sync_requires_human_gate
partial_year_rows,ag,2020,contract_universe,missing_contract_universe,2916,2020-01-02,2020-12-31,2020-01-01,2020-12-31,uv run --env-file /Volumes/扩展盘/guiyi-quant-workstation/.env --project services/quant-api python scripts/rqdata_contract_universe_sync.py run --product ag --start-date 2020-01-01 --end-date 2020-12-31,metadata_only_sync_requires_human_gate
partial_year_rows,ag,2020,continuous_contract_map,missing_continuous_contract_map,486,2020-01-02,2020-12-31,2020-01-01,2020-12-31,uv run --env-file /Volumes/扩展盘/guiyi-quant-workstation/.env --project services/quant-api python scripts/rqdata_continuous_contracts_sync.py run --product ag --start-date 2020-01-01 --end-date 2020-12-31,metadata_only_sync_requires_human_gate
partial_year_rows,ag,2021,contract_universe,missing_contract_universe,2916,2021-01-04,2021-12-31,2021-01-01,2021-12-31,uv run --env-file /Volumes/扩展盘/guiyi-quant-workstation/.env --project services/quant-api python scripts/rqdata_contract_universe_sync.py run --product ag --start-date 2021-01-01 --end-date 2021-12-31,metadata_only_sync_requires_human_gate
partial_year_rows,ag,2021,continuous_contract_map,missing_continuous_contract_map,486,2021-01-04,2021-12-31,2021-01-01,2021-12-31,uv run --env-file /Volumes/扩展盘/guiyi-quant-workstation/.env --project services/quant-api python scripts/rqdata_continuous_contracts_sync.py run --product ag --start-date 2021-01-01 --end-date 2021-12-31,metadata_only_sync_requires_human_gate
partial_year_rows,ag,2022,contract_universe,missing_contract_universe,2904,2022-01-04,2022-12-30,2022-01-01,2022-12-31,uv run --env-file /Volumes/扩展盘/guiyi-quant-workstation/.env --project services/quant-api python scripts/rqdata_contract_universe_sync.py run --product ag --start-date 2022-01-01 --end-date 2022-12-31,metadata_only_sync_requires_human_gate
partial_year_rows,ag,2022,continuous_contract_map,missing_continuous_contract_map,484,2022-01-04,2022-12-30,2022-01-01,2022-12-31,uv run --env-file /Volumes/扩展盘/guiyi-quant-workstation/.env --project services/quant-api python scripts/rqdata_continuous_contracts_sync.py run --product ag --start-date 2022-01-01 --end-date 2022-12-31,metadata_only_sync_requires_human_gate
partial_year_rows,ag,2023,contract_universe,missing_contract_universe,2904,2023-01-03,2023-12-29,2023-01-01,2023-12-31,uv run --env-file /Volumes/扩展盘/guiyi-quant-workstation/.env --project services/quant-api python scripts/rqdata_contract_universe_sync.py run --product ag --start-date 2023-01-01 --end-date 2023-12-31,metadata_only_sync_requires_human_gate
