profile_id,instrument_symbol,contract_code,period,diff_status,expected_market_data_file_id,actual_market_data_file_id,expected_data_version,actual_data_version,active_match
intraday_research_v1,lc,lc.MAIN,1m,would_change,71663,71663,rqdata_lc_standard_1m_20230103_20260712_v2,rqdata_lc_standard_1m_20230103_20260712_v2,True
intraday_research_v1,lg,lg.MAIN,1m,would_change,71666,71666,rqdata_lg_standard_1m_20230103_20260712_v2,rqdata_lg_standard_1m_20230103_20260712_v2,True
intraday_research_v1,lh,lh.MAIN,1m,would_change,71546,71546,rqdata_lh_standard_1m_20210108_20260711_v2,rqdata_lh_standard_1m_20210108_20260711_v2,True
intraday_research_v1,lu,lu.MAIN,1m,would_change,71525,71525,rqdata_lu_standard_1m_20200622_20260711_v2,rqdata_lu_standard_1m_20200622_20260711_v2,True
intraday_research_v1,m,m.MAIN,1m,would_change,82764,82764,rqdata_m_standard_1m_20000717_20260711_v2,rqdata_m_standard_1m_20000717_20260711_v2,True
intraday_research_v1,ma,ma.MAIN,1m,would_change,82754,82754,rqdata_ma_standard_1m_20140617_20260711_v2,rqdata_ma_standard_1m_20140617_20260711_v2,True
intraday_research_v1,ni,ni.MAIN,1m,would_change,82748,82748,rqdata_ni_standard_1m_20150327_20260711_v2,rqdata_ni_standard_1m_20150327_20260711_v2,True
intraday_research_v1,nr,nr.MAIN,1m,would_change,82736,82736,rqdata_nr_standard_1m_20190812_20260711_v2,rqdata_nr_standard_1m_20190812_20260711_v2,True
intraday_research_v1,oi,oi.MAIN,1m,would_change,82785,82785,rqdata_oi_standard_1m_20120716_20260711_v2,rqdata_oi_standard_1m_20120716_20260711_v2,True
intraday_research_v1,op,op.MAIN,1m,would_change,71669,71669,rqdata_op_standard_1m_20230103_20260712_v2,rqdata_op_standard_1m_20230103_20260712_v2,True
intraday_research_v1,p,p.MAIN,1m,would_change,82775,82775,rqdata_p_standard_1m_20071029_20260711_v2,rqdata_p_standard_1m_20071029_20260711_v2,True
intraday_research_v1,pb,pb.MAIN,1m,would_change,82781,82781,rqdata_pb_standard_1m_20110324_20260711_v2,rqdata_pb_standard_1m_20110324_20260711_v2,True
intraday_research_v1,pd,pd.MAIN,1m,would_change,71672,71672,rqdata_pd_standard_1m_20230103_20260712_v2,rqdata_pd_standard_1m_20230103_20260712_v2,True
intraday_research_v1,pf,pf.MAIN,1m,would_change,71529,71529,rqdata_pf_standard_1m_20201012_20260711_v2,rqdata_pf_standard_1m_20201012_20260711_v2,True
intraday_research_v1,pg,pg.MAIN,1m,would_change,71334,71334,rqdata_pg_standard_1m_20200330_20260711_v2,rqdata_pg_standard_1m_20200330_20260711_v2,True
intraday_research_v1,pk,pk.MAIN,1m,would_change,71547,71547,rqdata_pk_standard_1m_20210201_20260711_v2,rqdata_pk_standard_1m_20210201_20260711_v2,True
intraday_research_v1,pl,pl.MAIN,1m,would_change,71675,71675,rqdata_pl_standard_1m_20230103_20260712_v2,rqdata_pl_standard_1m_20230103_20260712_v2,True
intraday_research_v1,pm,pm.MAIN,1m,would_change,82783,82783,rqdata_pm_standard_1m_20120117_20260711_v2,rqdata_pm_standard_1m_20120117_20260711_v2,True
intraday_research_v1,pp,pp.MAIN,1m,would_change,82756,82756,rqdata_pp_standard_1m_20140228_20260711_v2,rqdata_pp_standard_1m_20140228_20260711_v2,True
intraday_research_v1,pp_f,pp_f.MAIN,1m,would_change,71678,71678,rqdata_pp_f_standard_1m_20230103_20260712_v2,rqdata_pp_f_standard_1m_20230103_20260712_v2,True
intraday_research_v1,pr,pr.MAIN,1m,would_change,71681,71681,rqdata_pr_standard_1m_20230103_20260712_v2,rqdata_pr_standard_1m_20230103_20260712_v2,True
intraday_research_v1,ps,ps.MAIN,1m,would_change,71684,71684,rqdata_ps_standard_1m_20230103_20260712_v2,rqdata_ps_standard_1m_20230103_20260712_v2,True
intraday_research_v1,pt,pt.MAIN,1m,would_change,71687,71687,rqdata_pt_standard_1m_20230103_20260712_v2,rqdata_pt_standard_1m_20230103_20260712_v2,True
intraday_research_v1,px,px.MAIN,1m,would_change,71690,71690,rqdata_px_standard_1m_20230103_20260712_v2,rqdata_px_standard_1m_20230103_20260712_v2,True
intraday_research_v1,rb,rb.MAIN,1m,would_change,82777,82777,rqdata_rb_standard_1m_20090327_20260711_v2,rqdata_rb_standard_1m_20090327_20260711_v2,True
