product,year,dataset,status,issue_type,db_available,recommended_next_task
al,2025,trading_calendar,covered_passed,,True,
al,2025,trading_sessions,covered_passed,,True,
al,2026,main_contract_map_rank1,covered_passed,,True,
al,2026,contract_universe,covered_passed,,True,
al,2026,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
al,2026,trading_parameters,covered_passed,,True,
al,2026,trading_calendar,covered_passed,,True,
al,2026,trading_sessions,covered_passed,,True,
ao,2020,main_contract_map_rank1,not_applicable,not_applicable,True,
ao,2020,contract_universe,not_applicable,not_applicable,True,
ao,2020,continuous_contract_map,not_applicable,not_applicable,True,
ao,2020,trading_parameters,not_applicable,not_applicable,True,
ao,2020,trading_calendar,not_applicable,not_applicable,True,
ao,2020,trading_sessions,not_applicable,not_applicable,True,
ao,2021,main_contract_map_rank1,not_applicable,not_applicable,True,
ao,2021,contract_universe,not_applicable,not_applicable,True,
ao,2021,continuous_contract_map,not_applicable,not_applicable,True,
ao,2021,trading_parameters,not_applicable,not_applicable,True,
ao,2021,trading_calendar,not_applicable,not_applicable,True,
ao,2021,trading_sessions,not_applicable,not_applicable,True,
ao,2022,main_contract_map_rank1,not_applicable,not_applicable,True,
ao,2022,contract_universe,not_applicable,not_applicable,True,
ao,2022,continuous_contract_map,not_applicable,not_applicable,True,
ao,2022,trading_parameters,not_applicable,not_applicable,True,
ao,2022,trading_calendar,not_applicable,not_applicable,True,
ao,2022,trading_sessions,not_applicable,not_applicable,True,
ao,2023,main_contract_map_rank1,covered_passed,,True,
ao,2023,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
ao,2023,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ao,2023,trading_parameters,covered_passed,,True,
ao,2023,trading_calendar,covered_passed,,True,
ao,2023,trading_sessions,covered_passed,,True,
ao,2024,main_contract_map_rank1,covered_passed,,True,
ao,2024,contract_universe,covered_passed,,True,
ao,2024,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ao,2024,trading_parameters,covered_passed,,True,
ao,2024,trading_calendar,covered_passed,,True,
ao,2024,trading_sessions,covered_passed,,True,
ao,2025,main_contract_map_rank1,covered_passed,,True,
ao,2025,contract_universe,covered_passed,,True,
ao,2025,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ao,2025,trading_parameters,covered_passed,,True,
ao,2025,trading_calendar,covered_passed,,True,
ao,2025,trading_sessions,covered_passed,,True,
ao,2026,main_contract_map_rank1,covered_passed,,True,
ao,2026,contract_universe,covered_passed,,True,
ao,2026,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ao,2026,trading_parameters,covered_passed,,True,
ao,2026,trading_calendar,covered_passed,,True,
ao,2026,trading_sessions,covered_passed,,True,
ap,2020,main_contract_map_rank1,covered_passed,,True,
ap,2020,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
ap,2020,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ap,2020,trading_parameters,covered_passed,,True,
ap,2020,trading_calendar,covered_passed,,True,
ap,2020,trading_sessions,covered_passed,,True,
ap,2021,main_contract_map_rank1,covered_passed,,True,
ap,2021,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
ap,2021,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ap,2021,trading_parameters,covered_passed,,True,
ap,2021,trading_calendar,covered_passed,,True,
ap,2021,trading_sessions,covered_passed,,True,
ap,2022,main_contract_map_rank1,covered_passed,,True,
ap,2022,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
ap,2022,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ap,2022,trading_parameters,covered_passed,,True,
ap,2022,trading_calendar,covered_passed,,True,
ap,2022,trading_sessions,covered_passed,,True,
ap,2023,main_contract_map_rank1,covered_passed,,True,
ap,2023,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
ap,2023,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ap,2023,trading_parameters,covered_passed,,True,
ap,2023,trading_calendar,covered_passed,,True,
ap,2023,trading_sessions,covered_passed,,True,
ap,2024,main_contract_map_rank1,covered_passed,,True,
ap,2024,contract_universe,covered_passed,,True,
ap,2024,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ap,2024,trading_parameters,covered_passed,,True,
ap,2024,trading_calendar,covered_passed,,True,
ap,2024,trading_sessions,covered_passed,,True,
ap,2025,main_contract_map_rank1,covered_passed,,True,
ap,2025,contract_universe,covered_passed,,True,
ap,2025,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ap,2025,trading_parameters,covered_passed,,True,
ap,2025,trading_calendar,covered_passed,,True,
ap,2025,trading_sessions,covered_passed,,True,
ap,2026,main_contract_map_rank1,covered_passed,,True,
ap,2026,contract_universe,covered_passed,,True,
ap,2026,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
ap,2026,trading_parameters,covered_passed,,True,
ap,2026,trading_calendar,covered_passed,,True,
ap,2026,trading_sessions,covered_passed,,True,
au,2020,main_contract_map_rank1,covered_passed,,True,
au,2020,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
au,2020,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
au,2020,trading_parameters,covered_passed,,True,
au,2020,trading_calendar,covered_passed,,True,
au,2020,trading_sessions,covered_passed,,True,
au,2021,main_contract_map_rank1,covered_passed,,True,
au,2021,contract_universe,metadata_gap,missing_contract_universe,True,target_coverage_gap_triage
au,2021,continuous_contract_map,metadata_gap,missing_continuous_contract_map,True,target_coverage_gap_triage
au,2021,trading_parameters,covered_passed,,True,
