anomaly_type,product,period,physical_path,root_cause_class,audit_result,recommended_gate
duplicate_path_versions,pl,15m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=pl/contract=PL2609/PL2609_15m_20260401_20260707.parquet,dual_provider_version_key,pass,DIRECTION-A3-APPLY-DUP-SUPERSEDE
duplicate_path_versions,pm,15m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=pm/contract=PM2607/PM2607_15m_20260401_20260707.parquet,dual_provider_version_key,pass,DIRECTION-A3-APPLY-DUP-SUPERSEDE
duplicate_path_versions,sa,15m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=sa/contract=SA2609/SA2609_15m_20260401_20260707.parquet,dual_provider_version_key,pass,DIRECTION-A3-APPLY-DUP-SUPERSEDE
duplicate_path_versions,ta,15m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=ta/contract=TA2609/TA2609_15m_20260401_20260707.parquet,dual_provider_version_key,pass,DIRECTION-A3-APPLY-DUP-SUPERSEDE
duplicate_path_versions,a,15m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=A2609/A2609_15m_20260401_20260707.parquet,dual_provider_version_key,pass,DIRECTION-A3-APPLY-DUP-SUPERSEDE
duplicate_path_versions,b,15m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=b/contract=B2609/B2609_15m_20260401_20260707.parquet,dual_provider_version_key,pass,DIRECTION-A3-APPLY-DUP-SUPERSEDE
duplicate_path_versions,bb,15m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=bb/contract=BB2609/BB2609_15m_20260401_20260707.parquet,dual_provider_version_key,pass,DIRECTION-A3-APPLY-DUP-SUPERSEDE
duplicate_path_versions,bz,15m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=bz/contract=BZ2608/BZ2608_15m_20260401_20260707.parquet,dual_provider_version_key,pass,DIRECTION-A3-APPLY-DUP-SUPERSEDE
duplicate_path_versions,c,15m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=c/contract=C2609/C2609_15m_20260401_20260707.parquet,dual_provider_version_key,pass,DIRECTION-A3-APPLY-DUP-SUPERSEDE
duplicate_path_versions,cs,15m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=cs/contract=CS2609/CS2609_15m_20260401_20260707.parquet,dual_provider_version_key,pass,DIRECTION-A3-APPLY-DUP-SUPERSEDE
duplicate_path_versions,eb,15m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=eb/contract=EB2608/EB2608_15m_20260401_20260707.parquet,dual_provider_version_key,pass,DIRECTION-A3-APPLY-DUP-SUPERSEDE
duplicate_path_versions,eg,15m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=eg/contract=EG2609/EG2609_15m_20260401_20260707.parquet,dual_provider_version_key,pass,DIRECTION-A3-APPLY-DUP-SUPERSEDE
duplicate_path_versions,fb,15m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=fb/contract=FB2609/FB2609_15m_20260401_20260707.parquet,dual_provider_version_key,pass,DIRECTION-A3-APPLY-DUP-SUPERSEDE
duplicate_path_versions,i,15m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=i/contract=I2609/I2609_15m_20260401_20260707.parquet,dual_provider_version_key,pass,DIRECTION-A3-APPLY-DUP-SUPERSEDE
duplicate_path_versions,j,15m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=j/contract=J2609/J2609_15m_20260401_20260707.parquet,dual_provider_version_key,pass,DIRECTION-A3-APPLY-DUP-SUPERSEDE
duplicate_path_versions,jd,15m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=jd/contract=JD2609/JD2609_15m_20260401_20260707.parquet,dual_provider_version_key,pass,DIRECTION-A3-APPLY-DUP-SUPERSEDE
duplicate_path_versions,jm,15m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=jm/contract=JM2609/JM2609_15m_20260401_20260707.parquet,dual_provider_version_key,pass,DIRECTION-A3-APPLY-DUP-SUPERSEDE
duplicate_path_versions,l,15m,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=l/contract=L2609/L2609_15m_20260401_20260707.parquet,dual_provider_version_key,pass,DIRECTION-A3-APPLY-DUP-SUPERSEDE
