batch_id,profile_id,instrument_symbol,contract_code,period,binding_id,previous_binding_id,previous_market_data_file_id,next_market_data_file_id,previous_data_version,next_data_version,applied_at,operator,committed,candidate_sha256,expected_before_sha256,candidate_count
profile-rollout-intraday-008b-003,intraday_research_v1,c,c.MAIN,1m,4588,340,55989,82768,rqdata_c_standard_1m_20230103_20260711_v2,rqdata_c_standard_1m_20040922_20260711_v2,2026-07-18T03:43:13.712218+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,cf,cf.MAIN,1m,4589,346,55990,82766,rqdata_cf_standard_1m_20230103_20260711_v2,rqdata_cf_standard_1m_20040601_20260711_v2,2026-07-18T03:43:13.728112+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,cj,cj.MAIN,1m,4590,352,55991,82738,rqdata_cj_standard_1m_20230103_20260711_v2,rqdata_cj_standard_1m_20190430_20260711_v2,2026-07-18T03:43:13.737051+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,cs,cs.MAIN,1m,4591,358,55992,82751,rqdata_cs_standard_1m_20230103_20260711_v2,rqdata_cs_standard_1m_20141219_20260711_v2,2026-07-18T03:43:13.749180+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,cu,cu.MAIN,1m,4592,364,55993,82762,rqdata_cu_standard_1m_20230103_20260711_v2,rqdata_cu_standard_1m_20000104_20260711_v2,2026-07-18T03:43:13.770082+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,cy,cy.MAIN,1m,4593,370,55994,82744,rqdata_cy_standard_1m_20230103_20260711_v2,rqdata_cy_standard_1m_20170818_20260711_v2,2026-07-18T03:43:13.779603+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,eb,eb.MAIN,1m,4594,376,55995,82733,rqdata_eb_standard_1m_20230103_20260711_v2,rqdata_eb_standard_1m_20190926_20260711_v2,2026-07-18T03:43:13.789383+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,ec,ec.MAIN,1m,4595,382,55996,71657,rqdata_ec_standard_1m_20230103_20260711_v2,rqdata_ec_standard_1m_20230103_20260712_v2,2026-07-18T03:43:13.795935+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,eg,eg.MAIN,1m,4596,388,55997,82739,rqdata_eg_standard_1m_20230103_20260711_v2,rqdata_eg_standard_1m_20181210_20260711_v2,2026-07-18T03:43:13.806651+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
profile-rollout-intraday-008b-003,intraday_research_v1,fb,fb.MAIN,1m,4597,394,55998,82758,rqdata_fb_standard_1m_20230103_20260711_v2,rqdata_fb_standard_1m_20131206_20260711_v2,2026-07-18T03:43:13.815443+00:00,profile_binding_rollout,True,c6b71c1d830daebd2ac5809eab02d9c050445341c9b107d427620dd6e68f7ebe,519d74408b7aa09f7f92ef1d1a154de1db2b00a8978753d102256b439a31e8ab,85
