classification,product,actual_contract,period,covered_years,target_row_count,standard_path,physical_exists,duckdb_row_count,duckdb_min_datetime,duckdb_max_datetime,physical_checksum,physical_file_size_bytes,physical_error,manifest_row_count,manifest_data_version,manifest_quality_status,manifest_checksum,db_exact_path_count,db_market_data_file_ids,db_data_versions,db_quality_report_ids,db_quality_report_statuses,db_identity_match_count,issues
already_registered,pp_f,PP2604F,15m,2025|2026,2,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=pp_f/contract=PP2604F/PP2604F_15m_20251125_20260119.parquet,True,866,2025-11-24T21:15:00,2026-01-19T15:00:00,718ae806b0707ac776bbd416f9d076802a49a0e45e1d5c2e972cd2a2e521ae92,40194,,1,rq_acb_pp_f_PP2604F_15m_20251125_20260119_v1,passed,718ae806b0707ac776bbd416f9d076802a49a0e45e1d5c2e972cd2a2e521ae92,1,46004,rq_acb_pp_f_PP2604F_15m_20251125_20260119_v1,46162,passed,1,
already_registered,pp_f,PP2605F,15m,2026,1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=pp_f/contract=PP2605F/PP2605F_15m_20260120_20260417.parquet,True,1295,2026-01-19T21:15:00,2026-04-17T15:00:00,218ed3925f735333b5311396b86840b5761e68805828258f18816714d972eaee,61404,,1,rq_acb_pp_f_PP2605F_15m_20260120_20260417_v1,passed,218ed3925f735333b5311396b86840b5761e68805828258f18816714d972eaee,1,46010,rq_acb_pp_f_PP2605F_15m_20260120_20260417_v1,46167,passed,1,
already_registered,pp_f,PP2609F,15m,2026,1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=pp_f/contract=PP2609F/PP2609F_15m_20260401_20260707.parquet,True,1471,2026-03-31T21:15:00,2026-07-07T15:00:00,afd9ebc24334d5b82630069f62f91f4cc93610a8ce34f6dd17f20e5ee506d0f9,68655,,1,rq_acb_pp_f_PP2609F_15m_20260401_20260707_v1,passed,afd9ebc24334d5b82630069f62f91f4cc93610a8ce34f6dd17f20e5ee506d0f9,1,34262,rq_acb_pp_f_PP2609F_15m_20260401_20260707_v1,35960,passed,1,
already_registered,v_f,V2602F,15m,2025|2026,2,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=v_f/contract=V2602F/V2602F_15m_20251029_20260108.parquet,True,1134,2025-10-29T09:15:00,2026-01-08T15:00:00,83bef70000edbad67092a41a35c0bbf57f1d08b0c6d6e23521c5019535269aac,49234,,1,rq_acb_v_f_V2602F_15m_20251029_20260108_v1,passed,83bef70000edbad67092a41a35c0bbf57f1d08b0c6d6e23521c5019535269aac,1,48074,rq_acb_v_f_V2602F_15m_20251029_20260108_v1,47887,passed,1,
already_registered,v_f,V2603F,15m,2026,1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=v_f/contract=V2603F/V2603F_15m_20260109_20260113.parquet,True,69,2026-01-08T21:15:00,2026-01-13T15:00:00,f25242461c44133aae5ea56988dfd00945e5694eed1af987c3e7ad51feabf6c7,16773,,1,rq_acb_v_f_V2603F_15m_20260109_20260113_v1,passed,f25242461c44133aae5ea56988dfd00945e5694eed1af987c3e7ad51feabf6c7,1,48080,rq_acb_v_f_V2603F_15m_20260109_20260113_v1,47892,passed,1,
already_registered,v_f,V2605F,15m,2026,1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=v_f/contract=V2605F/V2605F_15m_20260114_20260414.parquet,True,1318,2026-01-13T21:15:00,2026-04-14T15:00:00,63d9a9e6ba4b24ca894815c3233a3b5000c524c17ede60d62c2b6411b9afdfd4,61179,,1,rq_acb_v_f_V2605F_15m_20260114_20260414_v1,passed,63d9a9e6ba4b24ca894815c3233a3b5000c524c17ede60d62c2b6411b9afdfd4,1,48086,rq_acb_v_f_V2605F_15m_20260114_20260414_v1,47897,passed,1,
already_registered,v_f,V2606F,15m,2026,1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=v_f/contract=V2606F/V2606F_15m_20260415_20260424.parquet,True,184,2026-04-14T21:15:00,2026-04-24T15:00:00,4872db021c7c2cdd04eedb29c8baf075e3d634349524af81f4fce0db5afa60e2,20735,,1,rq_acb_v_f_V2606F_15m_20260415_20260424_v1,passed,4872db021c7c2cdd04eedb29c8baf075e3d634349524af81f4fce0db5afa60e2,1,48092,rq_acb_v_f_V2606F_15m_20260415_20260424_v1,47902,passed,1,
already_registered,v_f,V2609F,15m,2026,1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=v_f/contract=V2609F/V2609F_15m_20260401_20260707.parquet,True,1471,2026-03-31T21:15:00,2026-07-07T15:00:00,3e9420f72233a592764e27fb8e331789fa7cf8592b45de2d2ef7c1f89b8225ec,66400,,1,rq_acb_v_f_V2609F_15m_20260401_20260707_v1,passed,3e9420f72233a592764e27fb8e331789fa7cf8592b45de2d2ef7c1f89b8225ec,1,34458,rq_acb_v_f_V2609F_15m_20260401_20260707_v1,36182,passed,1,
duplicate_path_versions,l_f,L2609F,1d,2026,1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=l_f/contract=L2609F/L2609F_1d_20260401_20260707.parquet,True,76,2026-04-01T15:00:00,2026-07-07T15:00:00,c5461f9dcf01d2f3e6ff8523858f4e4d0d2f03e6f08ea0877bd19bc61e8eccdb,17954,,1,rq_acb_l_f_L2609F_1d_20260401_20260707_v1,passed,c5461f9dcf01d2f3e6ff8523858f4e4d0d2f03e6f08ea0877bd19bc61e8eccdb,2,33771|34132,rqdata_actual_contract_bars_l_f_L2609F_1d_20260401_20260707_v1|rq_acb_l_f_L2609F_1d_20260401_20260707_v1,35451|35831,passed|passed,1,
already_registered,pp_f,PP2609F,1d,2026,1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=pp_f/contract=PP2609F/PP2609F_1d_20260401_20260707.parquet,True,76,2026-04-01T15:00:00,2026-07-07T15:00:00,ee059bbb4162b428215b3298b727d8980bcb45fc0a5f2f32a46c1dccb9c6d2f3,18082,,1,rq_acb_pp_f_PP2609F_1d_20260401_20260707_v1,passed,ee059bbb4162b428215b3298b727d8980bcb45fc0a5f2f32a46c1dccb9c6d2f3,1,34265,rq_acb_pp_f_PP2609F_1d_20260401_20260707_v1,35963,passed,1,
