product,asset_scope,contract,period,gate_status,blocked_reasons,manifest_status,manifest_quality_status,manifest_data_role,manifest_row_count,db_market_data_file_id,db_quality_status,db_row_count,data_quality_report_status,duckdb_row_count,duckdb_min_datetime,duckdb_max_datetime,standard_path
ad,actual_contract,AD2609,1d,active_passed,,success,passed,primary,76,33880.0,passed,76.0,passed,76,2026-04-01T15:00:00,2026-07-07T15:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ad/contract=AD2609/AD2609_1d_20260401_20260707.parquet
ag,dominant_main,ag.MAIN,1d,active_passed,,success,passed,primary,851,55800.0,passed,851.0,passed,851,2023-01-03T00:00:00,2026-07-10T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_1d_20230103_20260711_v2.parquet
ag,actual_contract,AG2006,1d,active_passed,,success,passed,primary,82,66783.0,passed,82.0,passed,82,2020-01-02T00:00:00,2020-05-08T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ag/contract=AG2006/AG2006_1d_20200102_20200508.parquet
ag,actual_contract,AG2012,1d,active_passed,,success,passed,primary,135,66787.0,passed,135.0,passed,135,2020-05-11T00:00:00,2020-11-25T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ag/contract=AG2012/AG2012_1d_20200511_20201125.parquet
ag,actual_contract,AG2102,1d,active_passed,,success,passed,primary,28,66791.0,passed,28.0,passed,28,2020-11-26T00:00:00,2021-01-05T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ag/contract=AG2102/AG2102_1d_20201126_20210105.parquet
ag,actual_contract,AG2106,1d,active_passed,,success,passed,primary,87,66795.0,passed,87.0,passed,87,2021-01-06T00:00:00,2021-05-19T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ag/contract=AG2106/AG2106_1d_20210106_20210519.parquet
ag,actual_contract,AG2112,1d,active_passed,,success,passed,primary,127,66799.0,passed,127.0,passed,127,2021-05-20T00:00:00,2021-11-24T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ag/contract=AG2112/AG2112_1d_20210520_20211124.parquet
ag,actual_contract,AG2206,1d,active_passed,,success,passed,primary,116,66803.0,passed,116.0,passed,116,2021-11-25T00:00:00,2022-05-20T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ag/contract=AG2206/AG2206_1d_20211125_20220520.parquet
ag,actual_contract,AG2212,1d,active_passed,,success,passed,primary,128,66807.0,passed,128.0,passed,128,2022-05-23T00:00:00,2022-11-25T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ag/contract=AG2212/AG2212_1d_20220523_20221125.parquet
ag,actual_contract,AG2302,1d,active_passed,,success,passed,primary,20,66811.0,passed,20.0,passed,20,2022-11-28T00:00:00,2022-12-23T00:00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ag/contract=AG2302/AG2302_1d_20221128_20221223.parquet
