profile,product,contract,period,binding_status,final_classification,classification_source,binding_id,contract_role,data_version,market_data_file_id,quality_policy
intraday_research_v1,ap,ap.MAIN,15m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,291.0,dominant_main,rqdata_ap_standard_15m_20230103_20260711_v2,56091.0,passed_only
intraday_research_v1,ap,ap.MAIN,1d,active_valid,covered_passed,profile_binding:active_valid,292.0,dominant_main,rqdata_ap_standard_1d_20200102_20260711_v2,56432.0,passed_only
intraday_research_v1,ap,ap.MAIN,1m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,293.0,dominant_main,rqdata_ap_standard_1m_20230103_20260711_v2,55981.0,passed_only
intraday_research_v1,ap,ap.MAIN,30m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,294.0,dominant_main,rqdata_ap_standard_30m_20230103_20260711_v2,56092.0,passed_only
intraday_research_v1,ap,ap.MAIN,5m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,295.0,dominant_main,rqdata_ap_standard_5m_20230103_20260711_v2,56090.0,passed_only
intraday_research_v1,ap,ap.MAIN,60m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,296.0,dominant_main,rqdata_ap_standard_60m_20230103_20260711_v2,56093.0,passed_only
intraday_research_v1,au,au.MAIN,15m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,297.0,dominant_main,rqdata_au_standard_15m_20230103_20260711_v2,56095.0,passed_only
intraday_research_v1,au,au.MAIN,1d,active_valid,covered_passed,profile_binding:active_valid,298.0,dominant_main,rqdata_au_standard_1d_20200102_20260711_v2,56434.0,passed_only
intraday_research_v1,au,au.MAIN,1m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,299.0,dominant_main,rqdata_au_standard_1m_20230103_20260711_v2,55982.0,passed_only
intraday_research_v1,au,au.MAIN,30m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,300.0,dominant_main,rqdata_au_standard_30m_20230103_20260711_v2,56096.0,passed_only
intraday_research_v1,au,au.MAIN,5m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,301.0,dominant_main,rqdata_au_standard_5m_20230103_20260711_v2,56094.0,passed_only
intraday_research_v1,au,au.MAIN,60m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,302.0,dominant_main,rqdata_au_standard_60m_20230103_20260711_v2,56097.0,passed_only
intraday_research_v1,b,b.MAIN,15m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,303.0,dominant_main,rqdata_b_standard_15m_20230103_20260711_v2,56099.0,passed_only
intraday_research_v1,b,b.MAIN,1d,active_valid,covered_passed,profile_binding:active_valid,304.0,dominant_main,rqdata_b_standard_1d_20200102_20260711_v2,56436.0,passed_only
intraday_research_v1,b,b.MAIN,1m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,305.0,dominant_main,rqdata_b_standard_1m_20230103_20260711_v2,55983.0,passed_only
intraday_research_v1,b,b.MAIN,30m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,306.0,dominant_main,rqdata_b_standard_30m_20230103_20260711_v2,56100.0,passed_only
intraday_research_v1,b,b.MAIN,5m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,307.0,dominant_main,rqdata_b_standard_5m_20230103_20260711_v2,56098.0,passed_only
intraday_research_v1,b,b.MAIN,60m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,308.0,dominant_main,rqdata_b_standard_60m_20230103_20260711_v2,56101.0,passed_only
intraday_research_v1,bb,bb.MAIN,15m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,309.0,dominant_main,rqdata_bb_standard_15m_20230103_20260711_v2,56103.0,passed_only
intraday_research_v1,bb,bb.MAIN,1d,binding_missing,blocked_with_reason,profile_binding:binding_missing,,dominant_main,,,passed_only
intraday_research_v1,bb,bb.MAIN,1m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,310.0,dominant_main,rqdata_bb_standard_1m_20230103_20260711_v2,55984.0,passed_only
intraday_research_v1,bb,bb.MAIN,30m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,311.0,dominant_main,rqdata_bb_standard_30m_20230103_20260711_v2,56104.0,passed_only
intraday_research_v1,bb,bb.MAIN,5m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,312.0,dominant_main,rqdata_bb_standard_5m_20230103_20260711_v2,56102.0,passed_only
intraday_research_v1,bb,bb.MAIN,60m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,313.0,dominant_main,rqdata_bb_standard_60m_20230103_20260711_v2,56105.0,passed_only
intraday_research_v1,bc,bc.MAIN,15m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,314.0,dominant_main,rqdata_bc_standard_15m_20230103_20260711_v2,56107.0,passed_only
intraday_research_v1,bc,bc.MAIN,1d,active_valid,covered_passed,profile_binding:active_valid,315.0,dominant_main,rqdata_bc_standard_1d_20201119_20260711_v2,56440.0,passed_only
intraday_research_v1,bc,bc.MAIN,1m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,316.0,dominant_main,rqdata_bc_standard_1m_20230103_20260711_v2,55985.0,passed_only
intraday_research_v1,bc,bc.MAIN,30m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,317.0,dominant_main,rqdata_bc_standard_30m_20230103_20260711_v2,56108.0,passed_only
intraday_research_v1,bc,bc.MAIN,5m,market_data_file_ineligible,blocked_with_reason,profile_binding:market_data_file_ineligible,318.0,dominant_main,rqdata_bc_standard_5m_20230103_20260711_v2,56106.0,passed_only
