product,contract_role,contract,period,year/window,profile,physical_status,metadata_status,quality_status,binding_status,gap_candidate,final_classification,classification_source,actual_status,audit_end,data_role,data_version,db_market_data_file_id,duplicate_active_count,end_date,evidence_id,evidence_source,expected,expected_end,expected_start,issue_type,missing_count,na_reason,provider,recommended_next_task,row_count,standard_path,start_date,status,status_reason,symbol_or_contract,target_reason,year
a,dominant_main,a.MAIN,1d,2020,intraday_research_v1,schema_invalid,registered,passed,active_valid,duplicate_active,blocked_with_reason,duplicate_active,covered_passed,2026-07-10,primary,rqdata_a_standard_1d_20020315_20260711_v2,82673.0,2,2026-07-10,market_data_file:82673,db_market_data_file,True,2020-12-31,2020-01-02,,0,,rqdata,,5908,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1d_20020315_20260711_v2.parquet,2002-03-15,covered_passed,,a.MAIN,dominant_2020_plus,2020
a,dominant_main,a.MAIN,1d,2020,long_horizon_daily_v1,schema_invalid,registered,passed,active_valid,duplicate_active,blocked_with_reason,duplicate_active,covered_passed,2026-07-10,primary,rqdata_a_standard_1d_20020315_20260711_v2,82673.0,2,2026-07-10,market_data_file:82673,db_market_data_file,True,2020-12-31,2020-01-02,,0,,rqdata,,5908,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1d_20020315_20260711_v2.parquet,2002-03-15,covered_passed,,a.MAIN,dominant_2020_plus,2020
a,dominant_main,a.MAIN,1d,2021,intraday_research_v1,schema_invalid,registered,passed,active_valid,duplicate_active,blocked_with_reason,duplicate_active,covered_passed,2026-07-10,primary,rqdata_a_standard_1d_20020315_20260711_v2,82673.0,2,2026-07-10,market_data_file:82673,db_market_data_file,True,2021-12-31,2021-01-01,,0,,rqdata,,5908,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1d_20020315_20260711_v2.parquet,2002-03-15,covered_passed,,a.MAIN,dominant_2020_plus,2021
a,dominant_main,a.MAIN,1d,2021,long_horizon_daily_v1,schema_invalid,registered,passed,active_valid,duplicate_active,blocked_with_reason,duplicate_active,covered_passed,2026-07-10,primary,rqdata_a_standard_1d_20020315_20260711_v2,82673.0,2,2026-07-10,market_data_file:82673,db_market_data_file,True,2021-12-31,2021-01-01,,0,,rqdata,,5908,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1d_20020315_20260711_v2.parquet,2002-03-15,covered_passed,,a.MAIN,dominant_2020_plus,2021
a,dominant_main,a.MAIN,1d,2022,intraday_research_v1,schema_invalid,registered,passed,active_valid,duplicate_active,blocked_with_reason,duplicate_active,covered_passed,2026-07-10,primary,rqdata_a_standard_1d_20020315_20260711_v2,82673.0,2,2026-07-10,market_data_file:82673,db_market_data_file,True,2022-12-31,2022-01-01,,0,,rqdata,,5908,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1d_20020315_20260711_v2.parquet,2002-03-15,covered_passed,,a.MAIN,dominant_2020_plus,2022
a,dominant_main,a.MAIN,1d,2022,long_horizon_daily_v1,schema_invalid,registered,passed,active_valid,duplicate_active,blocked_with_reason,duplicate_active,covered_passed,2026-07-10,primary,rqdata_a_standard_1d_20020315_20260711_v2,82673.0,2,2026-07-10,market_data_file:82673,db_market_data_file,True,2022-12-31,2022-01-01,,0,,rqdata,,5908,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1d_20020315_20260711_v2.parquet,2002-03-15,covered_passed,,a.MAIN,dominant_2020_plus,2022
a,dominant_main,a.MAIN,1d,2023,intraday_research_v1,schema_invalid,registered,passed,active_valid,duplicate_active,blocked_with_reason,duplicate_active,covered_passed,2026-07-10,primary,rqdata_a_standard_1d_20020315_20260711_v2,82673.0,2,2026-07-10,market_data_file:82673,db_market_data_file,True,2023-12-31,2023-01-01,,0,,rqdata,,5908,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1d_20020315_20260711_v2.parquet,2002-03-15,covered_passed,,a.MAIN,dominant_2020_plus,2023
a,dominant_main,a.MAIN,1d,2023,long_horizon_daily_v1,schema_invalid,registered,passed,active_valid,duplicate_active,blocked_with_reason,duplicate_active,covered_passed,2026-07-10,primary,rqdata_a_standard_1d_20020315_20260711_v2,82673.0,2,2026-07-10,market_data_file:82673,db_market_data_file,True,2023-12-31,2023-01-01,,0,,rqdata,,5908,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1d_20020315_20260711_v2.parquet,2002-03-15,covered_passed,,a.MAIN,dominant_2020_plus,2023
a,dominant_main,a.MAIN,1d,2024,intraday_research_v1,schema_invalid,registered,passed,active_valid,duplicate_active,blocked_with_reason,duplicate_active,covered_passed,2026-07-10,primary,rqdata_a_standard_1d_20020315_20260711_v2,82673.0,2,2026-07-10,market_data_file:82673,db_market_data_file,True,2024-12-31,2024-01-01,,0,,rqdata,,5908,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1d_20020315_20260711_v2.parquet,2002-03-15,covered_passed,,a.MAIN,dominant_2020_plus,2024
a,dominant_main,a.MAIN,1d,2024,long_horizon_daily_v1,schema_invalid,registered,passed,active_valid,duplicate_active,blocked_with_reason,duplicate_active,covered_passed,2026-07-10,primary,rqdata_a_standard_1d_20020315_20260711_v2,82673.0,2,2026-07-10,market_data_file:82673,db_market_data_file,True,2024-12-31,2024-01-01,,0,,rqdata,,5908,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1d_20020315_20260711_v2.parquet,2002-03-15,covered_passed,,a.MAIN,dominant_2020_plus,2024
