product,contract,period,dedupe_key,final_classification,classification_source,conflicting_fields,contract_role,file_count,occurrence_count,value_ranges
bu,BU2609,1d,2026-06-29,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [3720.0, 3761.0], 'close': None, 'volume': [371123.0, 552041.0]}"
bu,BU2609,1d,2026-07-06,covered_warning,cross_file_conflict,"['open', 'high', 'low', 'volume']",actual_contract,2,2,"{'open': [3838.0, 3926.0], 'close': None, 'volume': [427955.0, 727484.0]}"
c,C2609,1d,2026-06-29,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [2326.0, 2330.0], 'close': None, 'volume': [409199.0, 710834.0]}"
c,C2609,1d,2026-07-06,covered_warning,cross_file_conflict,"['open', 'volume']",actual_contract,2,2,"{'open': [2301.0, 2305.0], 'close': None, 'volume': [561116.0, 812990.0]}"
cf,CF2609,1d,2026-04-13,covered_warning,cross_file_conflict,"['open', 'volume']",actual_contract,2,2,"{'open': [15705.0, 15725.0], 'close': None, 'volume': [549042.0, 751983.0]}"
cf,CF2609,1d,2026-04-20,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [15950.0, 15980.0], 'close': None, 'volume': [361680.0, 618261.0]}"
cf,CF2609,1d,2026-04-27,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [16180.0, 16330.0], 'close': None, 'volume': [369518.0, 644289.0]}"
cf,CF2609,1d,2026-05-11,covered_warning,cross_file_conflict,"['open', 'high', 'volume']",actual_contract,2,2,"{'open': [16340.0, 16470.0], 'close': None, 'volume': [345138.0, 650686.0]}"
cf,CF2609,1d,2026-05-18,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [16055.0, 16075.0], 'close': None, 'volume': [236132.0, 459571.0]}"
cf,CF2609,1d,2026-05-25,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [15880.0, 15890.0], 'close': None, 'volume': [220394.0, 358590.0]}"
cf,CF2609,1d,2026-06-01,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [16070.0, 16085.0], 'close': None, 'volume': [437451.0, 554376.0]}"
