product,contract_role,contract_code,period,duplicate_group_size,data_version,disposition,end_time,file_path,issue_class,market_data_file_id,quality_status,start_time
a,dominant_main,a.MAIN,1m,2,rqdata_a_standard_1m_20200102_20260711_v2,requires_supersede_decision,2026-07-10T15:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1m_20200102_20260711_v2.parquet,duplicate_active,71301,passed,2020-01-02T09:01:00+00:00
a,dominant_main,a.MAIN,1m,2,rqdata_a_standard_1m_20020315_20260711_v2,requires_supersede_decision,2026-07-10T15:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1m_20020315_20260711_v2.parquet,duplicate_active,82765,passed,2010-01-04T09:01:00+00:00
ad,actual_contract,AD2609,1d,2,rq_acb_ad_AD2609_1d_20260401_20260707_v1,requires_supersede_decision,2026-07-07T15:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ad/contract=AD2609/AD2609_1d_20260401_20260707.parquet,duplicate_active,33880,passed,2026-04-01T15:00:00+00:00
ad,actual_contract,AD2609,1d,2,rq_acb_ad_AD2609_1d_20260707_20260707_v1,requires_supersede_decision,2026-07-07T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ad/contract=AD2609/AD2609_1d_20260707_20260707.parquet,duplicate_active,41320,passed,2026-07-07T00:00:00+00:00
ag,actual_contract,AG2006,1d,2,rq_acb_ag_AG2006_1d_20200102_20200508_v1,requires_supersede_decision,2020-05-08T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ag/contract=AG2006/AG2006_1d_20200102_20200508.parquet,duplicate_active,66783,passed,2020-01-02T00:00:00+00:00
ag,actual_contract,AG2006,1d,2,rq_acb_ag_AG2006_1d_20191226_20200508_v1,requires_supersede_decision,2020-05-08T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ag/contract=AG2006/AG2006_1d_20191226_20200508.parquet,duplicate_active,83366,passed,2019-12-26T00:00:00+00:00
ag,actual_contract,AG2006,1w,2,rq_acb_ag_AG2006_1w_20200102_20200508_v1,requires_supersede_decision,2020-05-08T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=ag/contract=AG2006/AG2006_1w_20200102_20200508.parquet,duplicate_active,66785,passed,2020-01-10T00:00:00+00:00
ag,actual_contract,AG2006,1w,2,rq_acb_ag_AG2006_1w_20191226_20200508_v1,requires_supersede_decision,2020-05-08T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=ag/contract=AG2006/AG2006_1w_20191226_20200508.parquet,duplicate_active,83368,passed,2020-01-03T00:00:00+00:00
ag,actual_contract,AG2306,1d,2,rq_acb_ag_AG2306_1d_20221226_20221230_v1,requires_supersede_decision,2022-12-30T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ag/contract=AG2306/AG2306_1d_20221226_20221230.parquet,duplicate_active,66815,passed,2022-12-26T00:00:00+00:00
ag,actual_contract,AG2306,1d,2,rq_acb_ag_AG2306_1d_20221226_20230515_v1,requires_supersede_decision,2023-05-15T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ag/contract=AG2306/AG2306_1d_20221226_20230515.parquet,duplicate_active,83370,passed,2022-12-26T00:00:00+00:00
ag,actual_contract,AG2306,1m,2,rq_acb_ag_AG2306_1m_20230103_20230515_v1,requires_supersede_decision,2023-05-15T15:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ag/contract=AG2306/AG2306_1m_20230103_20230515.parquet,duplicate_active,52394,passed,2023-01-03T09:01:00+00:00
ag,actual_contract,AG2306,1m,2,rq_acb_ag_AG2306_1m_20221226_20230515_v1,requires_supersede_decision,2023-05-15T15:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ag/contract=AG2306/AG2306_1m_20221226_20230515.parquet,duplicate_active,96993,passed,2022-12-23T21:01:00+00:00
ag,actual_contract,AG2306,1w,2,rq_acb_ag_AG2306_1w_20221226_20221230_v1,requires_supersede_decision,2022-12-30T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=ag/contract=AG2306/AG2306_1w_20221226_20221230.parquet,duplicate_active,66817,passed,2022-12-30T00:00:00+00:00
ag,actual_contract,AG2306,1w,2,rq_acb_ag_AG2306_1w_20221226_20230515_v1,requires_supersede_decision,2023-05-12T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=ag/contract=AG2306/AG2306_1w_20221226_20230515.parquet,duplicate_active,83372,passed,2022-12-30T00:00:00+00:00
ag,actual_contract,AG2608,1d,2,rq_acb_ag_AG2608_1d_20260401_20260707_v1,requires_supersede_decision,2026-07-07T15:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ag/contract=AG2608/AG2608_1d_20260401_20260707.parquet,duplicate_active,33887,passed,2026-04-01T15:00:00+00:00
ag,actual_contract,AG2608,1d,2,rq_acb_ag_AG2608_1d_20260514_20260707_v1,requires_supersede_decision,2026-07-07T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ag/contract=AG2608/AG2608_1d_20260514_20260707.parquet,duplicate_active,41322,passed,2026-05-14T00:00:00+00:00
ag,dominant_main,ag.MAIN,1d,2,rqdata_ag_standard_1d_20200102_20260711_v2,requires_supersede_decision,2026-07-10T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_1d_20200102_20260711_v2.parquet,duplicate_active,56428,passed,2020-01-02T00:00:00+00:00
ag,dominant_main,ag.MAIN,1d,2,rqdata_ag_standard_1d_20120510_20260711_v2,requires_supersede_decision,2026-07-10T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_1d_20120510_20260711_v2.parquet,duplicate_active,82692,passed,2012-05-10T00:00:00+00:00
ag,dominant_main,ag.MAIN,1m,2,rqdata_ag_standard_1m_20200102_20260711_v2,requires_supersede_decision,2026-07-10T15:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_1m_20200102_20260711_v2.parquet,duplicate_active,71291,passed,2020-01-02T09:01:00+00:00
ag,dominant_main,ag.MAIN,1m,2,rqdata_ag_standard_1m_20120510_20260711_v2,requires_supersede_decision,2026-07-10T15:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_1m_20120510_20260711_v2.parquet,duplicate_active,82784,passed,2012-05-10T09:01:00+00:00
al,actual_contract,AL2002,1d,2,rq_acb_al_AL2002_1d_20200102_20200110_v1,requires_supersede_decision,2020-01-10T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2002/AL2002_1d_20200102_20200110.parquet,duplicate_active,66819,passed,2020-01-02T00:00:00+00:00
al,actual_contract,AL2002,1d,2,rq_acb_al_AL2002_1d_20191212_20200110_v1,requires_supersede_decision,2020-01-10T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2002/AL2002_1d_20191212_20200110.parquet,duplicate_active,83582,passed,2019-12-12T00:00:00+00:00
al,actual_contract,AL2002,1w,2,rq_acb_al_AL2002_1w_20200102_20200110_v1,requires_supersede_decision,2020-01-10T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=AL2002/AL2002_1w_20200102_20200110.parquet,duplicate_active,66821,passed,2020-01-10T00:00:00+00:00
al,actual_contract,AL2002,1w,2,rq_acb_al_AL2002_1w_20191212_20200110_v1,requires_supersede_decision,2020-01-10T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=AL2002/AL2002_1w_20191212_20200110.parquet,duplicate_active,83584,passed,2019-12-20T00:00:00+00:00
al,actual_contract,AL2302,1d,2,rq_acb_al_AL2302_1d_20221223_20221230_v1,requires_supersede_decision,2022-12-30T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2302/AL2302_1d_20221223_20221230.parquet,duplicate_active,66963,passed,2022-12-23T00:00:00+00:00
al,actual_contract,AL2302,1d,2,rq_acb_al_AL2302_1d_20221223_20230111_v1,requires_supersede_decision,2023-01-11T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2302/AL2302_1d_20221223_20230111.parquet,duplicate_active,83586,passed,2022-12-23T00:00:00+00:00
al,actual_contract,AL2302,1m,2,rq_acb_al_AL2302_1m_20230103_20230111_v1,requires_supersede_decision,2023-01-11T15:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=al/contract=AL2302/AL2302_1m_20230103_20230111.parquet,duplicate_active,52496,passed,2023-01-03T09:01:00+00:00
al,actual_contract,AL2302,1m,2,rq_acb_al_AL2302_1m_20221223_20230111_v1,requires_supersede_decision,2023-01-11T15:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=al/contract=AL2302/AL2302_1m_20221223_20230111.parquet,duplicate_active,97295,passed,2022-12-22T21:01:00+00:00
al,actual_contract,AL2302,1w,2,rq_acb_al_AL2302_1w_20221223_20221230_v1,requires_supersede_decision,2022-12-30T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=AL2302/AL2302_1w_20221223_20221230.parquet,duplicate_active,66965,passed,2022-12-30T00:00:00+00:00
al,actual_contract,AL2302,1w,2,rq_acb_al_AL2302_1w_20221223_20230111_v1,requires_supersede_decision,2023-01-06T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=AL2302/AL2302_1w_20221223_20230111.parquet,duplicate_active,83588,passed,2022-12-30T00:00:00+00:00
al,actual_contract,AL2608,1d,2,rq_acb_al_AL2608_1d_20260401_20260707_v1,requires_supersede_decision,2026-07-07T15:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2608/AL2608_1d_20260401_20260707.parquet,duplicate_active,33894,passed,2026-04-01T15:00:00+00:00
al,actual_contract,AL2608,1d,2,rq_acb_al_AL2608_1d_20260623_20260707_v1,requires_supersede_decision,2026-07-07T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=AL2608/AL2608_1d_20260623_20260707.parquet,duplicate_active,41326,passed,2026-06-23T00:00:00+00:00
al,dominant_main,al.MAIN,1d,2,rqdata_al_standard_1d_20200102_20260711_v2,requires_supersede_decision,2026-07-10T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_1d_20200102_20260711_v2.parquet,duplicate_active,56430,passed,2020-01-02T00:00:00+00:00
al,dominant_main,al.MAIN,1d,2,rqdata_al_standard_1d_20000104_20260711_v2,requires_supersede_decision,2026-07-10T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_1d_20000104_20260711_v2.parquet,duplicate_active,82669,passed,2000-01-05T00:00:00+00:00
al,dominant_main,al.MAIN,1m,2,rqdata_al_standard_1m_20200102_20260711_v2,requires_supersede_decision,2026-07-10T15:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_1m_20200102_20260711_v2.parquet,duplicate_active,71294,passed,2020-01-02T09:01:00+00:00
al,dominant_main,al.MAIN,1m,2,rqdata_al_standard_1m_20000104_20260711_v2,requires_supersede_decision,2026-07-10T15:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_1m_20000104_20260711_v2.parquet,duplicate_active,82761,passed,2010-01-04T09:01:00+00:00
ap,actual_contract,AP2005,1d,2,rq_acb_ap_AP2005_1d_20200102_20200420_v1,requires_supersede_decision,2020-04-20T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=ap/contract=AP2005/AP2005_1d_20200102_20200420.parquet,duplicate_active,66967,passed,2020-01-02T00:00:00+00:00
ap,actual_contract,AP2005,1d,2,rq_acb_ap_AP2005_1d_20191218_20200420_v1,requires_supersede_decision,2020-04-20T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=ap/contract=AP2005/AP2005_1d_20191218_20200420.parquet,duplicate_active,83768,passed,2019-12-18T00:00:00+00:00
ap,actual_contract,AP2005,1w,2,rq_acb_ap_AP2005_1w_20200102_20200420_v1,requires_supersede_decision,2020-04-17T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=ap/contract=AP2005/AP2005_1w_20200102_20200420.parquet,duplicate_active,66969,passed,2020-01-10T00:00:00+00:00
ap,actual_contract,AP2005,1w,2,rq_acb_ap_AP2005_1w_20191218_20200420_v1,requires_supersede_decision,2020-04-17T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=ap/contract=AP2005/AP2005_1w_20191218_20200420.parquet,duplicate_active,83770,passed,2019-12-27T00:00:00+00:00
ap,actual_contract,AP2305,1d,2,rq_acb_ap_AP2305_1d_20230103_20230413_v1,requires_supersede_decision,2023-04-13T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=ap/contract=AP2305/AP2305_1d_20230103_20230413.parquet,duplicate_active,41374,passed,2023-01-03T00:00:00+00:00
ap,actual_contract,AP2305,1d,2,rq_acb_ap_AP2305_1d_20221214_20230413_v1,requires_supersede_decision,2023-04-13T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=ap/contract=AP2305/AP2305_1d_20221214_20230413.parquet,duplicate_active,83772,passed,2022-12-14T00:00:00+00:00
ap,actual_contract,AP2305,1m,2,rq_acb_ap_AP2305_1m_20230103_20230413_v1,requires_supersede_decision,2023-04-13T15:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=ap/contract=AP2305/AP2305_1m_20230103_20230413.parquet,duplicate_active,47808,passed,2023-01-03T09:01:00+00:00
ap,actual_contract,AP2305,1m,2,rq_acb_ap_AP2305_1m_20221214_20230413_v1,requires_supersede_decision,2023-04-13T15:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=ap/contract=AP2305/AP2305_1m_20221214_20230413.parquet,duplicate_active,97327,passed,2022-12-14T09:01:00+00:00
ap,actual_contract,AP2305,1w,2,rq_acb_ap_AP2305_1w_20221214_20221230_v1,requires_supersede_decision,2022-12-30T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=ap/contract=AP2305/AP2305_1w_20221214_20221230.parquet,duplicate_active,67005,passed,2022-12-23T00:00:00+00:00
ap,actual_contract,AP2305,1w,2,rq_acb_ap_AP2305_1w_20221214_20230413_v1,requires_supersede_decision,2023-04-07T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=ap/contract=AP2305/AP2305_1w_20221214_20230413.parquet,duplicate_active,83774,passed,2022-12-23T00:00:00+00:00
ap,actual_contract,AP2610,1d,2,rq_acb_ap_AP2610_1d_20260401_20260707_v1,requires_supersede_decision,2026-07-07T15:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=ap/contract=AP2610/AP2610_1d_20260401_20260707.parquet,duplicate_active,33908,passed,2026-04-01T15:00:00+00:00
ap,actual_contract,AP2610,1d,2,rq_acb_ap_AP2610_1d_20260409_20260707_v1,requires_supersede_decision,2026-07-07T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=ap/contract=AP2610/AP2610_1d_20260409_20260707.parquet,duplicate_active,41395,passed,2026-04-09T00:00:00+00:00
ap,dominant_main,ap.MAIN,1d,2,rqdata_ap_standard_1d_20200102_20260711_v2,requires_supersede_decision,2026-07-10T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=ap/contract=ap.MAIN/ap_MAIN_1d_20200102_20260711_v2.parquet,duplicate_active,56432,passed,2020-01-02T00:00:00+00:00
ap,dominant_main,ap.MAIN,1d,2,rqdata_ap_standard_1d_20171222_20260711_v2,requires_supersede_decision,2026-07-10T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=ap/contract=ap.MAIN/ap_MAIN_1d_20171222_20260711_v2.parquet,duplicate_active,82720,passed,2017-12-22T00:00:00+00:00
ap,dominant_main,ap.MAIN,1m,2,rqdata_ap_standard_1m_20200102_20260711_v2,requires_supersede_decision,2026-07-10T15:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=ap/contract=ap.MAIN/ap_MAIN_1m_20200102_20260711_v2.parquet,duplicate_active,71335,passed,2020-01-02T09:01:00+00:00
ap,dominant_main,ap.MAIN,1m,2,rqdata_ap_standard_1m_20171222_20260711_v2,requires_supersede_decision,2026-07-10T15:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=ap/contract=ap.MAIN/ap_MAIN_1m_20171222_20260711_v2.parquet,duplicate_active,82743,passed,2017-12-22T09:01:00+00:00
au,actual_contract,AU2006,1d,2,rq_acb_au_AU2006_1d_20200102_20200507_v1,requires_supersede_decision,2020-05-07T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=au/contract=AU2006/AU2006_1d_20200102_20200507.parquet,duplicate_active,67007,passed,2020-01-02T00:00:00+00:00
au,actual_contract,AU2006,1d,2,rq_acb_au_AU2006_1d_20191114_20200507_v1,requires_supersede_decision,2020-05-07T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=au/contract=AU2006/AU2006_1d_20191114_20200507.parquet,duplicate_active,83822,passed,2019-11-14T00:00:00+00:00
