product,period,layer,mode,status,detail,gap_start,gap_end
lg,1d,layer1,skip,skipped,already backfilled through 2026-07-10,,
lg,1w,layer1,skip,skipped,weekly gap shorter than one bar,,
lh,1d,layer1,prepend,success,prepend historical prefix before existing asset,2021-01-08,2023-01-02
lh,1w,layer1,prepend,success,prepend historical prefix before existing asset,2021-01-08,2023-01-05
lu,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-06-22,2023-01-02
lu,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-06-22,2023-01-05
m,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
m,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
ma,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
ma,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
ni,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
ni,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
nr,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
nr,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
oi,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
oi,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
op,1d,layer1,skip,skipped,already backfilled through 2026-07-10,,
op,1w,layer1,skip,skipped,weekly gap shorter than one bar,,
p,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
p,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
pb,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-02
pb,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-01-02,2023-01-05
pd,1d,layer1,skip,skipped,already backfilled through 2026-07-10,,
pd,1w,layer1,skip,skipped,weekly gap shorter than one bar,,
pf,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-10-12,2023-01-02
pf,1w,layer1,prepend,success,prepend historical prefix before existing asset,2020-10-12,2023-01-05
pg,1d,layer1,prepend,success,prepend historical prefix before existing asset,2020-03-30,2023-01-02
