product,interface_name,dataset_name,start_date,end_date,expected_end,raw_files_count,raw_rows,indexed_files,indexed_rows,db_rows,status
ma,get_dominant_rank2,main_contract_map,2014-07-16,2026-06-24,2026-06-24,0,0,0,0,5802,ok
ma,get_ex_factor,futures_ex_factors,2014-06-17,2026-04-14,2026-06-24,0,0,0,0,45,ok
ma,get_warehouse_stocks,futures_warehouse_stocks,2012-01-09,2026-06-24,2026-06-24,0,0,0,0,3509,ok
ma,get_contracts,contract_universe,2024-01-02,2026-07-07,2026-06-24,270,485329,4,8616,7272,ok
ma,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
ma,get_dominant_price_1d,dominant_daily_baseline,2014-06-17,2026-07-07,2026-06-24,96,228151,2,5853,,ok
ma,get_dominant_price_samples,market_sample,2014-06-17,2026-07-07,2026-06-24,0,0,14,3003573,,ok
eg,get_dominant_rank1,main_contract_map,2018-12-10,2026-07-07,2026-06-24,0,0,0,0,1827,ok
eg,get_dominant_rank2,main_contract_map,2018-12-10,2026-06-24,2026-06-24,0,0,0,0,1826,ok
eg,get_ex_factor,futures_ex_factors,2018-12-10,2026-04-17,2026-06-24,0,0,0,0,23,ok
eg,get_warehouse_stocks,futures_warehouse_stocks,2018-12-10,2026-06-24,2026-06-24,0,0,0,0,1826,ok
eg,get_contracts,contract_universe,2024-01-02,2026-07-07,2026-06-24,270,485329,4,8616,7272,ok
eg,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
eg,get_dominant_price_1d,dominant_daily_baseline,2018-12-10,2026-07-07,2026-06-24,96,228151,2,3661,,ok
eg,get_dominant_price_samples,market_sample,2018-12-10,2026-07-07,2026-06-24,0,0,9,1000473,,ok
l,get_dominant_rank1,main_contract_map,2007-07-31,2026-07-07,2026-06-24,0,0,0,0,4593,ok
l,get_dominant_rank2,main_contract_map,2007-07-31,2026-06-24,2026-06-24,0,0,0,0,4592,ok
l,get_ex_factor,futures_ex_factors,2007-07-31,2026-04-14,2026-06-24,0,0,0,0,63,ok
l,get_warehouse_stocks,futures_warehouse_stocks,2007-09-28,2026-06-24,2026-06-24,0,0,0,0,4256,ok
l,get_contracts,contract_universe,2024-01-02,2026-07-07,2026-06-24,270,485329,4,8616,7272,ok
l,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
l,get_dominant_price_1d,dominant_daily_baseline,2010-01-04,2026-06-24,2026-06-24,96,228151,1,3998,,ok
l,get_dominant_price_samples,market_sample,2010-01-04,2026-06-24,2026-06-24,0,0,5,1450998,,ok
pp,get_dominant_rank1,main_contract_map,2014-02-28,2026-07-07,2026-06-24,0,0,0,0,2996,ok
pp,get_dominant_rank2,main_contract_map,2014-02-28,2026-06-24,2026-06-24,0,0,0,0,2995,ok
pp,get_ex_factor,futures_ex_factors,2014-02-28,2026-04-10,2026-06-24,0,0,0,0,38,ok
pp,get_warehouse_stocks,futures_warehouse_stocks,2014-02-28,2026-06-24,2026-06-24,0,0,0,0,2995,ok
pp,get_contracts,contract_universe,2024-01-02,2026-07-07,2026-06-24,270,485329,4,8616,7272,ok
pp,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
pp,get_dominant_price_1d,dominant_daily_baseline,2014-02-28,2026-06-24,2026-06-24,96,228151,1,2995,,ok
pp,get_dominant_price_samples,market_sample,2014-02-28,2026-06-24,2026-06-24,0,0,5,1152104,,ok
v,get_dominant_rank1,main_contract_map,2009-05-25,2026-07-07,2026-06-24,0,0,0,0,4150,ok
v,get_dominant_rank2,main_contract_map,2009-05-25,2026-06-24,2026-06-24,0,0,0,0,4149,ok
v,get_ex_factor,futures_ex_factors,2009-05-25,2026-04-14,2026-06-24,0,0,0,0,54,ok
v,get_warehouse_stocks,futures_warehouse_stocks,2009-05-25,2026-06-24,2026-06-24,0,0,0,0,4149,ok
v,get_contracts,contract_universe,2024-01-02,2026-07-07,2026-06-24,270,485329,4,8616,7272,ok
v,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
v,get_dominant_price_1d,dominant_daily_baseline,2010-01-04,2026-06-24,2026-06-24,96,228151,1,3998,,ok
v,get_dominant_price_samples,market_sample,2010-01-04,2026-06-24,2026-06-24,0,0,5,1450998,,ok
sa,get_dominant_rank1,main_contract_map,2019-12-06,2026-07-07,2026-06-24,0,0,0,0,3171,ok
sa,get_dominant_rank2,main_contract_map,2019-12-06,2026-06-24,2026-06-24,0,0,0,0,3170,ok
sa,get_ex_factor,futures_ex_factors,2019-12-06,2026-04-14,2026-06-24,0,0,0,0,30,ok
sa,get_warehouse_stocks,futures_warehouse_stocks,2020-04-02,2026-06-24,2026-06-24,0,0,0,0,1508,ok
sa,get_contracts,contract_universe,2024-01-02,2026-07-07,2026-06-24,270,485329,4,8616,7272,ok
sa,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
sa,get_dominant_price_1d,dominant_daily_baseline,2019-12-06,2026-07-07,2026-06-24,96,228151,2,3179,,ok
sa,get_dominant_price_samples,market_sample,2019-12-06,2026-07-07,2026-06-24,0,0,14,1585200,,ok
fg,get_dominant_rank1,main_contract_map,2012-12-03,2026-07-07,2026-06-24,0,0,0,0,6581,ok
fg,get_dominant_rank2,main_contract_map,2012-12-03,2026-06-24,2026-06-24,0,0,0,0,6580,ok
fg,get_ex_factor,futures_ex_factors,2012-12-03,2026-04-16,2026-06-24,0,0,0,0,52,ok
fg,get_warehouse_stocks,futures_warehouse_stocks,2013-02-08,2026-06-24,2026-06-24,0,0,0,0,3244,ok
fg,get_contracts,contract_universe,2024-01-02,2026-07-07,2026-06-24,270,485329,4,8616,7272,ok
fg,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
