action,reason,profile_id,instrument_symbol,contract_code,contract_role,period,binding_id,current_file_id,target_file_id,target_data_version
replace,data_role=superseded,intraday_research_v1,br,br.MAIN,dominant_main,1d,321,55816,71652,rqdata_br_standard_1d_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,br,br.MAIN,dominant_main,30m,323,56112,71712,rqdata_br_standard_30m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,br,br.MAIN,dominant_main,5m,324,56110,71710,rqdata_br_standard_5m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,br,br.MAIN,dominant_main,60m,325,56113,71713,rqdata_br_standard_60m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,bu,bu.MAIN,dominant_main,15m,326,56115,71390,rqdata_bu_standard_15m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,bu,bu.MAIN,dominant_main,30m,329,56116,71391,rqdata_bu_standard_30m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,bu,bu.MAIN,dominant_main,5m,330,56114,71389,rqdata_bu_standard_5m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,bu,bu.MAIN,dominant_main,60m,331,56117,71392,rqdata_bu_standard_60m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,bz,bz.MAIN,dominant_main,15m,332,56119,71715,rqdata_bz_standard_15m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,bz,bz.MAIN,dominant_main,1d,333,55820,71655,rqdata_bz_standard_1d_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,bz,bz.MAIN,dominant_main,30m,335,56120,71716,rqdata_bz_standard_30m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,bz,bz.MAIN,dominant_main,5m,336,56118,71714,rqdata_bz_standard_5m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,bz,bz.MAIN,dominant_main,60m,337,56121,71717,rqdata_bz_standard_60m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,c,c.MAIN,dominant_main,15m,338,56123,71394,rqdata_c_standard_15m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,c,c.MAIN,dominant_main,30m,341,56124,71395,rqdata_c_standard_30m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,c,c.MAIN,dominant_main,5m,342,56122,71393,rqdata_c_standard_5m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,c,c.MAIN,dominant_main,60m,343,56125,71396,rqdata_c_standard_60m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,cf,cf.MAIN,dominant_main,15m,344,56127,71398,rqdata_cf_standard_15m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,cf,cf.MAIN,dominant_main,30m,347,56128,71399,rqdata_cf_standard_30m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,cf,cf.MAIN,dominant_main,5m,348,56126,71397,rqdata_cf_standard_5m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,cf,cf.MAIN,dominant_main,60m,349,56129,71400,rqdata_cf_standard_60m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,cj,cj.MAIN,dominant_main,15m,350,56131,71586,rqdata_cj_standard_15m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,cj,cj.MAIN,dominant_main,30m,353,56132,71587,rqdata_cj_standard_30m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,cj,cj.MAIN,dominant_main,5m,354,56130,71585,rqdata_cj_standard_5m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,cj,cj.MAIN,dominant_main,60m,355,56133,71588,rqdata_cj_standard_60m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,cs,cs.MAIN,dominant_main,15m,356,56135,71402,rqdata_cs_standard_15m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,cs,cs.MAIN,dominant_main,30m,359,56136,71403,rqdata_cs_standard_30m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,cs,cs.MAIN,dominant_main,5m,360,56134,71401,rqdata_cs_standard_5m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,cs,cs.MAIN,dominant_main,60m,361,56137,71404,rqdata_cs_standard_60m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,cu,cu.MAIN,dominant_main,15m,362,56139,71358,rqdata_cu_standard_15m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,cu,cu.MAIN,dominant_main,30m,365,56140,71359,rqdata_cu_standard_30m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,cu,cu.MAIN,dominant_main,5m,366,56138,71357,rqdata_cu_standard_5m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,cu,cu.MAIN,dominant_main,60m,367,56141,71360,rqdata_cu_standard_60m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,cy,cy.MAIN,dominant_main,15m,368,56143,71406,rqdata_cy_standard_15m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,cy,cy.MAIN,dominant_main,30m,371,56144,71407,rqdata_cy_standard_30m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,cy,cy.MAIN,dominant_main,5m,372,56142,71405,rqdata_cy_standard_5m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,cy,cy.MAIN,dominant_main,60m,373,56145,71408,rqdata_cy_standard_60m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,eb,eb.MAIN,dominant_main,15m,374,56147,71410,rqdata_eb_standard_15m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,eb,eb.MAIN,dominant_main,30m,377,56148,71411,rqdata_eb_standard_30m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,eb,eb.MAIN,dominant_main,5m,378,56146,71409,rqdata_eb_standard_5m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,eb,eb.MAIN,dominant_main,60m,379,56149,71412,rqdata_eb_standard_60m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,ec,ec.MAIN,dominant_main,15m,380,56151,71719,rqdata_ec_standard_15m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,ec,ec.MAIN,dominant_main,1d,381,55836,71658,rqdata_ec_standard_1d_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,ec,ec.MAIN,dominant_main,30m,383,56152,71720,rqdata_ec_standard_30m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,ec,ec.MAIN,dominant_main,5m,384,56150,71718,rqdata_ec_standard_5m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,ec,ec.MAIN,dominant_main,60m,385,56153,71721,rqdata_ec_standard_60m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,eg,eg.MAIN,dominant_main,15m,386,56155,71414,rqdata_eg_standard_15m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,eg,eg.MAIN,dominant_main,30m,389,56156,71415,rqdata_eg_standard_30m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,eg,eg.MAIN,dominant_main,5m,390,56154,71413,rqdata_eg_standard_5m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,eg,eg.MAIN,dominant_main,60m,391,56157,71416,rqdata_eg_standard_60m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,fb,fb.MAIN,dominant_main,15m,392,56159,71590,rqdata_fb_standard_15m_20200102_20260711_v2
deactivate,data_role=superseded,intraday_research_v1,fb,fb.MAIN,dominant_main,1d,393,55840,,
replace,data_role=superseded,intraday_research_v1,fb,fb.MAIN,dominant_main,30m,395,56160,71591,rqdata_fb_standard_30m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,fb,fb.MAIN,dominant_main,5m,396,56158,71589,rqdata_fb_standard_5m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,fb,fb.MAIN,dominant_main,60m,397,56161,71592,rqdata_fb_standard_60m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,fg,fg.MAIN,dominant_main,15m,398,56163,71418,rqdata_fg_standard_15m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,fg,fg.MAIN,dominant_main,30m,401,56164,71419,rqdata_fg_standard_30m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,fg,fg.MAIN,dominant_main,5m,402,56162,71417,rqdata_fg_standard_5m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,fg,fg.MAIN,dominant_main,60m,403,56165,71420,rqdata_fg_standard_60m_20200102_20260711_v2
