profile_id,instrument_symbol,contract_code,period,group_key,block_reason,market_data_file_id,evidence_source
intraday_research_v1,bb,bb.MAIN,1d,bb|bb.MAIN|1d,quality_policy_violation,56438,rulebook
intraday_research_v1,bb,bb.MAIN,1m,bb|bb.MAIN|1m,frozen_baseline_reference,44395,rulebook
intraday_research_v1,bb,bb.MAIN,30m,bb|bb.MAIN|30m,frozen_baseline_reference,44398,rulebook
intraday_research_v1,bb,bb.MAIN,5m,bb|bb.MAIN|5m,frozen_baseline_reference,44396,rulebook
intraday_research_v1,bb,bb.MAIN,60m,bb|bb.MAIN|60m,frozen_baseline_reference,44399,rulebook
intraday_research_v1,bc,bc.MAIN,15m,bc|bc.MAIN|15m,frozen_baseline_reference,40937,rulebook
intraday_research_v1,bc,bc.MAIN,1d,bc|bc.MAIN|1d,frozen_baseline_reference,40940,rulebook
intraday_research_v1,bc,bc.MAIN,1m,bc|bc.MAIN|1m,frozen_baseline_reference,40935,rulebook
intraday_research_v1,bc,bc.MAIN,30m,bc|bc.MAIN|30m,frozen_baseline_reference,40938,rulebook
intraday_research_v1,bc,bc.MAIN,5m,bc|bc.MAIN|5m,frozen_baseline_reference,40936,rulebook
intraday_research_v1,bc,bc.MAIN,60m,bc|bc.MAIN|60m,frozen_baseline_reference,40939,rulebook
intraday_research_v1,br,br.MAIN,15m,br|br.MAIN|15m,frozen_baseline_reference,40943,rulebook
intraday_research_v1,br,br.MAIN,1d,br|br.MAIN|1d,frozen_baseline_reference,40946,rulebook
intraday_research_v1,br,br.MAIN,1m,br|br.MAIN|1m,frozen_baseline_reference,40941,rulebook
intraday_research_v1,br,br.MAIN,30m,br|br.MAIN|30m,frozen_baseline_reference,40944,rulebook
intraday_research_v1,br,br.MAIN,5m,br|br.MAIN|5m,frozen_baseline_reference,40942,rulebook
intraday_research_v1,br,br.MAIN,60m,br|br.MAIN|60m,frozen_baseline_reference,40945,rulebook
intraday_research_v1,bu,bu.MAIN,15m,bu|bu.MAIN|15m,frozen_baseline_reference,40949,rulebook
intraday_research_v1,bu,bu.MAIN,1d,bu|bu.MAIN|1d,frozen_baseline_reference,40952,rulebook
intraday_research_v1,bu,bu.MAIN,1m,bu|bu.MAIN|1m,frozen_baseline_reference,40947,rulebook
intraday_research_v1,bu,bu.MAIN,30m,bu|bu.MAIN|30m,frozen_baseline_reference,40950,rulebook
intraday_research_v1,bu,bu.MAIN,5m,bu|bu.MAIN|5m,frozen_baseline_reference,40948,rulebook
intraday_research_v1,bu,bu.MAIN,60m,bu|bu.MAIN|60m,frozen_baseline_reference,40951,rulebook
intraday_research_v1,bz,bz.MAIN,15m,bz|bz.MAIN|15m,frozen_baseline_reference,40955,rulebook
intraday_research_v1,bz,bz.MAIN,1d,bz|bz.MAIN|1d,frozen_baseline_reference,40958,rulebook
intraday_research_v1,bz,bz.MAIN,1m,bz|bz.MAIN|1m,frozen_baseline_reference,40953,rulebook
intraday_research_v1,bz,bz.MAIN,30m,bz|bz.MAIN|30m,frozen_baseline_reference,40956,rulebook
intraday_research_v1,bz,bz.MAIN,5m,bz|bz.MAIN|5m,frozen_baseline_reference,40954,rulebook
intraday_research_v1,bz,bz.MAIN,60m,bz|bz.MAIN|60m,frozen_baseline_reference,40957,rulebook
intraday_research_v1,c,c.MAIN,15m,c|c.MAIN|15m,frozen_baseline_reference,40961,rulebook
intraday_research_v1,c,c.MAIN,1d,c|c.MAIN|1d,frozen_baseline_reference,40964,rulebook
intraday_research_v1,c,c.MAIN,1m,c|c.MAIN|1m,frozen_baseline_reference,40959,rulebook
intraday_research_v1,c,c.MAIN,30m,c|c.MAIN|30m,frozen_baseline_reference,40962,rulebook
intraday_research_v1,c,c.MAIN,5m,c|c.MAIN|5m,frozen_baseline_reference,40960,rulebook
