profile_id,instrument_symbol,contract_code,period,market_data_file_id,checksum,checksum_ok
intraday_research_v1,bz,bz.MAIN,5m,56118,dd003d5af463bd052f7da0870bb27baf342488fe6a05f7b8d4bd1ca482c53e3c,True
intraday_research_v1,bz,bz.MAIN,60m,56121,b97428bca0b94cfb43a7816383d51dfb60ef5d8aec84f5b4a473da4c990029a4,True
intraday_research_v1,c,c.MAIN,15m,56123,e69dd34bf7a00d11d4f125801d5b8362f21893c15850f28ccd6a89140a57da00,True
intraday_research_v1,c,c.MAIN,1d,56444,041f16b759485e6c33c251b12f9cd32cb57081b9cb64f3f8b6a569bfbb8996a4,True
intraday_research_v1,c,c.MAIN,1m,55989,b0ead43f27a7ceb2c754df488a90761db9ca298ae862db472aff26351e57c0dc,True
intraday_research_v1,c,c.MAIN,30m,56124,f1584f8f58b6918940cb28228cb74dba2befb3fd5ab86ca1ee110023a3e61c21,True
intraday_research_v1,c,c.MAIN,5m,56122,4e2fd0c1973db99ecc28a179335a519506cc96a18ac2f14c8587342c40ef6895,True
intraday_research_v1,c,c.MAIN,60m,56125,a77512b87bdd43e88cb7729b2d02c3f98dc9d3ef3261bfcf56f83e7b8ff61a28,True
intraday_research_v1,cf,cf.MAIN,15m,56127,95bd2c67ff04b8538fedc3ba5284af08717fb9c2c588ee073bcc4adbae829404,True
intraday_research_v1,cf,cf.MAIN,1d,56446,19120943a0b006a1aefdce5a8732522a308db8a54e87a8126b3148c054b3e9b5,True
intraday_research_v1,cf,cf.MAIN,1m,55990,2dafd30ec7d65d96915532ebeb8e5ae122d9ce97e5dc1852a0bcdc01b6fdc077,True
intraday_research_v1,cf,cf.MAIN,30m,56128,958ad24d2338fc134228e9b95b7ecd42f57bc28570b199289092e630887f5ab6,True
intraday_research_v1,cf,cf.MAIN,5m,56126,bd6e0d513d37f3eac46634cf45d2b9a3e5e3cbab3ffb7c2fcd5772c5f80bc2d5,True
intraday_research_v1,cf,cf.MAIN,60m,56129,3077aa543b9a30084424fdea2ff64e41775a3320da51207ecb1a9ba027ebfc1f,True
intraday_research_v1,cj,cj.MAIN,15m,56131,30ed372b70bacdac2b370b5c1a05c87bb3c39d7117755bca047fa36f81e74404,True
intraday_research_v1,cj,cj.MAIN,1d,56448,000368480227a6ab01c72d8d88c1caa23e00a05217af173af80ab1abfb98c76c,True
intraday_research_v1,cj,cj.MAIN,1m,55991,3a8bc905674c1e2772c01766d3f4d2306f218a0dd9c9aaf7fbda27db3c9494e6,True
intraday_research_v1,cj,cj.MAIN,30m,56132,9348226cd98455fef0da0c04e66c9320786f225244a10db67159e5fcb98ad786,True
intraday_research_v1,cj,cj.MAIN,5m,56130,821cf128e2f69d5837a877f7a9a8d2d9fa40921347715d46a4a23cc0e96cfca5,True
intraday_research_v1,cj,cj.MAIN,60m,56133,2ef086bc02b3f6aecd0d742a5d0c841993e255af77efbd61d8d577b912eebacd,True
intraday_research_v1,cs,cs.MAIN,15m,56135,188c942bda6534165d8410a9e3b5e004401581e1140114d683845310b3eab679,True
intraday_research_v1,cs,cs.MAIN,1d,56450,19524fb147dbb4b1a80962200720f8b31edb5c0aec5b25af7d60c2bfb6232ad1,True
intraday_research_v1,cs,cs.MAIN,1m,55992,18d46e0d5b04beb1f42194fd4a79ea974698158ebbb9e31fe784fdefaaf7a7f7,True
intraday_research_v1,cs,cs.MAIN,30m,56136,5052150ce13ff63be28592a860b54af590f8f60b9fc06ac807d58cb0878f8a2b,True
intraday_research_v1,cs,cs.MAIN,5m,56134,e0c3752d23af1dd1b17cdd968cd3164cf3b1a90407197ceba024e96969a5f2b6,True
intraday_research_v1,cs,cs.MAIN,60m,56137,df5adf6e48e9927e432cddd3811fa39148dd692449394c231b7695f93d730043,True
intraday_research_v1,cu,cu.MAIN,15m,56139,6472cc0aae2ed7770d1880a3bb26ff390df430b8e49ce69cbac23edfe685a68c,True
intraday_research_v1,cu,cu.MAIN,1d,56452,cf4b0d6b922e5a161e39557cd4ab3b1ece302e99672d1ceaa9c7b39c0a9be1bd,True
intraday_research_v1,cu,cu.MAIN,1m,55993,80a19e101215254d91f35227e8a3d8181022a6391853560ed1323ad5e6e809f4,True
intraday_research_v1,cu,cu.MAIN,30m,56140,8d9efbbeda4add83d7ece133a7fc6220d031cfdfc753765e0c988c8b1a060704,True
intraday_research_v1,cu,cu.MAIN,5m,56138,8f8d8bb1e731d3941d28801754f53133c1360b76a8537b0a674cb33e1ede13c3,True
