profile_id,instrument_symbol,contract_code,period,contract_role,candidate_status,market_data_file_id,data_version,rulebook_rank,block_reason,file_path,quality_status,disposition,evidence_source
intraday_research_v1,ad,ad.MAIN,15m,dominant_main,blocked,40890,rqdata_ad_standard_15m_20230103_20260707_v2,0,frozen_baseline_reference,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_15m_20230103_20260707_v2.parquet,passed,active_passed,rulebook
intraday_research_v1,ad,ad.MAIN,15m,dominant_main,current,56075,rqdata_ad_standard_15m_20230103_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_15m_20230103_20260711_v2.parquet,passed,,rulebook
intraday_research_v1,ad,ad.MAIN,1d,dominant_main,blocked,40893,rqdata_ad_standard_1d_20230103_20260707_v2,0,frozen_baseline_reference,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1d_20230103_20260707_v2.parquet,passed,active_passed,rulebook
intraday_research_v1,ad,ad.MAIN,1d,dominant_main,current,55798,rqdata_ad_standard_1d_20230103_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1d_20230103_20260711_v2.parquet,passed,,rulebook
intraday_research_v1,ad,ad.MAIN,1d,dominant_main,excluded,55575,rqdata_ad_standard_1d_20230103_20260710_v2,2,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1d_20230103_20260710_v2.parquet,passed,,rulebook
intraday_research_v1,ad,ad.MAIN,1m,dominant_main,blocked,40888,rqdata_ad_standard_1m_20230103_20260707_v2,0,frozen_baseline_reference,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1m_20230103_20260707_v2.parquet,passed,active_passed,rulebook
intraday_research_v1,ad,ad.MAIN,1m,dominant_main,current,55977,rqdata_ad_standard_1m_20230103_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1m_20230103_20260711_v2.parquet,passed,,rulebook
intraday_research_v1,ad,ad.MAIN,1m,dominant_main,excluded,55755,rqdata_ad_standard_1m_20230103_20260710_v2,2,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1m_20230103_20260710_v2.parquet,passed,,rulebook
intraday_research_v1,ad,ad.MAIN,30m,dominant_main,blocked,40891,rqdata_ad_standard_30m_20230103_20260707_v2,0,frozen_baseline_reference,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_30m_20230103_20260707_v2.parquet,passed,active_passed,rulebook
intraday_research_v1,ad,ad.MAIN,30m,dominant_main,current,56076,rqdata_ad_standard_30m_20230103_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_30m_20230103_20260711_v2.parquet,passed,,rulebook
intraday_research_v1,ad,ad.MAIN,5m,dominant_main,blocked,40889,rqdata_ad_standard_5m_20230103_20260707_v2,0,frozen_baseline_reference,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_5m_20230103_20260707_v2.parquet,passed,active_passed,rulebook
intraday_research_v1,ad,ad.MAIN,5m,dominant_main,current,56074,rqdata_ad_standard_5m_20230103_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_5m_20230103_20260711_v2.parquet,passed,,rulebook
intraday_research_v1,ad,ad.MAIN,60m,dominant_main,blocked,40892,rqdata_ad_standard_60m_20230103_20260707_v2,0,frozen_baseline_reference,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_60m_20230103_20260707_v2.parquet,passed,active_passed,rulebook
intraday_research_v1,ad,ad.MAIN,60m,dominant_main,current,56077,rqdata_ad_standard_60m_20230103_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_60m_20230103_20260711_v2.parquet,passed,,rulebook
intraday_research_v1,ag,ag.MAIN,15m,dominant_main,blocked,40896,rqdata_ag_standard_15m_20230103_20260707_v2,0,frozen_baseline_reference,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_15m_20230103_20260707_v2.parquet,passed,active_passed,rulebook
intraday_research_v1,ag,ag.MAIN,15m,dominant_main,current,56079,rqdata_ag_standard_15m_20230103_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_15m_20230103_20260711_v2.parquet,passed,,rulebook
intraday_research_v1,ag,ag.MAIN,1d,dominant_main,blocked,40899,rqdata_ag_standard_1d_20230103_20260707_v2,0,frozen_baseline_reference,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_1d_20230103_20260707_v2.parquet,passed,,rulebook
intraday_research_v1,ag,ag.MAIN,1d,dominant_main,current,56428,rqdata_ag_standard_1d_20200102_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_1d_20200102_20260711_v2.parquet,passed,active_passed,rulebook
intraday_research_v1,ag,ag.MAIN,1d,dominant_main,excluded,55800,rqdata_ag_standard_1d_20230103_20260711_v2,2,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_1d_20230103_20260711_v2.parquet,passed,,rulebook
intraday_research_v1,ag,ag.MAIN,1d,dominant_main,excluded,55576,rqdata_ag_standard_1d_20230103_20260710_v2,3,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_1d_20230103_20260710_v2.parquet,passed,,rulebook
intraday_research_v1,ag,ag.MAIN,1m,dominant_main,blocked,40894,rqdata_ag_standard_1m_20230103_20260707_v2,0,frozen_baseline_reference,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_1m_20230103_20260707_v2.parquet,passed,active_passed,rulebook
intraday_research_v1,ag,ag.MAIN,1m,dominant_main,current,55978,rqdata_ag_standard_1m_20230103_20260711_v2,1,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_1m_20230103_20260711_v2.parquet,passed,,rulebook
