product,trade_date,contract,field,value,source,source_row_id,data_version,effective_start,effective_end,complete
jm,2023-01-11,JM2305,close_commission,0.00010000,futures_trading_parameters,424824,rqdata_structured_v1,2023-01-11,2023-01-11,True
jm,2023-01-11,JM2305,close_today_commission,0.00014000,futures_trading_parameters,424824,rqdata_structured_v1,2023-01-11,2023-01-11,True
jm,2023-01-12,JM2305,price_tick,0.500000,futures_trading_parameters,424825,rqdata_structured_v1,2023-01-12,2023-01-12,True
jm,2023-01-12,JM2305,contract_multiplier,60,futures_trading_parameters,424825,rqdata_structured_v1,2023-01-12,2023-01-12,True
jm,2023-01-12,JM2305,long_margin_ratio,0.200000,futures_trading_parameters,424825,rqdata_structured_v1,2023-01-12,2023-01-12,True
jm,2023-01-12,JM2305,short_margin_ratio,0.200000,futures_trading_parameters,424825,rqdata_structured_v1,2023-01-12,2023-01-12,True
jm,2023-01-12,JM2305,open_commission,0.00010000,futures_trading_parameters,424825,rqdata_structured_v1,2023-01-12,2023-01-12,True
jm,2023-01-12,JM2305,close_commission,0.00010000,futures_trading_parameters,424825,rqdata_structured_v1,2023-01-12,2023-01-12,True
jm,2023-01-12,JM2305,close_today_commission,0.00014000,futures_trading_parameters,424825,rqdata_structured_v1,2023-01-12,2023-01-12,True
jm,2023-01-13,JM2305,price_tick,0.500000,futures_trading_parameters,424826,rqdata_structured_v1,2023-01-13,2023-01-13,True
jm,2023-01-13,JM2305,contract_multiplier,60,futures_trading_parameters,424826,rqdata_structured_v1,2023-01-13,2023-01-13,True
jm,2023-01-13,JM2305,long_margin_ratio,0.200000,futures_trading_parameters,424826,rqdata_structured_v1,2023-01-13,2023-01-13,True
jm,2023-01-13,JM2305,short_margin_ratio,0.200000,futures_trading_parameters,424826,rqdata_structured_v1,2023-01-13,2023-01-13,True
jm,2023-01-13,JM2305,open_commission,0.00010000,futures_trading_parameters,424826,rqdata_structured_v1,2023-01-13,2023-01-13,True
jm,2023-01-13,JM2305,close_commission,0.00010000,futures_trading_parameters,424826,rqdata_structured_v1,2023-01-13,2023-01-13,True
jm,2023-01-13,JM2305,close_today_commission,0.00014000,futures_trading_parameters,424826,rqdata_structured_v1,2023-01-13,2023-01-13,True
jm,2023-01-16,JM2305,price_tick,0.500000,futures_trading_parameters,424827,rqdata_structured_v1,2023-01-16,2023-01-16,True
jm,2023-01-16,JM2305,contract_multiplier,60,futures_trading_parameters,424827,rqdata_structured_v1,2023-01-16,2023-01-16,True
jm,2023-01-16,JM2305,long_margin_ratio,0.200000,futures_trading_parameters,424827,rqdata_structured_v1,2023-01-16,2023-01-16,True
