classification,dataset,target_table,product,year,candidate_start_date,candidate_end_date,writes_parquet,writes_market_data_files,writes_quality_status,before_count,status,after_count,rows_fetched,rows_upsert_attempted,calls_rqdata,error_type,error_message
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,rb,2020,2020-01-01,2020-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,ri,2020,2020-01-01,2020-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,rm,2020,2020-01-01,2020-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,rr,2020,2020-01-01,2020-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,rs,2020,2020-01-01,2020-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,ru,2020,2020-01-01,2020-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,sa,2020,2020-01-01,2020-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,sc,2020,2020-01-01,2020-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,sf,2020,2020-01-01,2020-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,sm,2020,2020-01-01,2020-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,sn,2020,2020-01-01,2020-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,sp,2020,2020-01-01,2020-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,sr,2020,2020-01-01,2020-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,ss,2020,2020-01-01,2020-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,t,2020,2020-01-01,2020-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,ta,2020,2020-01-01,2020-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,tf,2020,2020-01-01,2020-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,ts,2020,2020-01-01,2020-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,ur,2020,2020-01-01,2020-12-31,False,False,False,0,success,486,486,486,False,,
needs_continuous_contract_sync,continuous_contract_map,futures_continuous_contract_map,v,2020,2020-01-01,2020-12-31,False,False,False,0,success,486,486,486,False,,
