product,contract_type,contract_role,symbol_or_contract,period,expected_start,expected_end,actual_min,actual_max,status,gap_start,gap_end,quality_status,file_path,recommended_action,segment_contract,segment_start,segment_end
bc,roll,actual_contract,BC2110,1m,2020-11-19,2026-07-10,,,missing_segment,2021-07-28,2021-08-27,,,actual_contract_roll_write,BC2110,2021-07-28,2021-08-27
bc,roll,actual_contract,BC2111,1m,2020-11-19,2026-07-10,,,missing_segment,2021-08-30,2021-09-08,,,actual_contract_roll_write,BC2111,2021-08-30,2021-09-08
bc,roll,actual_contract,BC2112,1m,2020-11-19,2026-07-10,,,missing_segment,2021-09-09,2021-10-26,,,actual_contract_roll_write,BC2112,2021-09-09,2021-10-26
bc,roll,actual_contract,BC2201,1m,2020-11-19,2026-07-10,,,missing_segment,2021-10-27,2021-11-26,,,actual_contract_roll_write,BC2201,2021-10-27,2021-11-26
bc,roll,actual_contract,BC2202,1m,2020-11-19,2026-07-10,,,missing_segment,2021-11-29,2021-12-21,,,actual_contract_roll_write,BC2202,2021-11-29,2021-12-21
bc,roll,actual_contract,BC2203,1m,2020-11-19,2026-07-10,,,missing_segment,2021-12-22,2022-01-26,,,actual_contract_roll_write,BC2203,2021-12-22,2022-01-26
bc,roll,actual_contract,BC2204,1m,2020-11-19,2026-07-10,,,missing_segment,2022-01-27,2022-02-24,,,actual_contract_roll_write,BC2204,2022-01-27,2022-02-24
bc,roll,actual_contract,BC2205,1m,2020-11-19,2026-07-10,,,missing_segment,2022-02-25,2022-03-25,,,actual_contract_roll_write,BC2205,2022-02-25,2022-03-25
bc,roll,actual_contract,BC2206,1m,2020-11-19,2026-07-10,,,missing_segment,2022-03-28,2022-04-22,,,actual_contract_roll_write,BC2206,2022-03-28,2022-04-22
bc,roll,actual_contract,BC2207,1m,2020-11-19,2026-07-10,,,missing_segment,2022-04-25,2022-05-26,,,actual_contract_roll_write,BC2207,2022-04-25,2022-05-26
bc,roll,actual_contract,BC2208,1m,2020-11-19,2026-07-10,,,missing_segment,2022-05-27,2022-06-24,,,actual_contract_roll_write,BC2208,2022-05-27,2022-06-24
bc,roll,actual_contract,BC2209,1m,2020-11-19,2026-07-10,,,missing_segment,2022-06-27,2022-07-28,,,actual_contract_roll_write,BC2209,2022-06-27,2022-07-28
bc,roll,actual_contract,BC2210,1m,2020-11-19,2026-07-10,,,missing_segment,2022-07-29,2022-08-29,,,actual_contract_roll_write,BC2210,2022-07-29,2022-08-29
bc,roll,actual_contract,BC2211,1m,2020-11-19,2026-07-10,,,missing_segment,2022-08-30,2022-09-26,,,actual_contract_roll_write,BC2211,2022-08-30,2022-09-26
bc,roll,actual_contract,BC2212,1m,2020-11-19,2026-07-10,,,missing_segment,2022-09-27,2022-10-24,,,actual_contract_roll_write,BC2212,2022-09-27,2022-10-24
bc,roll,actual_contract,BC2301,1m,2020-11-19,2026-07-10,,,missing_segment,2022-10-25,2022-11-25,,,actual_contract_roll_write,BC2301,2022-10-25,2022-11-25
bc,roll,actual_contract,BC2302,1m,2020-11-19,2026-07-10,,,missing_segment,2022-11-28,2022-12-23,,,actual_contract_roll_write,BC2302,2022-11-28,2022-12-23
bc,roll,actual_contract,BC2303,1m,2020-11-19,2026-07-10,2023-01-03,2023-01-30,partial_segment,2022-12-26,2023-01-30,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2303/BC2303_1m_20230103_20230130.parquet,actual_contract_roll_write,BC2303,2022-12-26,2023-01-30
bc,roll,actual_contract,BC2304,1m,2020-11-19,2026-07-10,2023-01-30,2023-02-24,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2304/BC2304_1m_20230131_20230224.parquet,none,BC2304,2023-01-31,2023-02-24
bc,roll,actual_contract,BC2305,1m,2020-11-19,2026-07-10,2023-02-24,2023-03-23,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2305/BC2305_1m_20230227_20230323.parquet,none,BC2305,2023-02-27,2023-03-23
bc,roll,actual_contract,BC2307,1m,2020-11-19,2026-07-10,2023-03-23,2023-04-14,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2307/BC2307_1m_20230324_20230414.parquet,none,BC2307,2023-03-24,2023-04-14
bc,roll,actual_contract,BC2306,1m,2020-11-19,2026-07-10,2023-04-14,2023-04-26,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2306/BC2306_1m_20230417_20230426.parquet,none,BC2306,2023-04-17,2023-04-26
bc,roll,actual_contract,BC2308,1m,2020-11-19,2026-07-10,2023-04-26,2023-06-09,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2308/BC2308_1m_20230427_20230609.parquet,none,BC2308,2023-04-27,2023-06-09
bc,roll,actual_contract,BC2309,1m,2020-11-19,2026-07-10,2023-06-09,2023-07-07,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2309/BC2309_1m_20230612_20230707.parquet,none,BC2309,2023-06-12,2023-07-07
bc,roll,actual_contract,BC2310,1m,2020-11-19,2026-07-10,2023-07-07,2023-08-23,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2310/BC2310_1m_20230710_20230823.parquet,none,BC2310,2023-07-10,2023-08-23
bc,roll,actual_contract,BC2311,1m,2020-11-19,2026-07-10,2023-08-23,2023-09-26,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2311/BC2311_1m_20230824_20230926.parquet,none,BC2311,2023-08-24,2023-09-26
bc,roll,actual_contract,BC2312,1m,2020-11-19,2026-07-10,2023-09-26,2023-10-25,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2312/BC2312_1m_20230927_20231025.parquet,none,BC2312,2023-09-27,2023-10-25
bc,roll,actual_contract,BC2401,1m,2020-11-19,2026-07-10,2023-10-25,2023-11-16,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2401/BC2401_1m_20231026_20231116.parquet,none,BC2401,2023-10-26,2023-11-16
bc,roll,actual_contract,BC2402,1m,2020-11-19,2026-07-10,2023-11-16,2023-12-25,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2402/BC2402_1m_20231117_20231225.parquet,none,BC2402,2023-11-17,2023-12-25
bc,roll,actual_contract,BC2403,1m,2020-11-19,2026-07-10,2023-12-25,2024-02-06,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2403/BC2403_1m_20231226_20240206.parquet,none,BC2403,2023-12-26,2024-02-06
bc,roll,actual_contract,BC2404,1m,2020-11-19,2026-07-10,2024-02-06,2024-03-07,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2404/BC2404_1m_20240207_20240307.parquet,none,BC2404,2024-02-07,2024-03-07
bc,roll,actual_contract,BC2405,1m,2020-11-19,2026-07-10,2024-03-07,2024-04-03,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2405/BC2405_1m_20240308_20240403.parquet,none,BC2405,2024-03-08,2024-04-03
bc,roll,actual_contract,BC2406,1m,2020-11-19,2026-07-10,2024-04-08,2024-05-16,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2406/BC2406_1m_20240408_20240516.parquet,none,BC2406,2024-04-08,2024-05-16
bc,roll,actual_contract,BC2407,1m,2020-11-19,2026-07-10,2024-05-16,2024-06-07,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2407/BC2407_1m_20240517_20240607.parquet,none,BC2407,2024-05-17,2024-06-07
bc,roll,actual_contract,BC2408,1m,2020-11-19,2026-07-10,2024-06-11,2024-07-17,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2408/BC2408_1m_20240611_20240717.parquet,none,BC2408,2024-06-11,2024-07-17
bc,roll,actual_contract,BC2409,1m,2020-11-19,2026-07-10,2024-07-17,2024-08-20,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2409/BC2409_1m_20240718_20240820.parquet,none,BC2409,2024-07-18,2024-08-20
bc,roll,actual_contract,BC2410,1m,2020-11-19,2026-07-10,2024-08-20,2024-09-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2410/BC2410_1m_20240821_20240910.parquet,none,BC2410,2024-08-21,2024-09-10
bc,roll,actual_contract,BC2411,1m,2020-11-19,2026-07-10,2024-09-10,2024-10-22,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2411/BC2411_1m_20240911_20241022.parquet,none,BC2411,2024-09-11,2024-10-22
bc,roll,actual_contract,BC2412,1m,2020-11-19,2026-07-10,2024-10-22,2024-11-22,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2412/BC2412_1m_20241023_20241122.parquet,none,BC2412,2024-10-23,2024-11-22
bc,roll,actual_contract,BC2501,1m,2020-11-19,2026-07-10,2024-11-22,2024-12-23,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2501/BC2501_1m_20241125_20241223.parquet,none,BC2501,2024-11-25,2024-12-23
bc,roll,actual_contract,BC2502,1m,2020-11-19,2026-07-10,2024-12-23,2025-01-23,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2502/BC2502_1m_20241224_20250123.parquet,none,BC2502,2024-12-24,2025-01-23
bc,roll,actual_contract,BC2503,1m,2020-11-19,2026-07-10,2025-01-23,2025-02-19,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2503/BC2503_1m_20250124_20250219.parquet,none,BC2503,2025-01-24,2025-02-19
bc,roll,actual_contract,BC2504,1m,2020-11-19,2026-07-10,2025-02-19,2025-03-13,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2504/BC2504_1m_20250220_20250313.parquet,none,BC2504,2025-02-20,2025-03-13
bc,roll,actual_contract,BC2505,1m,2020-11-19,2026-07-10,2025-03-13,2025-05-06,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2505/BC2505_1m_20250314_20250506.parquet,none,BC2505,2025-03-14,2025-05-06
bc,roll,actual_contract,BC2506,1m,2020-11-19,2026-07-10,2025-05-06,2025-05-28,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2506/BC2506_1m_20250507_20250528.parquet,none,BC2506,2025-05-07,2025-05-28
bc,roll,actual_contract,BC2507,1m,2020-11-19,2026-07-10,2025-05-28,2025-06-24,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2507/BC2507_1m_20250529_20250624.parquet,none,BC2507,2025-05-29,2025-06-24
bc,roll,actual_contract,BC2508,1m,2020-11-19,2026-07-10,2025-06-24,2025-07-29,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2508/BC2508_1m_20250625_20250729.parquet,none,BC2508,2025-06-25,2025-07-29
bc,roll,actual_contract,BC2509,1m,2020-11-19,2026-07-10,2025-07-29,2025-08-28,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2509/BC2509_1m_20250730_20250828.parquet,none,BC2509,2025-07-30,2025-08-28
bc,roll,actual_contract,BC2510,1m,2020-11-19,2026-07-10,2025-08-28,2025-09-25,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2510/BC2510_1m_20250829_20250925.parquet,none,BC2510,2025-08-29,2025-09-25
bc,roll,actual_contract,BC2511,1m,2020-11-19,2026-07-10,2025-09-25,2025-10-30,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2511/BC2511_1m_20250926_20251030.parquet,none,BC2511,2025-09-26,2025-10-30
bc,roll,actual_contract,BC2512,1m,2020-11-19,2026-07-10,2025-10-30,2025-11-27,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2512/BC2512_1m_20251031_20251127.parquet,none,BC2512,2025-10-31,2025-11-27
bc,roll,actual_contract,BC2601,1m,2020-11-19,2026-07-10,2025-11-27,2025-12-26,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2601/BC2601_1m_20251128_20251226.parquet,none,BC2601,2025-11-28,2025-12-26
bc,roll,actual_contract,BC2602,1m,2020-11-19,2026-07-10,2025-12-26,2026-01-26,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2602/BC2602_1m_20251229_20260126.parquet,none,BC2602,2025-12-29,2026-01-26
bc,roll,actual_contract,BC2603,1m,2020-11-19,2026-07-10,2026-01-26,2026-02-13,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2603/BC2603_1m_20260127_20260213.parquet,none,BC2603,2026-01-27,2026-02-13
bc,roll,actual_contract,BC2604,1m,2020-11-19,2026-07-10,2026-02-24,2026-03-25,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2604/BC2604_1m_20260224_20260325.parquet,none,BC2604,2026-02-24,2026-03-25
bc,roll,actual_contract,BC2605,1m,2020-11-19,2026-07-10,2026-03-25,2026-04-24,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2605/BC2605_1m_20260326_20260424.parquet,none,BC2605,2026-03-26,2026-04-24
bc,roll,actual_contract,BC2606,1m,2020-11-19,2026-07-10,2026-04-24,2026-05-25,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2606/BC2606_1m_20260427_20260525.parquet,none,BC2606,2026-04-27,2026-05-25
bc,roll,actual_contract,BC2607,1m,2020-11-19,2026-07-10,2026-05-25,2026-06-24,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2607/BC2607_1m_20260526_20260624.parquet,none,BC2607,2026-05-26,2026-06-24
bc,roll,actual_contract,BC2608,1m,2020-11-19,2026-07-10,2026-03-31,2026-07-07,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=BC2608/BC2608_1m_20260401_20260707.parquet,none,BC2608,2026-07-07,2026-07-07
bc,roll,actual_contract,BC2103,1d,2020-11-19,2026-07-10,2020-11-19,2021-01-14,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2103/BC2103_1d_20201119_20210114.parquet,none,BC2103,2020-11-19,2021-01-14
bc,roll,actual_contract,BC2104,1d,2020-11-19,2026-07-10,2021-01-15,2021-02-22,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2104/BC2104_1d_20210115_20210222.parquet,none,BC2104,2021-01-15,2021-02-22
bc,roll,actual_contract,BC2105,1d,2020-11-19,2026-07-10,2021-02-23,2021-03-30,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2105/BC2105_1d_20210223_20210330.parquet,none,BC2105,2021-02-23,2021-03-30
bc,roll,actual_contract,BC2106,1d,2020-11-19,2026-07-10,2021-03-31,2021-04-30,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2106/BC2106_1d_20210331_20210430.parquet,none,BC2106,2021-03-31,2021-04-30
bc,roll,actual_contract,BC2107,1d,2020-11-19,2026-07-10,2021-05-06,2021-06-02,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2107/BC2107_1d_20210506_20210602.parquet,none,BC2107,2021-05-06,2021-06-02
bc,roll,actual_contract,BC2108,1d,2020-11-19,2026-07-10,2021-06-03,2021-06-30,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2108/BC2108_1d_20210603_20210630.parquet,none,BC2108,2021-06-03,2021-06-30
bc,roll,actual_contract,BC2109,1d,2020-11-19,2026-07-10,2021-07-01,2021-07-27,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2109/BC2109_1d_20210701_20210727.parquet,none,BC2109,2021-07-01,2021-07-27
bc,roll,actual_contract,BC2110,1d,2020-11-19,2026-07-10,2021-07-28,2021-08-27,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2110/BC2110_1d_20210728_20210827.parquet,none,BC2110,2021-07-28,2021-08-27
bc,roll,actual_contract,BC2111,1d,2020-11-19,2026-07-10,2021-08-30,2021-09-08,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2111/BC2111_1d_20210830_20210908.parquet,none,BC2111,2021-08-30,2021-09-08
bc,roll,actual_contract,BC2112,1d,2020-11-19,2026-07-10,2021-09-09,2021-10-26,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2112/BC2112_1d_20210909_20211026.parquet,none,BC2112,2021-09-09,2021-10-26
bc,roll,actual_contract,BC2201,1d,2020-11-19,2026-07-10,2021-10-27,2021-11-26,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2201/BC2201_1d_20211027_20211126.parquet,none,BC2201,2021-10-27,2021-11-26
bc,roll,actual_contract,BC2202,1d,2020-11-19,2026-07-10,2021-11-29,2021-12-21,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2202/BC2202_1d_20211129_20211221.parquet,none,BC2202,2021-11-29,2021-12-21
bc,roll,actual_contract,BC2203,1d,2020-11-19,2026-07-10,2021-12-22,2022-01-26,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2203/BC2203_1d_20211222_20220126.parquet,none,BC2203,2021-12-22,2022-01-26
bc,roll,actual_contract,BC2204,1d,2020-11-19,2026-07-10,2022-01-27,2022-02-24,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2204/BC2204_1d_20220127_20220224.parquet,none,BC2204,2022-01-27,2022-02-24
bc,roll,actual_contract,BC2205,1d,2020-11-19,2026-07-10,2022-02-25,2022-03-25,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2205/BC2205_1d_20220225_20220325.parquet,none,BC2205,2022-02-25,2022-03-25
bc,roll,actual_contract,BC2206,1d,2020-11-19,2026-07-10,2022-03-28,2022-04-22,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2206/BC2206_1d_20220328_20220422.parquet,none,BC2206,2022-03-28,2022-04-22
bc,roll,actual_contract,BC2207,1d,2020-11-19,2026-07-10,2022-04-25,2022-05-26,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2207/BC2207_1d_20220425_20220526.parquet,none,BC2207,2022-04-25,2022-05-26
bc,roll,actual_contract,BC2208,1d,2020-11-19,2026-07-10,2022-05-27,2022-06-24,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2208/BC2208_1d_20220527_20220624.parquet,none,BC2208,2022-05-27,2022-06-24
bc,roll,actual_contract,BC2209,1d,2020-11-19,2026-07-10,2022-06-27,2022-07-28,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2209/BC2209_1d_20220627_20220728.parquet,none,BC2209,2022-06-27,2022-07-28
bc,roll,actual_contract,BC2210,1d,2020-11-19,2026-07-10,2022-07-29,2022-08-29,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2210/BC2210_1d_20220729_20220829.parquet,none,BC2210,2022-07-29,2022-08-29
bc,roll,actual_contract,BC2211,1d,2020-11-19,2026-07-10,2022-08-30,2022-09-26,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2211/BC2211_1d_20220830_20220926.parquet,none,BC2211,2022-08-30,2022-09-26
bc,roll,actual_contract,BC2212,1d,2020-11-19,2026-07-10,2022-09-27,2022-10-24,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2212/BC2212_1d_20220927_20221024.parquet,none,BC2212,2022-09-27,2022-10-24
bc,roll,actual_contract,BC2301,1d,2020-11-19,2026-07-10,2022-10-25,2022-11-25,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2301/BC2301_1d_20221025_20221125.parquet,none,BC2301,2022-10-25,2022-11-25
bc,roll,actual_contract,BC2302,1d,2020-11-19,2026-07-10,2022-11-28,2022-12-23,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2302/BC2302_1d_20221128_20221223.parquet,none,BC2302,2022-11-28,2022-12-23
bc,roll,actual_contract,BC2303,1d,2020-11-19,2026-07-10,2023-01-03,2023-01-30,partial_segment,2022-12-26,2023-01-30,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2303/BC2303_1d_20230103_20230130.parquet,actual_contract_roll_write,BC2303,2022-12-26,2023-01-30
bc,roll,actual_contract,BC2304,1d,2020-11-19,2026-07-10,2023-01-31,2023-02-24,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2304/BC2304_1d_20230131_20230224.parquet,none,BC2304,2023-01-31,2023-02-24
bc,roll,actual_contract,BC2305,1d,2020-11-19,2026-07-10,2023-02-27,2023-03-23,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2305/BC2305_1d_20230227_20230323.parquet,none,BC2305,2023-02-27,2023-03-23
bc,roll,actual_contract,BC2307,1d,2020-11-19,2026-07-10,2023-03-24,2023-04-14,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2307/BC2307_1d_20230324_20230414.parquet,none,BC2307,2023-03-24,2023-04-14
bc,roll,actual_contract,BC2306,1d,2020-11-19,2026-07-10,2023-04-17,2023-04-26,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2306/BC2306_1d_20230417_20230426.parquet,none,BC2306,2023-04-17,2023-04-26
bc,roll,actual_contract,BC2308,1d,2020-11-19,2026-07-10,2023-04-27,2023-06-09,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2308/BC2308_1d_20230427_20230609.parquet,none,BC2308,2023-04-27,2023-06-09
bc,roll,actual_contract,BC2309,1d,2020-11-19,2026-07-10,2023-06-12,2023-07-07,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2309/BC2309_1d_20230612_20230707.parquet,none,BC2309,2023-06-12,2023-07-07
bc,roll,actual_contract,BC2310,1d,2020-11-19,2026-07-10,2023-07-10,2023-08-23,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=BC2310/BC2310_1d_20230710_20230823.parquet,none,BC2310,2023-07-10,2023-08-23
