product,contract_type,contract_role,symbol_or_contract,period,expected_start,expected_end,actual_min,actual_max,status,gap_start,gap_end,quality_status,file_path,recommended_action,segment_contract,segment_start,segment_end
cy,main,dominant_main,cy.MAIN,1m,2017-08-18,2026-07-10,2017-08-18,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=cy/contract=cy.MAIN/cy_MAIN_1m_20170818_20260711_v2.parquet,none,,,
eb,main,dominant_main,eb.MAIN,1m,2019-09-26,2026-07-10,2019-09-26,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=eb/contract=eb.MAIN/eb_MAIN_1m_20190926_20260711_v2.parquet,none,,,
ec,main,dominant_main,ec.MAIN,1m,2023-08-18,2026-07-10,2023-08-18,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=ec/contract=ec.MAIN/ec_MAIN_1m_20230103_20260712_v2.parquet,none,,,
eg,main,dominant_main,eg.MAIN,1m,2018-12-10,2026-07-10,2018-12-10,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=eg/contract=eg.MAIN/eg_MAIN_1m_20181210_20260711_v2.parquet,none,,,
fb,main,dominant_main,fb.MAIN,1m,2013-12-06,2026-07-10,2013-12-06,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=fb/contract=fb.MAIN/fb_MAIN_1m_20131206_20260711_v2.parquet,none,,,
fg,main,dominant_main,fg.MAIN,1m,2012-12-03,2026-07-10,2012-12-03,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=fg/contract=fg.MAIN/fg_MAIN_1m_20121203_20260711_v2.parquet,none,,,
fu,main,dominant_main,fu.MAIN,1m,2004-08-25,2026-07-10,2010-01-04,2026-07-10,partial_start,2004-08-25,2010-01-03,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=fu/contract=fu.MAIN/fu_MAIN_1m_20040825_20260711_v2.parquet,minute_pre2020_backfill,,,
hc,main,dominant_main,hc.MAIN,1m,2014-03-21,2026-07-10,2014-03-21,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=hc/contract=hc.MAIN/hc_MAIN_1m_20140321_20260711_v2.parquet,none,,,
i,main,dominant_main,i.MAIN,1m,2013-10-18,2026-07-10,2013-10-18,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=i/contract=i.MAIN/i_MAIN_1m_20131018_20260711_v2.parquet,none,,,
ic,main,dominant_main,ic.MAIN,1m,2015-04-16,2026-07-10,2015-04-16,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CFFEX/symbol=ic/contract=ic.MAIN/ic_MAIN_1m_20150416_20260711_v2.parquet,none,,,
