target_id,requirement_level,consumer,profile_id,product,contract_role,period,target_start,target_end,effective_target_end,calendar_boundary_status,source_1m_file_id,source_1m_path,source_1m_version,source_1m_checksum,source_checksum_status,source_1m_quality,derived_file_id,derived_path,derived_version,derived_data_role,derived_quality,physical_min_datetime,physical_max_datetime,window_class,source_interval,source_bar_count_status,session_boundary_status,source_gap_count,recomputed_row_count,content_comparison_status,checksum_status,lineage_status,coverage_status,active_binding_status,recommended_action
profile_eligible:profile_registry:ad:5m:source:2026-07-10,profile_eligible,profile_registry,intraday_research_v1,ad,dominant_main,5m,,2026-07-10,2026-07-10,verified,71645,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1m_20230103_20260712_v2.parquet,rqdata_ad_standard_1m_20230103_20260712_v2,fe2d4e48fe990db5822211714760d78023ef1b2a2e6af9d44c3d74cef51813bd,matched,passed,71702,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_5m_20230103_20260712_v2.parquet,rqdata_ad_standard_5m_20230103_20260712_v2,primary,passed,2025-06-10T09:05:00,2026-07-10T15:00:00,2023+,1m,present,not_computed,,,not_computed,matched,lineage_unverified,covered,active_other_version,rebuild_from_exact_passed_1m_candidate
profile_eligible:profile_registry:ad:60m:source:2026-07-10,profile_eligible,profile_registry,intraday_research_v1,ad,dominant_main,60m,,2026-07-10,2026-07-10,verified,71645,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1m_20230103_20260712_v2.parquet,rqdata_ad_standard_1m_20230103_20260712_v2,fe2d4e48fe990db5822211714760d78023ef1b2a2e6af9d44c3d74cef51813bd,matched,passed,71705,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_60m_20230103_20260712_v2.parquet,rqdata_ad_standard_60m_20230103_20260712_v2,primary,passed,2025-06-10T10:00:00,2026-07-10T15:00:00,2023+,1m,present,not_computed,,,not_computed,matched,lineage_unverified,covered,active_other_version,rebuild_from_exact_passed_1m_candidate
profile_eligible:profile_registry:ag:15m:source:2026-07-10,profile_eligible,profile_registry,intraday_research_v1,ag,dominant_main,15m,,2026-07-10,2026-07-10,verified,82784,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_1m_20120510_20260711_v2.parquet,rqdata_ag_standard_1m_20120510_20260711_v2,686566b5a61ecef53f5dbbe8e1c91388e29cb3f7b637e327f462454f61406adc,matched,passed,102744,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_15m_20120510_20260710_full_history_rebuild_004b.parquet,fh_rebuild004b_ag_15m_20120510_20260710,candidate,passed,2012-05-10T09:15:00,2026-07-10T15:00:00,provider_earliest_candidate,1m,present,not_computed,,,not_computed,matched,verified,covered,active_other_version,none
profile_eligible:profile_registry:ag:1d:source:2026-07-10,profile_eligible,profile_registry,intraday_research_v1,ag,dominant_main,1d,,2026-07-10,2026-07-10,verified,82784,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_1m_20120510_20260711_v2.parquet,rqdata_ag_standard_1m_20120510_20260711_v2,686566b5a61ecef53f5dbbe8e1c91388e29cb3f7b637e327f462454f61406adc,matched,passed,82692,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_1d_20120510_20260711_v2.parquet,rqdata_ag_standard_1d_20120510_20260711_v2,primary,passed,2012-05-10T00:00:00,2026-07-10T00:00:00,provider_earliest_candidate,1m,column_missing,not_computed,,,not_computed,matched,lineage_unverified,covered,active_other_version,rebuild_from_exact_passed_1m_candidate
profile_eligible:profile_registry:ag:1m:source:2026-07-10,profile_eligible,profile_registry,intraday_research_v1,ag,dominant_main,1m,,2026-07-10,2026-07-10,verified,82784,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_1m_20120510_20260711_v2.parquet,rqdata_ag_standard_1m_20120510_20260711_v2,686566b5a61ecef53f5dbbe8e1c91388e29cb3f7b637e327f462454f61406adc,matched,passed,,,,,,2012-05-10T09:01:00,2026-07-10T15:00:00,provider_earliest_candidate,1m,not_applicable_source,not_computed,,,not_computed,matched,verified,covered,active_other_version,none
profile_eligible:profile_registry:ag:30m:source:2026-07-10,profile_eligible,profile_registry,intraday_research_v1,ag,dominant_main,30m,,2026-07-10,2026-07-10,verified,82784,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_1m_20120510_20260711_v2.parquet,rqdata_ag_standard_1m_20120510_20260711_v2,686566b5a61ecef53f5dbbe8e1c91388e29cb3f7b637e327f462454f61406adc,matched,passed,102745,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_30m_20120510_20260710_full_history_rebuild_004b.parquet,fh_rebuild004b_ag_30m_20120510_20260710,candidate,passed,2012-05-10T09:30:00,2026-07-10T15:00:00,provider_earliest_candidate,1m,present,not_computed,,,not_computed,matched,verified,covered,active_other_version,none
profile_eligible:profile_registry:ag:5m:source:2026-07-10,profile_eligible,profile_registry,intraday_research_v1,ag,dominant_main,5m,,2026-07-10,2026-07-10,verified,82784,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_1m_20120510_20260711_v2.parquet,rqdata_ag_standard_1m_20120510_20260711_v2,686566b5a61ecef53f5dbbe8e1c91388e29cb3f7b637e327f462454f61406adc,matched,passed,102746,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_5m_20120510_20260710_full_history_rebuild_004b.parquet,fh_rebuild004b_ag_5m_20120510_20260710,candidate,passed,2012-05-10T09:05:00,2026-07-10T15:00:00,provider_earliest_candidate,1m,present,not_computed,,,not_computed,matched,verified,covered,active_other_version,none
profile_eligible:profile_registry:ag:60m:source:2026-07-10,profile_eligible,profile_registry,intraday_research_v1,ag,dominant_main,60m,,2026-07-10,2026-07-10,verified,82784,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_1m_20120510_20260711_v2.parquet,rqdata_ag_standard_1m_20120510_20260711_v2,686566b5a61ecef53f5dbbe8e1c91388e29cb3f7b637e327f462454f61406adc,matched,passed,102747,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_60m_20120510_20260710_full_history_rebuild_004b.parquet,fh_rebuild004b_ag_60m_20120510_20260710,candidate,passed,2012-05-10T10:00:00,2026-07-10T15:00:00,provider_earliest_candidate,1m,present,not_computed,,,not_computed,matched,verified,covered,active_other_version,none
profile_eligible:profile_registry:al:15m:source:2026-07-10,profile_eligible,profile_registry,intraday_research_v1,al,dominant_main,15m,,2026-07-10,2026-07-10,verified,82761,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_1m_20000104_20260711_v2.parquet,rqdata_al_standard_1m_20000104_20260711_v2,a5d7f7949a736a7229c3bbf9c65d226fec39e26406e1f935a91269a5caaf0c63,matched,passed,102748,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_15m_20100104_20260710_full_history_rebuild_004b.parquet,fh_rebuild004b_al_15m_20100104_20260710,candidate,passed,2010-01-04T09:15:00,2026-07-10T15:00:00,provider_earliest_candidate,1m,present,not_computed,,,not_computed,matched,verified,covered,active_other_version,none
profile_eligible:profile_registry:al:1d:source:2026-07-10,profile_eligible,profile_registry,intraday_research_v1,al,dominant_main,1d,,2026-07-10,2026-07-10,verified,82761,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_1m_20000104_20260711_v2.parquet,rqdata_al_standard_1m_20000104_20260711_v2,a5d7f7949a736a7229c3bbf9c65d226fec39e26406e1f935a91269a5caaf0c63,matched,passed,82669,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_1d_20000104_20260711_v2.parquet,rqdata_al_standard_1d_20000104_20260711_v2,primary,passed,2000-01-05T00:00:00,2026-07-10T00:00:00,provider_earliest_candidate,1m,column_missing,not_computed,,,not_computed,matched,lineage_unverified,covered,active_other_version,rebuild_from_exact_passed_1m_candidate
