calendar_boundary_status,consumer,contract_role,effective_target_end,materialization_policy,period,product,profile_id,requirement_level,target_end,target_id,target_start
verified,profile_registry,dominant_main,2026-07-10,verify_only,60m,ao,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:ao:60m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,15m,ap,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:ap:15m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1d,ap,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:ap:1d:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1m,ap,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:ap:1m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,30m,ap,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:ap:30m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,5m,ap,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:ap:5m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,60m,ap,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:ap:60m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,15m,au,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:au:15m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1d,au,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:au:1d:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1m,au,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:au:1m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,30m,au,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:au:30m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,5m,au,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:au:5m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,60m,au,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:au:60m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,15m,b,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:b:15m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1d,b,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:b:1d:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1m,b,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:b:1m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,30m,b,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:b:30m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,5m,b,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:b:5m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,60m,b,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:b:60m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,15m,bb,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:bb:15m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1d,bb,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:bb:1d:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1m,bb,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:bb:1m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,30m,bb,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:bb:30m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,5m,bb,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:bb:5m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,60m,bb,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:bb:60m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,15m,bc,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:bc:15m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1d,bc,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:bc:1d:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1m,bc,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:bc:1m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,30m,bc,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:bc:30m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,5m,bc,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:bc:5m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,60m,bc,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:bc:60m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,15m,br,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:br:15m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1d,br,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:br:1d:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1m,br,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:br:1m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,30m,br,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:br:30m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,5m,br,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:br:5m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,60m,br,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:br:60m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,15m,bu,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:bu:15m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1d,bu,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:bu:1d:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1m,bu,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:bu:1m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,30m,bu,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:bu:30m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,5m,bu,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:bu:5m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,60m,bu,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:bu:60m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,15m,bz,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:bz:15m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1d,bz,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:bz:1d:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1m,bz,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:bz:1m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,30m,bz,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:bz:30m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,5m,bz,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:bz:5m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,60m,bz,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:bz:60m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,15m,c,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:c:15m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1d,c,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:c:1d:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1m,c,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:c:1m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,30m,c,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:c:30m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,5m,c,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:c:5m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,60m,c,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:c:60m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,15m,cf,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:cf:15m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1d,cf,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:cf:1d:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1m,cf,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:cf:1m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,30m,cf,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:cf:30m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,5m,cf,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:cf:5m:source:2026-07-10,
