physical_path,product,symbol_or_contract,period,contract_role,schema_version,schema_fingerprint,embedded_status,sidecar_status,schema_status,missing_embedded,missing_sidecar
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2209/A2209_1d_20220616_20220823.parquet,a,A2209,1d,actual_contract,v1.20260712,3a0f98b663f40a5a82ee78b042fb2ba640c05de8e8556083eb7a24b01f8c9d79,failed,passed,failed,source_interval,
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2209/A2209_1w_20220616_20220823.parquet,a,A2209,1w,actual_contract,v1.20260712,3a0f98b663f40a5a82ee78b042fb2ba640c05de8e8556083eb7a24b01f8c9d79,passed,passed,passed,,
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2211/A2211_1d_20220824_20221012.parquet,a,A2211,1d,actual_contract,v1.20260712,3a0f98b663f40a5a82ee78b042fb2ba640c05de8e8556083eb7a24b01f8c9d79,failed,passed,failed,source_interval,
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2211/A2211_1w_20220824_20221012.parquet,a,A2211,1w,actual_contract,v1.20260712,3a0f98b663f40a5a82ee78b042fb2ba640c05de8e8556083eb7a24b01f8c9d79,passed,passed,passed,,
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2301/A2301_1d_20221013_20221212.parquet,a,A2301,1d,actual_contract,v1.20260712,3a0f98b663f40a5a82ee78b042fb2ba640c05de8e8556083eb7a24b01f8c9d79,failed,passed,failed,source_interval,
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2301/A2301_1w_20221013_20221212.parquet,a,A2301,1w,actual_contract,v1.20260712,3a0f98b663f40a5a82ee78b042fb2ba640c05de8e8556083eb7a24b01f8c9d79,passed,passed,passed,,
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=A2305/A2305_15m_20230103_20230406.parquet,a,A2305,15m,actual_contract,v1.20260712,fcc6274578cc86ed8d6b44d80b4c5c7e3ff92c23ae2e55e332fb69b91f093925,passed,passed,passed,,
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2305/A2305_1d_20221213_20221230.parquet,a,A2305,1d,actual_contract,v1.20260712,3a0f98b663f40a5a82ee78b042fb2ba640c05de8e8556083eb7a24b01f8c9d79,failed,passed,failed,source_interval,
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2305/A2305_1d_20230103_20230406.parquet,a,A2305,1d,actual_contract,v1.20260712,3a0f98b663f40a5a82ee78b042fb2ba640c05de8e8556083eb7a24b01f8c9d79,failed,passed,failed,source_interval,
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=A2305/A2305_1m_20230103_20230406.parquet,a,A2305,1m,actual_contract,v1.20260712,3a0f98b663f40a5a82ee78b042fb2ba640c05de8e8556083eb7a24b01f8c9d79,passed,passed,passed,,
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2305/A2305_1w_20221213_20221230.parquet,a,A2305,1w,actual_contract,v1.20260712,3a0f98b663f40a5a82ee78b042fb2ba640c05de8e8556083eb7a24b01f8c9d79,passed,passed,passed,,
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=a/contract=A2305/A2305_30m_20230103_20230406.parquet,a,A2305,30m,actual_contract,v1.20260712,fcc6274578cc86ed8d6b44d80b4c5c7e3ff92c23ae2e55e332fb69b91f093925,passed,passed,passed,,
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=a/contract=A2305/A2305_5m_20230103_20230406.parquet,a,A2305,5m,actual_contract,v1.20260712,fcc6274578cc86ed8d6b44d80b4c5c7e3ff92c23ae2e55e332fb69b91f093925,passed,passed,passed,,
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=a/contract=A2305/A2305_60m_20230103_20230406.parquet,a,A2305,60m,actual_contract,v1.20260712,fcc6274578cc86ed8d6b44d80b4c5c7e3ff92c23ae2e55e332fb69b91f093925,passed,passed,passed,,
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=A2307/A2307_15m_20230407_20230612.parquet,a,A2307,15m,actual_contract,v1.20260712,fcc6274578cc86ed8d6b44d80b4c5c7e3ff92c23ae2e55e332fb69b91f093925,passed,passed,passed,,
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2307/A2307_1d_20230407_20230612.parquet,a,A2307,1d,actual_contract,v1.20260712,3a0f98b663f40a5a82ee78b042fb2ba640c05de8e8556083eb7a24b01f8c9d79,failed,passed,failed,source_interval,
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=A2307/A2307_1m_20230407_20230612.parquet,a,A2307,1m,actual_contract,v1.20260712,3a0f98b663f40a5a82ee78b042fb2ba640c05de8e8556083eb7a24b01f8c9d79,passed,passed,passed,,
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=a/contract=A2307/A2307_30m_20230407_20230612.parquet,a,A2307,30m,actual_contract,v1.20260712,fcc6274578cc86ed8d6b44d80b4c5c7e3ff92c23ae2e55e332fb69b91f093925,passed,passed,passed,,
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=a/contract=A2307/A2307_5m_20230407_20230612.parquet,a,A2307,5m,actual_contract,v1.20260712,fcc6274578cc86ed8d6b44d80b4c5c7e3ff92c23ae2e55e332fb69b91f093925,passed,passed,passed,,
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=a/contract=A2307/A2307_60m_20230407_20230612.parquet,a,A2307,60m,actual_contract,v1.20260712,fcc6274578cc86ed8d6b44d80b4c5c7e3ff92c23ae2e55e332fb69b91f093925,passed,passed,passed,,
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=A2309/A2309_15m_20230613_20230816.parquet,a,A2309,15m,actual_contract,v1.20260712,fcc6274578cc86ed8d6b44d80b4c5c7e3ff92c23ae2e55e332fb69b91f093925,passed,passed,passed,,
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2309/A2309_1d_20230613_20230816.parquet,a,A2309,1d,actual_contract,v1.20260712,3a0f98b663f40a5a82ee78b042fb2ba640c05de8e8556083eb7a24b01f8c9d79,failed,passed,failed,source_interval,
